# Throws Blocks pi_estimate error
10000 1 3.15756 0
20000 2 3.19116 0.0336019
30000 3 3.14619 0.0489821
40000 4 3.14903 0.0347521
50000 5 3.1452 0.0271897
60000 6 3.14893 0.022511
70000 7 3.14412 0.0196237
80000 8 3.14768 0.0173632
90000 9 3.13929 0.0174593
100000 10 3.1308 0.0177759
110000 11 3.13242 0.0161603
120000 12 3.13278 0.0147567
130000 13 3.13339 0.0135878
140000 14 3.13349 0.0125803
150000 15 3.13793 0.0125228
160000 16 3.13791 0.011714
170000 17 3.14049 0.0113005
180000 18 3.13979 0.010677
190000 19 3.13896 0.0101335
200000 20 3.14115 0.00985894
210000 21 3.14332 0.0096258
220000 22 3.14262 0.00920445
230000 23 3.14507 0.00913011
240000 24 3.14326 0.00892592
250000 25 3.14336 0.00856198
260000 26 3.14629 0.00873278
270000 27 3.14386 0.00874706
280000 28 3.14205 0.00862162
290000 29 3.14079 0.00841348
300000 30 3.14155 0.00816353
310000 31 3.14187 0.00790244
320000 32 3.1443 0.00802755
330000 33 3.14404 0.00778477
340000 34 3.14199 0.00782761
350000 35 3.14327 0.0077075
360000 36 3.14289 0.00749955
370000 37 3.1427 0.00729658
380000 38 3.14494 0.00744738
390000 39 3.14576 0.00729924
400000 40 3.14444 0.00723517
410000 41 3.14401 0.00706937
420000 42 3.14472 0.00693486
430000 43 3.14259 0.00709661
440000 44 3.14091 0.00713541
450000 45 3.14002 0.00703183
460000 46 3.13937 0.0069073
470000 47 3.13752 0.00700691
480000 48 3.13788 0.00686857
490000 49 3.13873 0.00678073
500000 50 3.14041 0.00685263
510000 51 3.142 0.00690321
520000 52 3.14125 0.00681123
530000 53 3.14011 0.0067784
540000 54 3.1403 0.00665452
550000 55 3.13993 0.00654271
560000 56 3.13918 0.00646852
570000 57 3.13956 0.00636508
580000 58 3.13934 0.00625815
590000 59 3.1398 0.00616844
600000 60 3.14203 0.00646014
610000 61 3.14176 0.0063588
620000 62 3.14285 0.00634937
630000 63 3.14294 0.00624845
640000 64 3.14286 0.00615058
650000 65 3.14404 0.00616915
660000 66 3.14293 0.00617683
670000 67 3.14167 0.00621143
680000 68 3.14149 0.00612229
690000 69 3.14291 0.00619752
700000 70 3.14362 0.00614987
710000 71 3.14384 0.00606679
720000 72 3.14465 0.00603631
730000 73 3.14471 0.00595329
740000 74 3.144 0.00591509
750000 75 3.14313 0.00590004
760000 76 3.1439 0.00587329
770000 77 3.14386 0.00579666
780000 78 3.14344 0.00573699
790000 79 3.14356 0.00566508
800000 80 3.1448 0.00572902
810000 81 3.14441 0.00567118
820000 82 3.14457 0.00560389
830000 83 3.14546 0.00560723
840000 84 3.14555 0.00554073
850000 85 3.14685 0.00562798
860000 86 3.14698 0.00556382
870000 87 3.14573 0.00564121
880000 88 3.14572 0.00557675
890000 89 3.14537 0.00552434
900000 90 3.1447 0.00550431
910000 91 3.14487 0.00544627
920000 92 3.14526 0.00540078
930000 93 3.14564 0.00535594
940000 94 3.14579 0.00530072
950000 95 3.14605 0.00525111
960000 96 3.14586 0.00519955
970000 97 3.1455 0.00515862
980000 98 3.1452 0.00511444
990000 99 3.14568 0.00508534
1000000 100 3.14588 0.00503816
