# Throws Blocks Uniform_Integral Uniform_Integral_Error Importance_Integral Importance_Integral_Error
10000 1 0.994718 0 1.00094 0
20000 2 1.00058 0.00586133 1.00083 0.000103085
30000 3 0.998646 0.00389768 1.00162 0.000793287
40000 4 0.997135 0.00314284 1.00121 0.000698053
50000 5 0.997344 0.00244333 1.00077 0.000694467
60000 6 0.997691 0.00202498 1.00042 0.000669715
70000 7 0.997399 0.00173615 1.00046 0.000567977
80000 8 0.998299 0.00175264 1.00024 0.000540424
90000 9 0.99837 0.0015473 1.00024 0.000476623
100000 10 0.997298 0.00175057 1.00016 0.000433862
110000 11 0.997416 0.00158781 1.00019 0.000393528
120000 12 0.997434 0.00144959 1.00005 0.000387907
130000 13 0.997129 0.00136803 1.00006 0.00035726
140000 14 0.996065 0.00165391 1.00016 0.000344131
150000 15 0.99658 0.00162368 1.00025 0.000334357
160000 16 0.996827 0.0015387 1.00018 0.0003209
170000 17 0.99729 0.0015176 1.0001 0.000313089
180000 18 0.997715 0.00149264 1.00015 0.000300559
190000 19 0.997514 0.00142607 1.00014 0.000284727
200000 20 0.997316 0.0013674 1.00012 0.000271059
210000 21 0.997089 0.00132026 1.0001 0.000258378
220000 22 0.997193 0.0012631 0.999984 0.000271916
230000 23 0.996981 0.00122533 0.999996 0.000260102
240000 24 0.997496 0.00128102 0.999894 0.000269127
250000 25 0.9976 0.00123316 0.999906 0.000258411
260000 26 0.997842 0.00120918 0.999914 0.000248394
270000 27 0.99811 0.00119395 0.999889 0.000240236
280000 28 0.998004 0.00115537 0.99992 0.000233466
290000 29 0.998132 0.00112216 0.999936 0.000225895
300000 30 0.998397 0.00111587 0.999999 0.000226905
310000 31 0.998863 0.00117556 1.00003 0.000221113
320000 32 0.999082 0.0011592 1.00002 0.00021414
330000 33 0.999184 0.00112813 1.00001 0.000207952
340000 34 0.999085 0.00109887 0.999997 0.000202066
350000 35 0.999168 0.00107023 1.00005 0.000202977
360000 36 0.998927 0.00106773 1.00001 0.000201196
370000 37 0.998876 0.00103974 1.00001 0.000195761
380000 38 0.99881 0.00101416 0.999995 0.000191576
390000 39 0.998924 0.000994433 0.999996 0.000186606
400000 40 0.998935 0.000969318 0.999974 0.000183245
410000 41 0.999044 0.00095159 0.999969 0.000178784
420000 42 0.999235 0.000948123 0.999956 0.000174992
430000 43 0.999496 0.00096201 0.999954 0.000170887
440000 44 0.999413 0.00094358 0.99996 0.000167066
450000 45 0.999487 0.000925307 0.999948 0.000163699
460000 46 0.99944 0.000906186 1 0.000169527
470000 47 0.999564 0.000895372 1.00001 0.000165919
480000 48 0.99942 0.000888306 1.00003 0.000164649
490000 49 0.999441 0.000870251 1.00001 0.000162465
500000 50 0.999495 0.000854373 1 0.000159665
510000 51 0.999454 0.000838466 0.999956 0.000163224
520000 52 0.999524 0.000825145 0.999983 0.000162316
530000 53 0.999468 0.000811336 0.999926 0.000169069
540000 54 0.999581 0.000804099 0.999963 0.000169953
550000 55 0.999664 0.000793714 0.999942 0.000168119
560000 56 0.999738 0.000782909 0.999946 0.000165126
570000 57 0.999821 0.000773568 0.999965 0.000163362
580000 58 0.999852 0.00076074 0.999932 0.000163907
590000 59 0.999822 0.000748354 0.999959 0.000163374
600000 60 0.999781 0.000736893 0.999972 0.00016111
610000 61 0.999955 0.000745152 1.00001 0.000162609
620000 62 1.00011 0.000749104 1.00002 0.000160301
630000 63 1.00023 0.000747646 1.00002 0.000157848
640000 64 1.00031 0.000740155 0.999986 0.000160153
650000 65 1.00034 0.000729199 1.00001 0.000158979
660000 66 1.00019 0.000733963 1.00001 0.000156561
670000 67 1.00012 0.000725903 1 0.00015438
680000 68 1.00012 0.000715175 1.00001 0.000152277
690000 69 1.00005 0.000708019 1.00002 0.000150358
700000 70 1.00006 0.000697939 1.00002 0.000148195
710000 71 1.00004 0.00068828 1.00001 0.000146322
720000 72 1.00011 0.000682073 1 0.000144457
730000 73 1.00022 0.000681322 1.00001 0.00014263
740000 74 1.00012 0.000679302 1.00002 0.000141101
750000 75 1.00019 0.000673719 1.00002 0.000139247
760000 76 1.00025 0.000667402 1.00002 0.000137403
770000 77 1.00027 0.000659079 1.00002 0.000135618
780000 78 1.0003 0.000651384 1 0.000134481
790000 79 1.00024 0.000646084 0.99999 0.00013353
800000 80 1.00021 0.000638866 0.999993 0.00013188
810000 81 1.00022 0.000630979 1.00001 0.000131865
820000 82 1.00025 0.00062433 0.999981 0.000134175
830000 83 1.00024 0.000616871 0.999947 0.000136802
840000 84 1.00022 0.000610015 0.999936 0.000135686
850000 85 1.00014 0.000607385 0.999916 0.000135433
860000 86 1.00013 0.000600356 0.99992 0.000133886
870000 87 1.00015 0.000593649 0.999901 0.000133576
880000 88 1.00015 0.000586865 0.999929 0.000134821
890000 89 1.0002 0.00058222 0.999966 0.000138542
900000 90 1.00032 0.000588853 0.999978 0.000137462
910000 91 1.00033 0.000582507 0.999988 0.000136322
920000 92 1.00028 0.00057824 0.999966 0.00013652
930000 93 1.00029 0.000571994 0.999955 0.00013552
940000 94 1.00031 0.00056652 0.999976 0.000135701
950000 95 1.0002 0.000572346 1 0.000136317
960000 96 1.0003 0.00057612 1.00001 0.000135168
970000 97 1.00019 0.000581304 0.999983 0.000136176
980000 98 1.00023 0.000576844 0.999969 0.000135525
990000 99 1.00025 0.000571226 0.999988 0.000135497
1000000 100 1.00023 0.000565679 0.999987 0.000134136
