#step r_squared_lattice error_lattice r_squared_continuous error_continuous
0 0 0 0 0
1 1 0 1 0
2 1.41526 0.00127751 1.41435 0.00125104
3 1.73151 0.00174851 1.7319 0.00186699
4 1.99783 0.00238664 2.0007 0.00240089
5 2.23359 0.00272758 2.23794 0.00287594
6 2.44791 0.00287945 2.45251 0.00328965
7 2.64448 0.00334691 2.64942 0.00352817
8 2.8266 0.0037047 2.8276 0.00342331
9 2.9982 0.00410298 2.99974 0.00381212
10 3.15975 0.004019 3.16251 0.00396539
11 3.31642 0.0040805 3.31559 0.00416444
12 3.46674 0.00427187 3.46521 0.00445338
13 3.60844 0.00449309 3.60403 0.00452953
14 3.74716 0.00458577 3.73923 0.00447476
15 3.8769 0.00474839 3.8677 0.00482937
16 4.00496 0.00495249 3.9925 0.00515168
17 4.1276 0.0052486 4.11667 0.00537584
18 4.24916 0.00545711 4.23401 0.00564584
19 4.36841 0.00605712 4.35192 0.00573468
20 4.4803 0.00629316 4.46607 0.00570219
21 4.59078 0.00654809 4.57713 0.00584187
22 4.69992 0.00660319 4.68608 0.00630669
23 4.80485 0.00643193 4.79253 0.00647273
24 4.90936 0.00647064 4.8948 0.006825
25 5.01284 0.00653412 4.99203 0.0067007
26 5.1106 0.00654879 5.08863 0.00702866
27 5.20616 0.00657954 5.18834 0.0068687
28 5.30047 0.00673554 5.28641 0.00693154
29 5.39489 0.00685303 5.37932 0.00690758
30 5.48555 0.00697317 5.46954 0.00717555
31 5.57743 0.00719791 5.5596 0.00723697
32 5.6647 0.00686867 5.6457 0.00735383
33 5.75035 0.00710288 5.73564 0.00730827
34 5.83922 0.00745929 5.82138 0.00732276
35 5.92608 0.00774026 5.90815 0.00749076
36 6.01208 0.00779108 5.99307 0.00777296
37 6.09388 0.00790257 6.07626 0.0077827
38 6.17427 0.00806404 6.15764 0.00778701
39 6.25442 0.00804448 6.23676 0.0080433
40 6.33503 0.00819599 6.31462 0.00802075
41 6.41348 0.00845813 6.3934 0.00813576
42 6.49057 0.00857416 6.46815 0.00794097
43 6.56618 0.00847186 6.54576 0.00812407
44 6.64099 0.00881127 6.62052 0.00846371
45 6.7147 0.0089318 6.6936 0.00867776
46 6.78796 0.00917255 6.7687 0.00878577
47 6.86025 0.00915397 6.83825 0.00908255
48 6.93225 0.00951828 6.91061 0.00907473
49 7.00697 0.00961369 6.98311 0.0089869
50 7.07555 0.00949499 7.0556 0.00933695
51 7.14442 0.00955382 7.12757 0.00943396
52 7.21107 0.00957099 7.19969 0.00948538
53 7.28044 0.00961198 7.27032 0.00940646
54 7.35097 0.00991214 7.33713 0.00950062
55 7.41821 0.00995121 7.40404 0.00961477
56 7.48563 0.00962104 7.47316 0.00970225
57 7.54941 0.00972216 7.54214 0.00970401
58 7.61739 0.00975426 7.60699 0.00988443
59 7.68655 0.00998196 7.67381 0.0100866
60 7.75144 0.00987793 7.74185 0.0102227
61 7.81745 0.0101288 7.80701 0.0105508
62 7.88145 0.0102469 7.87023 0.0106538
63 7.94848 0.0103255 7.93433 0.0110863
64 8.00975 0.0102235 7.99584 0.0114254
65 8.0765 0.0104145 8.05699 0.0117405
66 8.13655 0.0106369 8.1147 0.0118348
67 8.2006 0.0108644 8.17641 0.011896
68 8.26022 0.0110116 8.23544 0.0124056
69 8.32057 0.0111469 8.29442 0.0126115
70 8.38126 0.0111532 8.35671 0.0122873
71 8.44036 0.01132 8.41526 0.0124529
72 8.49709 0.0113325 8.47359 0.0123974
73 8.5559 0.0115529 8.53175 0.0127451
74 8.61224 0.0115847 8.58924 0.0125031
75 8.6708 0.0113568 8.64723 0.0126842
76 8.72804 0.0111624 8.70062 0.0129521
77 8.78606 0.0114328 8.75576 0.0130618
78 8.84586 0.0112527 8.81208 0.013113
79 8.90326 0.0112544 8.86805 0.0128753
80 8.95875 0.011371 8.92513 0.0129229
81 9.01358 0.0111558 8.97823 0.0127894
82 9.07019 0.0110881 9.03482 0.0127794
83 9.12789 0.0111751 9.08844 0.0132443
84 9.18429 0.0113527 9.14243 0.0133044
85 9.23998 0.011705 9.19767 0.013312
86 9.29282 0.011998 9.25226 0.0133312
87 9.34648 0.0120037 9.30509 0.0135919
88 9.39479 0.0123371 9.3596 0.0133991
89 9.44775 0.0123813 9.41304 0.0136159
90 9.50328 0.0126231 9.46624 0.0133848
91 9.55733 0.0128199 9.51984 0.0131655
92 9.60857 0.0125649 9.57022 0.0131423
93 9.65975 0.012521 9.6221 0.0129172
94 9.71232 0.0128185 9.67201 0.0128672
95 9.76189 0.0128409 9.72274 0.0133439
96 9.81018 0.0128414 9.77622 0.0133485
97 9.85972 0.0132513 9.82636 0.0135569
98 9.90949 0.0131931 9.87838 0.0136859
99 9.96193 0.0131275 9.92604 0.0136061
100 10.0144 0.0134756 9.97591 0.0135909
