#Throws Blocks Call_price Error_Call Put_Price Error_Price
10000 1 15.0817 0 5.54663 0 
20000 2 14.9222 0.159498 5.49142 0.0552103 
30000 3 14.9864 0.112237 5.47778 0.0346716 
40000 4 15.0018 0.0808492 5.46923 0.0259653 
50000 5 14.9575 0.0766924 5.47459 0.0208141 
60000 6 14.9475 0.0634132 5.46959 0.0177152 
70000 7 14.964 0.0560673 5.45484 0.0210169 
80000 8 15.0162 0.0712787 5.43356 0.0280021 
90000 9 14.981 0.0720471 5.44227 0.0261856 
100000 10 14.9914 0.0652775 5.44982 0.0246084 
110000 11 15.0142 0.0632925 5.44945 0.0222622 
120000 12 15.0168 0.057837 5.44547 0.020708 
130000 13 15.0138 0.0532859 5.45003 0.0195864 
140000 14 15.0477 0.0598199 5.45731 0.019542 
150000 15 15.0705 0.060194 5.44324 0.0230012 
160000 16 15.0506 0.0597112 5.45234 0.0233602 
170000 17 15.0293 0.0600244 5.45453 0.022052 
180000 18 15.038 0.0572553 5.44862 0.0216139 
190000 19 15.0254 0.0555832 5.46001 0.0234056 
200000 20 15.0322 0.0531584 5.46884 0.0238944 
210000 21 15.0289 0.0506725 5.47306 0.0231166 
220000 22 15.0193 0.0492561 5.47323 0.0220414 
230000 23 15.025 0.0474092 5.47321 0.0210613 
240000 24 15.0142 0.046643 5.47268 0.0201718 
250000 25 15.0293 0.0471942 5.4642 0.0211259 
260000 26 15.0213 0.0460365 5.46636 0.0204119 
270000 27 15.0031 0.0478989 5.46709 0.0196549 
280000 28 15.0066 0.0462924 5.46532 0.0190224 
290000 29 15.0093 0.04475 5.46332 0.0184628 
300000 30 15.006 0.0433622 5.45962 0.0182178 
310000 31 15.0073 0.0419616 5.45494 0.0182312 
320000 32 15.0077 0.0406311 5.45335 0.0177235 
330000 33 14.998 0.0405657 5.45529 0.0172876 
340000 34 15.0038 0.0397785 5.45354 0.016863 
350000 35 15.0022 0.0386588 5.45139 0.016515 
360000 36 15.0001 0.0376252 5.45801 0.0173627 
370000 37 14.9966 0.0367645 5.45863 0.0168981 
380000 38 15.0029 0.0363282 5.45866 0.0164475 
390000 39 14.998 0.0357099 5.46066 0.0161442 
400000 40 14.9895 0.035834 5.46805 0.0173849 
410000 41 14.9865 0.0350779 5.46901 0.0169828 
420000 42 14.9859 0.0342387 5.46631 0.0167923 
430000 43 14.9857 0.0334335 5.4642 0.016533 
440000 44 14.9929 0.0334531 5.46287 0.0162068 
450000 45 14.996 0.0328513 5.46021 0.0160645 
460000 46 14.9961 0.0321292 5.46308 0.0159703 
470000 47 14.9952 0.0314497 5.46186 0.0156741 
480000 48 14.9966 0.0308165 5.46021 0.0154327 
490000 49 14.996 0.0301862 5.45885 0.0151753 
500000 50 14.9906 0.0300711 5.45842 0.0148751 
510000 51 14.9874 0.0296465 5.45762 0.014602 
520000 52 14.9879 0.0290758 5.45707 0.0143292 
530000 53 14.989 0.0285427 5.45714 0.0140564 
540000 54 14.9895 0.0280132 5.45562 0.0138764 
550000 55 14.9832 0.0282229 5.45732 0.0137268 
560000 56 14.9835 0.0277161 5.45743 0.01348 
570000 57 14.9846 0.027249 5.45748 0.0132414 
580000 58 14.9869 0.0268755 5.45792 0.0130185 
590000 59 14.9928 0.0270662 5.45493 0.0131414 
600000 60 14.9929 0.0266115 5.45425 0.0129379 
610000 61 14.9897 0.0263757 5.45243 0.0128543 
620000 62 14.989 0.0259557 5.4503 0.0128227 
630000 63 14.9918 0.0257002 5.44941 0.012649 
640000 64 14.988 0.0255815 5.44916 0.0124523 
650000 65 14.986 0.0252687 5.45043 0.0123244 
660000 66 14.9921 0.0256264 5.45155 0.012188 
670000 67 14.9931 0.0252624 5.45075 0.0120314 
680000 68 14.9938 0.0248973 5.45114 0.0118596 
690000 69 14.9987 0.0250234 5.44947 0.011805 
700000 70 14.9997 0.0246812 5.44834 0.01169 
710000 71 14.9989 0.0243431 5.44951 0.0115835 
720000 72 15.0011 0.0241005 5.4475 0.0115966 
730000 73 14.9984 0.0239223 5.44456 0.0118091 
740000 74 14.9943 0.0239382 5.4459 0.0117247 
750000 75 14.9909 0.0238683 5.44647 0.0115816 
760000 76 14.9906 0.0235542 5.4459 0.0114424 
770000 77 14.9883 0.0233569 5.44412 0.0114329 
780000 78 14.9893 0.0230769 5.44408 0.0112854 
790000 79 14.99 0.0227929 5.44491 0.0111724 
800000 80 14.9888 0.0225369 5.44618 0.0111043 
810000 81 14.991 0.0223624 5.4471 0.0110054 
820000 82 14.9953 0.0225031 5.4455 0.0109877 
830000 83 14.9958 0.0222375 5.44556 0.0108547 
840000 84 14.9937 0.0220762 5.44729 0.0108638 
850000 85 14.9924 0.0218522 5.44829 0.0107811 
860000 86 14.9916 0.0216112 5.44771 0.0106704 
870000 87 14.9925 0.0213818 5.44773 0.010547 
880000 88 14.9925 0.0211374 5.44836 0.0104456 
890000 89 14.9907 0.0209788 5.44866 0.0103319 
900000 90 14.9917 0.0207679 5.44726 0.0103124 
910000 91 14.9949 0.0207785 5.44509 0.0104264 
920000 92 14.9962 0.0205971 5.4454 0.0103171 
930000 93 14.9939 0.0205031 5.44736 0.0103933 
940000 94 14.9932 0.0202954 5.44675 0.0103006 
950000 95 14.9933 0.0200807 5.44899 0.0104349 
960000 96 14.9903 0.020092 5.44884 0.0103267 
970000 97 14.9931 0.0200802 5.44911 0.0102231 
980000 98 14.9929 0.0198748 5.44858 0.0101322 
990000 99 14.9894 0.0199967 5.44956 0.0100776 
1000000 100 14.9852 0.0202323 5.45104 0.0100862 
