#Throws Blocks Call_price Error_Call Put_Price Error_Price
10000 1 14.9777 0 5.32956 0 
20000 2 14.9953 0.0176867 5.37899 0.0494205 
30000 3 15.0187 0.0254743 5.39156 0.0311806 
40000 4 14.9565 0.0647465 5.41794 0.0343785 
50000 5 14.9594 0.0502371 5.42007 0.0267148 
60000 6 14.9198 0.0570251 5.42901 0.0235722 
70000 7 14.9153 0.0484074 5.4252 0.0202833 
80000 8 14.9456 0.0517505 5.43858 0.0220806 
90000 9 14.9517 0.0460461 5.43585 0.0196634 
100000 10 14.9245 0.0493913 5.4385 0.0177859 
110000 11 14.9025 0.0497651 5.44899 0.0192082 
120000 12 14.8965 0.0458218 5.44497 0.0179902 
130000 13 14.9138 0.0455647 5.44099 0.0170213 
140000 14 14.917 0.0423012 5.45407 0.0204817 
150000 15 14.9428 0.0471011 5.44621 0.020624 
160000 16 14.9319 0.0454039 5.44999 0.0196593 
170000 17 14.953 0.04759 5.44408 0.0193909 
180000 18 14.9539 0.0448771 5.44505 0.0183079 
190000 19 14.9583 0.0426857 5.44893 0.0177465 
200000 20 14.951 0.0411618 5.45898 0.0196087 
210000 21 14.9474 0.0393138 5.45333 0.0194907 
220000 22 14.9497 0.0375529 5.45185 0.0186419 
230000 23 14.9465 0.0360203 5.45893 0.0191669 
240000 24 14.9438 0.0345936 5.45748 0.0184083 
250000 25 14.9384 0.0336241 5.45291 0.0182382 
260000 26 14.9495 0.0341598 5.44488 0.0192739 
270000 27 14.9601 0.034536 5.4438 0.0185779 
280000 28 14.9681 0.0342382 5.44565 0.0179979 
290000 29 14.9786 0.0346661 5.44724 0.0174385 
300000 30 14.9807 0.0335555 5.44781 0.0168568 
310000 31 14.9763 0.0327543 5.45016 0.0164724 
320000 32 14.9663 0.0332617 5.45539 0.0167872 
330000 33 14.9653 0.0322517 5.45986 0.0168723 
340000 34 14.9596 0.0318151 5.46339 0.0167454 
350000 35 14.9642 0.0312446 5.46124 0.0164013 
360000 36 14.9531 0.0323427 5.46346 0.0160924 
370000 37 14.9551 0.0315166 5.46013 0.0160023 
380000 38 14.9589 0.0309196 5.45897 0.0156187 
390000 39 14.9638 0.0305046 5.45886 0.0152133 
400000 40 14.9638 0.0297322 5.4584 0.0148354 
410000 41 14.9577 0.0296306 5.45861 0.0144706 
420000 42 14.9577 0.0289165 5.45702 0.0142117 
430000 43 14.9608 0.0284055 5.45756 0.0138878 
440000 44 14.9646 0.0280185 5.45808 0.0135786 
450000 45 14.9624 0.0274776 5.45923 0.0133232 
460000 46 14.9617 0.026882 5.45655 0.0133034 
470000 47 14.966 0.0266555 5.4556 0.0130523 
480000 48 14.976 0.0279225 5.45618 0.0127906 
490000 49 14.9713 0.027738 5.45912 0.0128675 
500000 50 14.975 0.0274291 5.4578 0.0126757 
510000 51 14.9673 0.0279712 5.45928 0.012512 
520000 52 14.9713 0.0277206 5.46012 0.012298 
530000 53 14.9706 0.0272022 5.4624 0.0122766 
540000 54 14.97 0.0267001 5.46268 0.0120505 
550000 55 14.9685 0.0262534 5.46291 0.0118316 
560000 56 14.9684 0.0257807 5.46246 0.011627 
570000 57 14.964 0.0256992 5.46434 0.0115746 
580000 58 14.9688 0.0257095 5.4625 0.0115213 
590000 59 14.9644 0.0256549 5.46355 0.0113732 
600000 60 14.9615 0.0253946 5.46271 0.011214 
610000 61 14.9562 0.0255226 5.46583 0.0114622 
620000 62 14.9605 0.0254746 5.46527 0.0112897 
630000 63 14.9597 0.0250802 5.46496 0.0111133 
640000 64 14.9654 0.0253285 5.46527 0.0109428 
650000 65 14.9625 0.0251046 5.46739 0.0109784 
660000 66 14.9641 0.0247749 5.46724 0.0108119 
670000 67 14.9589 0.0249478 5.46653 0.0106725 
680000 68 14.9619 0.0247619 5.46654 0.0105144 
690000 69 14.9615 0.0244034 5.46518 0.0104493 
700000 70 14.9617 0.0240525 5.46344 0.0104447 
710000 71 14.9614 0.0237132 5.46245 0.0103443 
720000 72 14.9647 0.0236205 5.46378 0.0102863 
730000 73 14.9655 0.0233072 5.46443 0.0101649 
740000 74 14.9696 0.0233575 5.46289 0.0101437 
750000 75 14.9696 0.023044 5.46237 0.0100214 
760000 76 14.9734 0.0230586 5.46146 0.00993007 
770000 77 14.9728 0.0227638 5.46229 0.00983527 
780000 78 14.9733 0.0224748 5.46228 0.00970836 
790000 79 14.9752 0.0222686 5.46158 0.0096105 
800000 80 14.9772 0.0220783 5.46246 0.00952993 
810000 81 14.9785 0.0218423 5.46357 0.00947681 
820000 82 14.9791 0.0215845 5.46265 0.00940541 
830000 83 14.9765 0.0214792 5.46416 0.00941368 
840000 84 14.9777 0.0212538 5.46327 0.00934328 
850000 85 14.9772 0.021008 5.46225 0.0092892 
860000 86 14.9758 0.0208132 5.46281 0.00919743 
870000 87 14.9764 0.0205817 5.4619 0.00913587 
880000 88 14.9763 0.0203465 5.46147 0.00904202 
890000 89 14.975 0.0201607 5.46212 0.00896341 
900000 90 14.9772 0.0200511 5.46017 0.00907332 
910000 91 14.9756 0.0198906 5.45829 0.0091689 
920000 92 14.9759 0.019676 5.45891 0.00909003 
930000 93 14.9783 0.0196027 5.46016 0.00907821 
940000 94 14.9801 0.0194815 5.46043 0.00898509 
950000 95 14.9799 0.0192763 5.46119 0.00892226 
960000 96 14.9793 0.0190853 5.46064 0.00884563 
970000 97 14.9769 0.0190328 5.46104 0.00876292 
980000 98 14.9711 0.0197195 5.46246 0.00878836 
990000 99 14.9727 0.0195849 5.46141 0.00876211 
1000000 100 14.9737 0.019414 5.46052 0.00871957 
