# VELOCITY:     ACTUAL_POFV:
         0.2   0.0324074
         0.6       0.175
           1    0.276389
         1.4    0.516204
         1.8    0.445833
         2.2    0.420833
         2.6    0.306944
           3    0.146759
         3.4    0.109722
         3.8   0.0236111
         4.2   0.0231481
         4.6   0.0231481
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
