#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.05314     2.05314           0
           2     2.20683     2.12998   0.0543381
           3     1.97791     2.07929   0.0550031
           4     2.26053      2.1246   0.0569334
           5     2.16742     2.13317   0.0461863
           6     2.19475     2.14343   0.0396128
           7     2.15499     2.14508   0.0339882
           8     2.07911     2.13684    0.030724
           9     2.02249     2.12413   0.0298217
          10     1.95849     2.10757   0.0311013
          11      1.9248     2.09095   0.0324095
          12     1.90179     2.07519   0.0333226
          13     1.88167      2.0603   0.0339217
          14     1.85522     2.04565    0.034517
          15     1.85058     2.03265    0.034579
          16     1.84223     2.02075   0.0344049
          17     1.82727     2.00937   0.0342117
          18      1.8532     2.00069    0.033393
          19      1.8631     1.99345   0.0324112
          20     1.86419     1.98699   0.0314284
          21     1.89254     1.98249   0.0302519
          22     1.86237     1.97703   0.0293654
          23     1.92933     1.97495   0.0281618
          24     1.90267     1.97194   0.0271489
          25     1.92553     1.97009   0.0261264
          26     1.89493      1.9672   0.0252809
          27     1.83307     1.96223   0.0248278
          28     1.77563     1.95556   0.0248194
          29     1.75656      1.9487   0.0248941
          30     1.69297     1.94018    0.025482
          31     1.66334     1.93125   0.0261781
          32     1.66401      1.9229   0.0266589
          33     1.63435     1.91415   0.0272473
          34     1.61234     1.90528   0.0278544
          35     1.57392     1.89581   0.0286223
          36     1.59619     1.88749    0.029012
          37     1.57928     1.87916   0.0293995
          38     1.57892     1.87125   0.0296685
          39     1.53504     1.86263   0.0301343
          40     1.54167     1.85461   0.0304305
          41     1.52923     1.84667   0.0307056
          42     1.51587      1.8388   0.0309682
          43     1.50528     1.83104   0.0312043
          44     1.50424     1.82361   0.0313666
          45     1.49586     1.81633   0.0315038
          46     1.49486     1.80934   0.0315846
          47     1.48211     1.80238   0.0316706
          48     1.49298     1.79593     0.03166
          49     1.46764     1.78923   0.0317149
          50     1.50472     1.78354   0.0315869
          51     1.46928     1.77738   0.0315629
          52     1.47336     1.77153   0.0314927
          53     1.47525     1.76594   0.0313908
          54     1.46609     1.76039   0.0312968
          55     1.46925      1.7551   0.0311722
          56     1.48596     1.75029   0.0309838
          57     1.49299     1.74578   0.0307673
          58     1.48367     1.74126   0.0305669
          59     1.48812     1.73697   0.0303484
          60     1.50503      1.7331   0.0300878
          61     1.49197     1.72915   0.0298531
          62     1.48349     1.72519   0.0296334
          63     1.47714     1.72125   0.0294234
          64     1.46245     1.71721   0.0292402
          65     1.48106     1.71357   0.0290152
          66     1.47643     1.70998   0.0287972
          67     1.48348      1.7066   0.0285651
          68     1.44757     1.70279   0.0283979
          69     1.46579     1.69936   0.0281933
          70     1.43736     1.69561   0.0280379
          71     1.43965     1.69201   0.0278738
          72     1.43063     1.68838    0.027722
          73     1.43119     1.68485   0.0275652
          74     1.41523     1.68121   0.0274325
          75     1.42344     1.67777   0.0272812
          76     1.43377     1.67456   0.0271105
          77      1.4439     1.67157   0.0269234
          78     1.42597     1.66842   0.0267617
          79     1.41628     1.66523   0.0266126
          80     1.43933      1.6624   0.0264293
          81     1.43274     1.65957   0.0262546
          82      1.4281     1.65675   0.0260858
          83     1.41268     1.65381   0.0259367
          84     1.41423     1.65095   0.0257843
          85      1.4324     1.64838   0.0256088
          86       1.417     1.64569    0.025452
          87     1.45422     1.64349   0.0252544
          88     1.44843     1.64127   0.0250645
          89     1.46091     1.63925   0.0248647
          90      1.4627     1.63729   0.0246656
          91     1.46827     1.63543   0.0244644
          92     1.45592     1.63348   0.0242762
          93      1.4499      1.6315   0.0240953
          94     1.44448     1.62951   0.0239209
          95     1.41727     1.62728   0.0237732
          96     1.43157     1.62524   0.0236129
          97     1.41018     1.62302   0.0234733
          98     1.41224     1.62087   0.0233321
          99     1.42218     1.61887   0.0231826
         100     1.41181      1.6168    0.023043
         101      1.4025     1.61467   0.0229123
         102     1.41102     1.61268   0.0227745
         103     1.39828      1.6106   0.0226484
         104     1.39512     1.60852   0.0225252
         105     1.37159     1.60627   0.0224234
         106     1.36259     1.60397   0.0223294
         107      1.3878     1.60195   0.0222119
         108     1.37208     1.59982   0.0221079
         109     1.36999     1.59771   0.0220054
         110     1.37315     1.59567   0.0218999
         111     1.36489     1.59359   0.0218011
         112     1.35178     1.59143    0.021713
         113     1.36259     1.58941   0.0216151
         114     1.35885     1.58738   0.0215199
         115     1.37083      1.5855    0.021415
         116     1.37689      1.5837   0.0213058
         117     1.35898     1.58178   0.0212101
         118     1.40214     1.58026   0.0210849
