#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.12549     2.12549           0
           2     2.11681     2.12115  0.00306856
           3     2.13663     2.12631  0.00468181
           4     2.17078     2.13743   0.0102489
           5     2.19315     2.14857   0.0129058
           6     2.19271     2.15593   0.0126787
           7     2.17699     2.15894   0.0112188
           8     2.13704      2.1562   0.0101447
           9     2.12018      2.1522   0.0097752
          10     2.14564     2.15154  0.00881968
          11     2.14171     2.15065  0.00806307
          12     2.15241     2.15079  0.00739248
          13     2.14291     2.15019  0.00684867
          14     2.13481     2.14909  0.00644692
          15     2.15271     2.14933  0.00602164
          16     2.17736     2.15108  0.00589461
          17     2.19829     2.15386   0.0061674
          18     2.21812     2.15743  0.00677978
          19     2.20469     2.15992  0.00686412
          20     2.23159      2.1635  0.00739758
          21     2.24486     2.16738  0.00799569
          22      2.2325     2.17034  0.00816178
          23     2.21641     2.17234  0.00804898
          24       2.206     2.17374  0.00783489
          25     2.20698     2.17507  0.00763346
          26     2.22927     2.17716  0.00761917
          27     2.23132     2.17916  0.00759647
          28     2.24304     2.18144  0.00766006
          29     2.25714     2.18405  0.00782798
          30     2.28383     2.18738  0.00824335
          31     2.30753     2.19125  0.00884179
          32     2.36865      2.1968   0.0101557
          33     2.37758     2.20228   0.0112286
          34     2.43501     2.20912   0.0128162
          35     2.49551      2.2173   0.0148339
          36     2.58715     2.22758   0.0176239
          37     2.70652     2.24052   0.0213792
          38     2.86535     2.25697   0.0263929
          39       2.874     2.27279   0.0300868
          40     2.81618     2.28637   0.0322561
          41     2.79547     2.29879   0.0337749
          42     2.76035     2.30978   0.0347126
          43     2.76962     2.32047   0.0355144
          44      2.8026     2.33143   0.0363583
          45     2.86989      2.3434   0.0374677
          46     2.98584     2.35736   0.0391698
          47     3.17569     2.37477   0.0420284
          48     3.27179     2.39346   0.0451167
          49     3.17844     2.40948    0.046954
          50     3.19767     2.42524   0.0485891
