#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.417       1.417           0
           2     1.41121      1.4141  0.00204571
           3     1.42442     1.41754  0.00312121
           4     1.44719     1.42495  0.00683261
           5      1.4621     1.43238  0.00860384
           6      1.4618     1.43729  0.00845249
           7     1.45133     1.43929  0.00747917
           8      1.4247     1.43747  0.00676314
           9     1.41345      1.4348   0.0065168
          10     1.43042     1.43436  0.00587978
          11     1.42781     1.43377  0.00537538
          12     1.43494     1.43386  0.00492832
          13     1.42861     1.43346  0.00456578
          14     1.42321     1.43273  0.00429795
          15     1.43514     1.43289  0.00401443
          16     1.45157     1.43406  0.00392974
          17     1.46553     1.43591   0.0041116
          18     1.47875     1.43829  0.00451986
          19     1.46979     1.43995  0.00457608
          20     1.48773     1.44233  0.00493172
          21     1.49657     1.44492  0.00533046
          22     1.48833     1.44689  0.00544119
          23     1.47761     1.44823  0.00536599
          24     1.47067     1.44916  0.00522326
          25     1.47132     1.45005  0.00508897
          26     1.48618     1.45144  0.00507945
          27     1.48755     1.45277  0.00506432
          28     1.49536      1.4543  0.00510671
          29     1.50476     1.45604  0.00521866
          30     1.52255     1.45825  0.00549557
          31     1.53835     1.46084  0.00589453
          32      1.5791     1.46453  0.00677044
          33     1.58505     1.46818  0.00748575
          34     1.62334     1.47275   0.0085441
          35     1.66367      1.4782  0.00988924
          36     1.72477     1.48505   0.0117493
          37     1.80435     1.49368   0.0142528
          38     1.91023     1.50464   0.0175952
          39       1.916     1.51519   0.0200579
          40     1.87745     1.52425   0.0215041
          41     1.86365     1.53253   0.0225166
          42     1.84023     1.53985   0.0231417
          43     1.84641     1.54698   0.0236763
          44      1.8684     1.55429   0.0242389
          45     1.91326     1.56226   0.0249785
          46     1.99056     1.57157   0.0261132
          47     2.11713     1.58318   0.0280189
          48      2.1812     1.59564   0.0300778
          49     2.11896     1.60632   0.0313027
          50     2.13178     1.61683   0.0323927
