#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.12998     2.12998           0
           2     2.11922      2.1246  0.00380602
           3     2.18109     2.14343   0.0155815
           4     2.11705     2.13684   0.0130074
           5     1.99049     2.10757   0.0281715
           6     1.91329     2.07519   0.0377464
           7     1.86845     2.04565    0.042361
           8     1.84641     2.02075   0.0437794
           9     1.84024     2.00069   0.0432661
          10     1.86364     1.98699   0.0410527
          11     1.87745     1.97703   0.0385093
          12       1.916     1.97194   0.0356344
          13     1.91023      1.9672   0.0332079
          14     1.80435     1.95556     0.03281
          15     1.72477     1.94018   0.0340397
          16     1.66367      1.9229   0.0360329
          17     1.62334     1.90528   0.0379782
          18     1.58505     1.88749   0.0398176
          19      1.5791     1.87125   0.0408965
          20     1.53835     1.85461   0.0421029
          21     1.52255      1.8388   0.0429648
          22     1.50476     1.82361   0.0436123
          23     1.49536     1.80934   0.0439894
          24     1.48755     1.79593   0.0441527
          25     1.48618     1.78354   0.0440908
          26     1.47132     1.77153   0.0439999
          27     1.47067     1.76039   0.0437586
          28     1.47761     1.75029   0.0433456
          29     1.48833     1.74126   0.0427818
          30     1.49657      1.7331   0.0421261
          31     1.48773     1.72519   0.0415041
          32     1.46979     1.71721   0.0409673
          33     1.47875     1.70998   0.0403581
          34     1.46553     1.70279   0.0398064
          35     1.45157     1.69561   0.0393108
          36     1.43514     1.68838    0.038879
          37     1.42321     1.68121   0.0384831
          38     1.42861     1.67456   0.0380402
          39     1.43494     1.66842   0.0375577
          40     1.42781      1.6624   0.0370974
          41     1.43042     1.65675   0.0366215
          42     1.41345     1.65095   0.0362048
          43      1.4247     1.64569   0.0357431
          44     1.45133     1.64127   0.0352027
          45      1.4618     1.63729   0.0346456
          46      1.4621     1.63348   0.0341011
          47     1.44719     1.62951   0.0336051
          48     1.42442     1.62524   0.0331755
          49     1.41121     1.62087   0.0327848
          50       1.417      1.6168   0.0323816
          51     1.40676     1.61268   0.0320075
          52      1.3967     1.60852   0.0316603
          53     1.36709     1.60397    0.031389
          54     1.37994     1.59982   0.0310806
          55     1.37157     1.59567   0.0307914
          56     1.35833     1.59143   0.0305318
          57     1.36072     1.58738   0.0302632
          58     1.37386      1.5837   0.0299645
          59     1.38056     1.58026   0.0296538
          60      1.3905      1.5771   0.0293277
          61      1.4009     1.57421   0.0289889
          62      1.4017     1.57143   0.0286545
          63     1.38371     1.56845   0.0283542
          64      1.3708     1.56536   0.0280788
          65     1.37683     1.56246   0.0277962
          66     1.40479     1.56007   0.0274776
          67     1.42192     1.55801   0.0271447
          68     1.41682     1.55593   0.0268248
          69     1.38957     1.55352   0.0265442
          70     1.37536     1.55097   0.0262867
          71     1.37523      1.5485   0.0260327
          72      1.3939     1.54635   0.0257596
          73     1.40203     1.54437   0.0254825
          74     1.42692     1.54279   0.0251875
          75     1.43568     1.54136   0.0248921
          76     1.43689     1.53998   0.0246025
          77     1.44045     1.53869   0.0243169
          78      1.4009     1.53693   0.0240692
          79     1.38418     1.53499   0.0238421
          80     1.36264     1.53284   0.0236412
          81     1.34263     1.53049   0.0234657
          82     1.36985     1.52853   0.0232611
          83     1.37724     1.52671   0.0230522
          84     1.36316     1.52476   0.0228598
          85     1.35898     1.52281    0.022674
          86     1.36993     1.52103   0.0224799
          87     1.37341     1.51934   0.0222854
          88      1.3803     1.51776   0.0220881
          89     1.37707     1.51618   0.0218964
          90     1.36528      1.5145   0.0217172
          91     1.34917     1.51268   0.0215545
          92      1.3472     1.51088   0.0213951
          93     1.35838     1.50924   0.0212278
          94     1.36577     1.50772   0.0210568
          95     1.35914     1.50615   0.0208931
          96     1.36986     1.50473   0.0207237
          97     1.35076     1.50315   0.0205707
          98     1.33982     1.50148   0.0204282
          99     1.35709     1.50002   0.0202739
         100     1.35641     1.49858   0.0201219
         101     1.36385     1.49725   0.0199669
         102     1.39877     1.49628   0.0197944
         103     1.40359     1.49538   0.0196227
         104     1.37721     1.49425   0.0194669
         105     1.35903     1.49296   0.0193241
         106     1.36106     1.49172   0.0191818
         107     1.38643     1.49073   0.0190277
         108     1.38578     1.48976   0.0188763
         109     1.41075     1.48904   0.0187171
         110     1.40339     1.48826   0.0185631
         111     1.39996     1.48746   0.0184129
         112     1.37422     1.48645   0.0182762
         113     1.33721     1.48513   0.0181622
         114     1.31968     1.48368   0.0180607
         115     1.31422     1.48221   0.0179637
         116     1.31587     1.48077    0.017866
         117     1.33311     1.47951   0.0177578
         118     1.31941     1.47815   0.0176591
         119     1.32189     1.47684   0.0175594
         120     1.32263     1.47555   0.0174601
         121     1.31735     1.47425   0.0173647
         122     1.33681     1.47312   0.0172588
         123     1.36084     1.47221   0.0171426
         124     1.38219     1.47148   0.0170197
         125     1.38534     1.47079   0.0168975
         126     1.37191     1.47001   0.0167816
         127     1.35005     1.46906   0.0166761
         128     1.35346     1.46816   0.0165702
         129     1.37972     1.46747   0.0164559
         130     1.40115     1.46696   0.0163373
         131     1.39176     1.46639   0.0162226
         132     1.36287     1.46561   0.0161187
         133     1.34924     1.46473   0.0160212
         134     1.34832     1.46386   0.0159252
         135     1.34636     1.46299    0.015831
         136      1.3696      1.4623   0.0157295
         137     1.36664     1.46161   0.0156302
         138     1.34563     1.46077   0.0155395
         139     1.32965     1.45982   0.0154563
         140     1.32865     1.45889   0.0153743
         141     1.33917     1.45804   0.0152886
         142     1.35917     1.45734   0.0151968
         143     1.36634      1.4567   0.0151039
         144     1.36456     1.45606   0.0150125
         145     1.35934      1.4554   0.0149238
         146     1.35816     1.45473   0.0148364
         147     1.33993     1.45395   0.0147561
         148     1.32364     1.45307   0.0146826
         149     1.30147     1.45205   0.0146193
         150     1.28596     1.45095   0.0145637
         151     1.28686     1.44986   0.0145077
