#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59598     1.59598           0
           2     1.59613     1.59606 5.26146e-05
           3     1.59635     1.59616 8.77298e-05
           4     1.59608     1.59614 6.78096e-05
           5     1.59578     1.59607 8.41637e-05
           6     1.59669     1.59617 0.000118329
           7     1.59639      1.5962 0.000105475
           8     1.59679     1.59628 0.000114921
           9     1.59655     1.59631  0.00010619
          10     1.59612     1.59629 9.72371e-05
          11     1.59654     1.59631 9.11709e-05
          12     1.59601     1.59629 8.69361e-05
          13     1.59652      1.5963 8.20392e-05
          14     1.59618     1.59629 7.66404e-05
          15     1.59651     1.59631 7.28399e-05
          16     1.59603     1.59629  7.0371e-05
          17     1.59543     1.59624 8.26497e-05
          18     1.59641     1.59625 7.85765e-05
          19     1.59609     1.59624 7.48967e-05
          20     1.59598     1.59623 7.22593e-05
          21     1.59623     1.59623 6.88188e-05
          22     1.59625     1.59623 6.56952e-05
          23     1.59656     1.59624 6.43463e-05
          24     1.59558     1.59622  6.7421e-05
          25     1.59572      1.5962 6.75614e-05
          26     1.59619      1.5962 6.49635e-05
          27      1.5955     1.59617 6.74792e-05
          28     1.59572     1.59615 6.69833e-05
          29     1.59576     1.59614 6.60691e-05
          30     1.59497      1.5961  7.4544e-05
          31     1.59534     1.59608 7.61118e-05
          32     1.59468     1.59603  8.5354e-05
          33     1.59477     1.59599 9.09388e-05
          34     1.59391     1.59593  0.00010691
          35     1.59417     1.59588  0.00011511
          36     1.59195     1.59577  0.00015536
          37     1.59233     1.59568 0.000176897
          38     1.59277      1.5956 0.000188076
          39     1.59321     1.59554 0.000193044
          40     1.59483     1.59552 0.000189048
          41     1.59312     1.59547 0.000193288
          42     1.59334     1.59542 0.000195226
          43      1.5922     1.59534 0.000204499
          44      1.5927     1.59528 0.000208467
          45     1.59233     1.59521 0.000213868
          46     1.59021     1.59511  0.00023527
          47     1.58991       1.595 0.000254914
          48     1.59232     1.59494 0.000255636
          49      1.5883      1.5948   0.0002841
          50     1.59367     1.59478 0.000279317
