#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      3.2739      3.2739           0
           2     3.28643     3.28016  0.00442972
           3     3.27705     3.27912  0.00307239
           4     3.28864      3.2815  0.00309043
           5     3.29615     3.28443  0.00360293
           6     3.29569     3.28631  0.00345657
           7     3.28125     3.28559  0.00303749
           8     3.29906     3.28727  0.00308978
           9     3.29226     3.28782  0.00279581
          10     3.29653     3.28869  0.00264827
          11     3.27503     3.28745  0.00268308
          12     3.29934     3.28844  0.00263593
          13     3.27365     3.28731  0.00266743
          14     3.27674     3.28655  0.00258151
          15     3.29058     3.28682  0.00242338
          16     3.28941     3.28698  0.00227731
          17     3.27411     3.28622   0.0022658
          18      3.2838     3.28609   0.0021439
          19      3.3025     3.28695  0.00219826
          20     3.28621     3.28692  0.00208866
          21     3.29666     3.28738  0.00204004
          22      3.2863     3.28733   0.0019479
          23     3.27813     3.28693   0.0019038
          24     3.27706     3.28652  0.00186836
          25     3.30265     3.28717  0.00190182
          26     3.28178     3.28696  0.00183994
          27      3.2788     3.28666  0.00179641
          28     3.28817     3.28671  0.00173306
          29      3.2842     3.28662  0.00167546
          30     3.29571     3.28693  0.00164674
          31     3.28592     3.28689  0.00159394
          32     3.31546     3.28779  0.00177658
          33     3.29353     3.28796  0.00173126
          34     3.28216     3.28779  0.00168874
          35     3.28836     3.28781  0.00164056
          36     3.27754     3.28752   0.0016196
          37     3.28893     3.28756  0.00157627
          38     3.28595     3.28752  0.00153536
          39     3.28098     3.28735  0.00150511
          40     3.30142      3.2877  0.00150804
