# VELOCITY:     AVE_POFV:        ERROR:
    0.166667  0.00846285 0.000427879
         0.5   0.0599608   0.0016962
    0.833333    0.146116   0.0023975
     1.16667    0.245944   0.0034207
         1.5    0.322353  0.00298913
     1.83333    0.378414  0.00351946
     2.16667    0.394598  0.00366219
         2.5    0.369993  0.00410893
     2.83333    0.322706   0.0039282
     3.16667    0.252468  0.00339523
         3.5    0.185457  0.00274082
     3.83333    0.125923  0.00211443
     4.16667   0.0859556  0.00183873
         4.5   0.0481996  0.00131236
     4.83333   0.0260174  0.00130485
     5.16667   0.0141836 0.000855879
         5.5  0.00733882 0.000721046
     5.83333  0.00328799  0.00041265
     6.16667  0.00150507 0.000262372
         6.5 0.000827778 0.000227767
     6.83333 0.000174583 6.82382e-05
     7.16667 5.11806e-05 4.84562e-05
         7.5 6.28472e-05 6.20567e-05
     7.83333           0           0
     8.16667           0           0
         8.5           0           0
     8.83333           0           0
     9.16667           0           0
         9.5           0           0
     9.83333           0           0
