#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      2.1826      2.1826           0
           2     2.19095     2.18677  0.00295314
           3      2.1847     2.18608  0.00204826
           4     2.19242     2.18767  0.00206029
           5     2.19744     2.18962  0.00240195
           6     2.19713     2.19087  0.00230438
           7      2.1875     2.19039  0.00202499
           8     2.19937     2.19151  0.00205985
           9     2.19484     2.19188  0.00186388
          10     2.19769     2.19246  0.00176552
          11     2.18335     2.19164  0.00178872
          12     2.19956      2.1923  0.00175729
          13     2.18244     2.19154  0.00177828
          14     2.18449     2.19103    0.001721
          15     2.19372     2.19121  0.00161558
          16     2.19294     2.19132  0.00151821
          17     2.18274     2.19082  0.00151053
          18      2.1892     2.19073  0.00142927
          19     2.20167      2.1913  0.00146551
          20     2.19081     2.19128  0.00139244
          21     2.19777     2.19159  0.00136002
          22     2.19087     2.19155   0.0012986
          23     2.18542     2.19129   0.0012692
          24     2.18471     2.19101  0.00124558
          25     2.20177     2.19144  0.00126788
          26     2.18785     2.19131  0.00122663
          27     2.18587      2.1911  0.00119761
          28     2.19211     2.19114  0.00115538
          29     2.18947     2.19108  0.00111697
          30     2.19714     2.19128  0.00109783
          31     2.19061     2.19126  0.00106263
          32     2.21031     2.19186  0.00118439
          33     2.19569     2.19197  0.00115418
          34     2.18811     2.19186  0.00112582
          35     2.19224     2.19187  0.00109371
          36     2.18503     2.19168  0.00107973
          37     2.19262     2.19171  0.00105085
          38     2.19063     2.19168  0.00102357
          39     2.18732     2.19157  0.00100341
          40     2.20095      2.1918  0.00100536
