#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.12355     2.12355           0
           2     2.13466      2.1291   0.0039278
           3     2.13863     2.13228  0.00368525
           4     2.12533     2.13054  0.00314686
           5     2.11473     2.12738  0.00378687
           6      2.0945      2.1219  0.00591454
           7      2.0928     2.11774  0.00636476
           8     2.09616     2.11505  0.00611422
           9     2.11354     2.11488  0.00543715
          10     2.10668     2.11406  0.00495493
          11     2.13131     2.11563  0.00474629
          12     2.11991     2.11598  0.00436414
          13     2.11231      2.1157   0.0040376
          14     2.09929     2.11453  0.00391573
          15     2.12127     2.11498  0.00368042
          16     2.10209     2.11417  0.00353742
          17     2.08399      2.1124  0.00374847
          18     2.09896     2.11165  0.00361375
          19      2.1275     2.11249  0.00351854
          20     2.12834     2.11328  0.00343078
          21     2.11703     2.11346  0.00327206
          22     2.12088     2.11379   0.0031407
          23      2.1344     2.11469  0.00312927
          24     2.14987     2.11616  0.00332448
          25     2.20848     2.11985  0.00482468
          26     2.21729      2.1236  0.00591832
          27      2.2245     2.12733   0.0067771
          28     2.21503     2.13047  0.00722262
          29     2.21439     2.13336  0.00753103
          30     2.23263     2.13667  0.00797384
          31      2.1997      2.1387  0.00797161
          32     2.18054     2.14001  0.00782899
          33     2.17613      2.1411  0.00766787
          34     2.17144       2.142  0.00749409
          35      2.1792     2.14306  0.00735499
          36     2.18098     2.14411  0.00722572
          37     2.16247     2.14461  0.00704745
          38     2.18273     2.14561  0.00693302
          39     2.24208     2.14809  0.00718294
          40     2.27855     2.15135  0.00770838
          41     2.29318     2.15481  0.00826017
          42     2.33008     2.15898  0.00905658
          43     2.38689     2.16428   0.0102806
          44     2.46209     2.17105   0.0120711
          45     2.56717     2.17985   0.0146653
          46        2.72     2.19159   0.0184584
          47     2.90381     2.20675   0.0234757
          48     3.09922     2.22534    0.029443
          49     3.19681     2.24517   0.0348843
          50      3.0276     2.26081   0.0375328
