#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02669     3.02669           0
           2     3.19673     3.11171   0.0601179
           3     3.09885     3.10742   0.0402311
           4     2.90379     3.05651   0.0534232
           5     2.71991     2.98919   0.0738401
           6      2.5671     2.91884   0.0889405
           7     2.46207     2.85359   0.0972698
           8     2.38689     2.79525    0.101103
           9     2.33008     2.74357    0.102231
          10     2.29317     2.69853    0.101445
          11     2.27855     2.66035   0.0991473
          12     2.24208     2.62549   0.0968182
          13     2.18273     2.59143   0.0951728
          14     2.16247     2.56079   0.0931765
          15     2.18098     2.53547   0.0903397
          16      2.1792     2.51321   0.0873946
          17     2.17144      2.4931   0.0845344
          18     2.17613     2.47549   0.0816516
          19     2.18054     2.45997    0.078816
          20      2.1997     2.44696    0.075942
          21     2.23263     2.43675   0.0730083
          22     2.21439     2.42664   0.0703859
          23     2.21503     2.41744   0.0679243
          24      2.2245      2.4094   0.0655681
          25     2.21729     2.40172   0.0633941
          26     2.20848     2.39429     0.06139
          27     2.14987     2.38523     0.05978
          28      2.1344     2.37627   0.0583124
          29     2.12088     2.36747   0.0569628
          30     2.11703     2.35912   0.0556723
          31     2.12834     2.35168   0.0543719
          32      2.1275     2.34467   0.0531222
          33     2.09896     2.33722   0.0520316
          34     2.08399     2.32978   0.0510315
          35     2.10209     2.32327   0.0499864
          36     2.12127     2.31766   0.0489118
          37     2.09929     2.31176   0.0479446
          38     2.11231     2.30651   0.0469693
          39     2.11991     2.30172    0.046008
          40     2.13131     2.29746   0.0450547
          41     2.10668     2.29281   0.0441954
          42     2.11354     2.28854   0.0433488
          43     2.09616     2.28407   0.0425709
          44      2.0928     2.27972   0.0418247
          45      2.0945     2.27561   0.0410973
          46     2.11473     2.27211   0.0403524
          47     2.12533     2.26899   0.0396145
          48     2.13863     2.26627   0.0388822
          49     2.13466     2.26358   0.0381814
          50     2.12355     2.26078   0.0375203
