#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.527527   -0.527527           0
           2   -0.538436   -0.532981  0.00385693
           3   -0.542731   -0.536231  0.00369495
           4   -0.529241   -0.534484  0.00315755
           5   -0.518418   -0.531271  0.00382622
           6   -0.498341   -0.525782  0.00593862
           7   -0.496293    -0.52157  0.00641267
           8   -0.500459   -0.518931  0.00613004
           9   -0.517698   -0.518794  0.00545045
          10   -0.509891   -0.517903  0.00497759
          11   -0.536107   -0.519558  0.00479227
          12   -0.523193   -0.519861  0.00440248
          13   -0.515948    -0.51956   0.0040741
          14   -0.502932   -0.518373  0.00395242
          15   -0.525532    -0.51885  0.00371763
          16   -0.505354   -0.518006   0.0035797
          17    -0.48753   -0.516214  0.00379154
          18   -0.502635   -0.515459  0.00365517
          19    -0.53128   -0.516292  0.00355637
          20   -0.531785   -0.517067  0.00346189
          21   -0.521232   -0.517265  0.00330272
          22   -0.524583   -0.517598   0.0031693
          23   -0.538479   -0.518505  0.00315887
          24   -0.554424   -0.520002  0.00336315
          25   -0.612431   -0.523699  0.00485246
          26   -0.621721   -0.527469  0.00595286
          27   -0.628246   -0.531202  0.00680262
          28   -0.619032   -0.534339  0.00724689
          29   -0.618407   -0.537238  0.00755459
          30   -0.636979   -0.540562  0.00800098
          31   -0.603198   -0.542583  0.00799394
          32   -0.584736     -0.5439  0.00785191
          33   -0.579782   -0.544987  0.00768889
          34   -0.575774   -0.545893  0.00751588
          35   -0.582485   -0.546938   0.0073735
          36   -0.585664   -0.548014  0.00724672
          37   -0.565736   -0.548493  0.00706667
          38   -0.587085   -0.549509   0.0069533
          39   -0.646553   -0.551997  0.00720651
          40   -0.683011   -0.555272  0.00773493
          41   -0.697626   -0.558744  0.00828899
          42   -0.735338   -0.562949  0.00909573
          43   -0.792785   -0.568294   0.0103361
          44    -0.86852   -0.575117   0.0121463
          45   -0.974159   -0.583985   0.0147626
          46    -1.12918   -0.595837   0.0186006
          47    -1.31388   -0.611114   0.0236611
          48    -1.50963   -0.629833   0.0296626
          49    -1.60394   -0.649713   0.0350921
          50    -1.43659   -0.665451   0.0377546
