#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43643    -1.43643           0
           2    -1.60742    -1.52193   0.0604561
           3    -1.50547    -1.51644   0.0405523
           4    -1.30941    -1.46468   0.0541674
           5    -1.12477     -1.3967   0.0746663
           6   -0.972714    -1.32604   0.0896257
           7   -0.866892    -1.26044    0.097925
           8   -0.791261     -1.2018    0.101742
           9   -0.734243    -1.14985    0.102849
          10   -0.697464    -1.10461    0.102029
          11   -0.682221    -1.06621   0.0997179
          12   -0.645416    -1.03114   0.0973786
          13   -0.585972   -0.996899   0.0957198
          14   -0.566964   -0.966189   0.0936795
          15   -0.584056   -0.940713   0.0908322
          16   -0.583782   -0.918405   0.0878519
          17   -0.575048   -0.898208   0.0849741
          18   -0.580443   -0.880554   0.0820667
          19    -0.58441   -0.864968   0.0792137
          20   -0.604343   -0.851936   0.0763173
          21   -0.636338    -0.84167   0.0733705
          22   -0.618601    -0.83153   0.0707326
          23   -0.619095   -0.822294   0.0682577
          24   -0.628765    -0.81423   0.0658882
          25   -0.620875   -0.806496    0.063705
          26   -0.612319   -0.799028    0.061691
          27   -0.553077   -0.789918   0.0600749
          28   -0.537999   -0.780921   0.0585992
          29    -0.52474   -0.772087   0.0572406
          30   -0.520358   -0.763696   0.0559442
          31   -0.532324   -0.756233   0.0546351
          32   -0.531042   -0.749196   0.0533791
          33   -0.502578   -0.741722    0.052282
          34   -0.487806   -0.734254   0.0512749
          35   -0.506189   -0.727738   0.0502223
          36   -0.524468   -0.722092   0.0491436
          37   -0.503215   -0.716176   0.0481701
          38   -0.516237   -0.710915    0.047189
          39   -0.524273   -0.706129    0.046221
          40   -0.534143   -0.701829    0.045265
          41   -0.511172   -0.697179   0.0443992
          42   -0.517102   -0.692892   0.0435486
          43    -0.49964   -0.688397   0.0427672
          44   -0.497092   -0.684049   0.0420156
          45   -0.498478   -0.679926   0.0412838
          46   -0.518835   -0.676424   0.0405346
          47   -0.529248   -0.673292   0.0397929
          48   -0.542382   -0.670565   0.0390572
          49   -0.538748   -0.667875   0.0383527
          50   -0.527534   -0.665068   0.0376882
          51   -0.531215   -0.662443   0.0370405
          52   -0.507817    -0.65947   0.0364473
          53   -0.524494   -0.656923   0.0358485
          54   -0.487894   -0.653793    0.035321
          55   -0.515367   -0.651276   0.0347684
          56   -0.506774   -0.648696   0.0342432
          57   -0.491763   -0.645943   0.0337529
          58   -0.486474   -0.643193   0.0332827
          59   -0.460443   -0.640096   0.0328625
          60   -0.434985   -0.636677   0.0324921
          61     -0.4115   -0.632986   0.0321684
          62   -0.413059   -0.629438   0.0318445
          63   -0.422588   -0.626155   0.0315079
          64   -0.439676   -0.623241     0.03115
          65   -0.445374   -0.620505   0.0307907
          66   -0.448495   -0.617899   0.0304343
          67   -0.438877   -0.615227   0.0300971
          68   -0.429683   -0.612498    0.029778
          69   -0.417405   -0.609671   0.0294803
          70   -0.403136    -0.60672   0.0292064
          71   -0.446826   -0.604468   0.0288818
          72   -0.475956   -0.602683   0.0285357
          73   -0.458908   -0.600714   0.0282127
          74   -0.422554   -0.598306    0.027934
          75   -0.425147   -0.595997   0.0276568
