#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.4157      1.4157           0
           2     1.42311      1.4194  0.00261853
           3     1.42575     1.42152  0.00245683
           4     1.41689     1.42036  0.00209791
           5     1.40982     1.41825  0.00252458
           6     1.39633      1.4146  0.00394302
           7      1.3952     1.41183  0.00424317
           8     1.39744     1.41003  0.00407614
           9     1.40903     1.40992  0.00362477
          10     1.40445     1.40937  0.00330329
          11     1.42088     1.41042  0.00316419
          12     1.41327     1.41066  0.00290943
          13      1.4082     1.41047  0.00269173
          14     1.39952     1.40969  0.00261048
          15     1.41418     1.40999  0.00245361
          16     1.40139     1.40945  0.00235828
          17     1.38933     1.40826  0.00249898
          18     1.39931     1.40777  0.00240916
          19     1.41834     1.40832  0.00234569
          20     1.41889     1.40885  0.00228719
          21     1.41135     1.40897  0.00218138
          22     1.41392      1.4092   0.0020938
          23     1.42293     1.40979  0.00208618
          24     1.43325     1.41077  0.00221632
          25     1.47232     1.41323  0.00321645
          26     1.47819     1.41573  0.00394555
          27       1.483     1.41822  0.00451807
          28     1.47669     1.42031  0.00481508
          29     1.47626     1.42224  0.00502069
          30     1.48842     1.42445  0.00531589
          31     1.46646      1.4258  0.00531441
          32     1.45369     1.42667  0.00521932
          33     1.45075      1.4274  0.00511191
          34     1.44763       1.428  0.00499606
          35      1.4528     1.42871  0.00490333
          36     1.45399     1.42941  0.00481715
          37     1.44165     1.42974   0.0046983
          38     1.45515     1.43041  0.00462201
          39     1.49472     1.43206  0.00478863
          40     1.51903     1.43423  0.00513892
          41     1.52878     1.43654  0.00550678
          42     1.55339     1.43932  0.00603772
          43     1.59126     1.44285  0.00685372
          44      1.6414     1.44737  0.00804742
          45     1.71144     1.45323  0.00977689
          46     1.81334     1.46106   0.0123056
          47     1.93587     1.47116   0.0156505
          48     2.06615     1.48356   0.0196287
          49     2.13121     1.49678   0.0232562
          50      2.0184     1.50721   0.0250218
