#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01779     2.01779           0
           2     2.13115     2.07447   0.0400786
           3      2.0659     2.07161   0.0268207
           4     1.93586     2.03768   0.0356155
           5     1.81327     1.99279   0.0492267
           6      1.7114      1.9459   0.0592936
           7     1.64138     1.90239   0.0648466
           8     1.59126      1.8635   0.0674018
           9     1.55338     1.82904   0.0681538
          10     1.52878     1.79902     0.06763
          11     1.51903     1.77357   0.0660982
          12     1.49472     1.75033   0.0645455
          13     1.45515     1.72762   0.0634486
          14     1.44165      1.7072   0.0621177
          15     1.45399     1.69032   0.0602265
          16      1.4528     1.67547    0.058263
          17     1.44763     1.66207   0.0563562
          18     1.45075     1.65033   0.0544344
          19     1.45369     1.63998    0.052544
          20     1.46646      1.6313    0.050628
          21     1.48842      1.6245   0.0486722
          22     1.47626     1.61776   0.0469239
          23     1.47669     1.61163   0.0452829
          24       1.483     1.60627   0.0437121
          25     1.47819     1.60114   0.0422627
          26     1.47232     1.59619   0.0409267
          27     1.43325     1.59016   0.0398533
          28     1.42293     1.58418   0.0388749
          29     1.41392     1.57831   0.0379752
          30     1.41135     1.57275   0.0371149
          31     1.41889     1.56778   0.0362479
          32     1.41834     1.56311   0.0354148
          33     1.39931     1.55815   0.0346877
          34     1.38933     1.55318    0.034021
          35     1.40139     1.54885   0.0333243
          36     1.41418     1.54511   0.0326079
          37     1.39952     1.54117   0.0319631
          38      1.4082     1.53767   0.0313129
          39     1.41327     1.53448    0.030672
          40     1.42088     1.53164   0.0300364
          41     1.40445     1.52854   0.0294636
          42     1.40903     1.52569   0.0288992
          43     1.39744     1.52271   0.0283806
          44      1.3952     1.51981   0.0278832
          45     1.39633     1.51707   0.0273982
          46     1.40982     1.51474   0.0269016
          47     1.41689     1.51266   0.0264097
          48     1.42575     1.51085   0.0259215
          49     1.42311     1.50906   0.0254542
          50      1.4157     1.50719   0.0250135
          51     1.41796     1.50544   0.0245842
          52     1.40282     1.50347   0.0241905
          53     1.41364     1.50177   0.0237934
          54     1.38929     1.49969   0.0234437
          55     1.40765     1.49801   0.0230771
          56     1.40196      1.4963   0.0227287
          57     1.39203     1.49447   0.0224035
          58     1.38835     1.49264   0.0220918
          59     1.37173     1.49059   0.0218122
          60     1.35407     1.48832    0.021567
          61     1.33871     1.48586   0.0213524
          62     1.33954      1.4835   0.0211381
          63     1.34576     1.48132   0.0209153
          64     1.35743     1.47938   0.0206779
          65     1.36116     1.47756   0.0204396
          66      1.3635     1.47583   0.0202028
          67     1.35692     1.47406   0.0199791
          68     1.35115     1.47225   0.0197669
          69     1.34267     1.47037   0.0195694
          70     1.33316     1.46841   0.0193878
          71       1.362     1.46691   0.0191726
          72     1.38178     1.46573   0.0189427
          73     1.37033     1.46443   0.0187282
          74     1.34623     1.46283   0.0185431
          75     1.34785     1.46129   0.0183592
          76     1.34503     1.45976   0.0181812
          77     1.35492      1.4584    0.017996
          78      1.3644      1.4572   0.0178056
          79     1.35069     1.45585   0.0176312
          80     1.32602     1.45423   0.0174853
          81     1.33616     1.45277   0.0173301
          82     1.32626     1.45123   0.0171873
          83     1.33166     1.44979   0.0170405
          84     1.32729     1.44833   0.0168999
          85      1.3404     1.44706   0.0167487
          86     1.34278     1.44585   0.0165978
          87     1.32374     1.44444   0.0164663
          88     1.33292     1.44317   0.0163278
          89     1.34933     1.44212   0.0161784
          90     1.35312     1.44113   0.0160288
          91     1.31324     1.43973   0.0159142
          92     1.30093     1.43822   0.0158125
          93      1.2834     1.43655   0.0157299
          94     1.27161      1.4348   0.0156601
          95     1.28886     1.43326   0.0155705
          96     1.29067     1.43178   0.0154789
          97     1.28965     1.43031   0.0153886
          98     1.29005     1.42888    0.015298
          99     1.30289     1.42761   0.0151963
         100     1.29401     1.42627   0.0151029
         101     1.28228     1.42485   0.0150205
         102     1.28413     1.42347   0.0149365
         103     1.29979     1.42227   0.0148396
         104     1.32872     1.42137   0.0147242
         105     1.32629     1.42046   0.0146118
         106     1.31467     1.41946    0.014508
         107     1.31893     1.41852   0.0144028
         108     1.31014     1.41752   0.0143043
         109     1.29631     1.41641   0.0142163
         110     1.30104     1.41536   0.0141257
         111     1.31547     1.41446    0.014027
         112     1.33872     1.41378   0.0139181
         113     1.33584     1.41309    0.013812
