#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59681     1.59681           0
           2     1.59667     1.59674 4.97719e-05
           3     1.59661      1.5967 4.92234e-05
           4      1.5969     1.59675 5.73838e-05
           5     1.59688     1.59677 5.17018e-05
           6     1.59687     1.59679 4.53243e-05
           7     1.59597     1.59667 0.000114546
           8     1.59573     1.59655 0.000149085
           9     1.59587     1.59648 0.000150619
          10      1.5968     1.59651  0.00013889
          11     1.59618     1.59648 0.000129375
          12     1.59657     1.59649 0.000118822
          13     1.59605     1.59645 0.000114386
          14     1.59546     1.59638 0.000126378
          15     1.59609     1.59636 0.000119417
          16     1.59571     1.59632  0.00011872
          17     1.59598      1.5963 0.000113453
          18      1.5957     1.59627 0.000112009
          19     1.59572     1.59624  0.00010978
          20     1.59673     1.59626 0.000106953
          21     1.59632     1.59627 0.000101888
          22     1.59612     1.59626 9.74657e-05
          23     1.59574     1.59624 9.58569e-05
          24     1.59645     1.59625 9.22749e-05
          25     1.59621     1.59625  8.8596e-05
          26     1.59642     1.59625 8.54438e-05
          27     1.59619     1.59625  8.2311e-05
          28     1.59574     1.59623 8.13909e-05
          29     1.59677     1.59625 8.06483e-05
          30       1.597     1.59628 8.17665e-05
          31     1.59647     1.59628 7.93622e-05
          32      1.5963     1.59628 7.68841e-05
          33     1.59642     1.59629 7.46644e-05
          34      1.5973     1.59632 7.81846e-05
          35      1.5967     1.59633 7.67119e-05
          36     1.59601     1.59632 7.50881e-05
          37     1.59692     1.59633 7.48002e-05
          38     1.59643     1.59634 7.28773e-05
          39     1.59576     1.59632 7.24857e-05
          40      1.5968     1.59633 7.16491e-05
          41     1.59649     1.59634 7.00077e-05
          42     1.59674     1.59635  6.8996e-05
          43     1.59665     1.59635 6.77552e-05
          44     1.59648     1.59636 6.62799e-05
          45     1.59643     1.59636 6.48243e-05
          46     1.59681     1.59637 6.41434e-05
          47     1.59703     1.59638 6.42975e-05
          48     1.59684     1.59639 6.36549e-05
          49     1.59672      1.5964 6.27099e-05
          50     1.59664      1.5964 6.16388e-05
          51     1.59664     1.59641  6.0603e-05
          52     1.59693     1.59642 6.02588e-05
          53      1.5965     1.59642   5.914e-05
          54     1.59671     1.59643 5.82934e-05
          55      1.5969     1.59643 5.78753e-05
          56     1.59713     1.59645 5.81608e-05
          57     1.59679     1.59645 5.74501e-05
          58     1.59706     1.59646  5.7415e-05
          59     1.59625     1.59646 5.65526e-05
          60      1.5966     1.59646 5.56558e-05
          61     1.59693     1.59647 5.52646e-05
          62     1.59684     1.59648 5.46925e-05
          63     1.59645     1.59647 5.38253e-05
          64     1.59653     1.59648 5.29913e-05
          65     1.59663     1.59648 5.22319e-05
          66      1.5961     1.59647   5.176e-05
          67     1.59657     1.59647 5.10079e-05
          68     1.59642     1.59647 5.02647e-05
          69     1.59642     1.59647 4.95425e-05
          70     1.59644     1.59647 4.88373e-05
          71      1.5972     1.59648 4.92239e-05
          72     1.59599     1.59648 4.90087e-05
          73     1.59663     1.59648 4.83813e-05
