# VELOCITY:     ACTUAL_POFV:
         0.2 0.000925926
         0.6  0.00694444
           1   0.0486111
         1.4    0.170833
         1.8     0.35463
         2.2     0.55787
         2.6    0.624074
           3    0.442593
         3.4    0.179167
         3.8   0.0796296
         4.2   0.0208333
         4.6   0.0106481
           5  0.00324074
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
