#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -1.6073     -1.6073           0
           2    -1.58647    -1.59688  0.00736514
           3    -1.68219    -1.62532   0.0237311
           4    -1.58235    -1.61458   0.0200826
           5    -1.39162    -1.56998   0.0429989
           6    -1.27693    -1.52114   0.0572007
           7     -1.2093    -1.47659   0.0640698
           8    -1.17543    -1.43895   0.0662033
           9    -1.16739    -1.40877   0.0653629
          10    -1.20233    -1.38813   0.0620012
          11    -1.22468    -1.37327   0.0581179
          12     -1.2807    -1.36556   0.0537843
          13    -1.27107    -1.35829   0.0501358
          14    -1.11129    -1.34065   0.0495617
          15   -0.990972    -1.31733   0.0514487
          16    -0.90095    -1.29131   0.0544184
          17   -0.839575    -1.26474   0.0573392
          18   -0.782562    -1.23795    0.060086
          19   -0.772964    -1.21348   0.0617066
          20   -0.712142    -1.18841   0.0635089
          21   -0.687664    -1.16457   0.0648067
          22   -0.661602     -1.1417   0.0657699
          23   -0.647202     -1.1202   0.0663315
          24   -0.635088    -1.09999   0.0665763
          25   -0.633654    -1.08134   0.0664751
          26   -0.610788    -1.06324   0.0663362
          27   -0.609624    -1.04644   0.0659725
          28   -0.620897    -1.03124   0.0653435
          29   -0.636534    -1.01763   0.0644921
          30   -0.648853    -1.00534   0.0635031
          31   -0.635219   -0.993398   0.0625669
          32   -0.608363   -0.981366   0.0617578
          33   -0.621986   -0.970475    0.060839
          34   -0.601193   -0.959614   0.0600113
          35   -0.580784    -0.94879   0.0592647
          36   -0.556705   -0.937899   0.0586107
          37   -0.538458   -0.927103   0.0580124
          38   -0.546782   -0.917095   0.0573426
          39   -0.555712   -0.907829    0.056616
          40   -0.545469    -0.89877   0.0559206
          41    -0.54896   -0.890238   0.0552038
          42    -0.52393   -0.881516    0.054574
          43   -0.541029   -0.873598   0.0538762
          44   -0.580634    -0.86694   0.0530616
          45   -0.596743   -0.860935   0.0522211
          46   -0.596379   -0.855184   0.0514015
          47   -0.574371   -0.849209   0.0506539
          48    -0.54044   -0.842777   0.0500054
          49   -0.520297   -0.836195   0.0494161
          50   -0.528799   -0.830047   0.0488087
          51   -0.513822   -0.823847   0.0482439
          52   -0.498678   -0.817594   0.0477197
          53   -0.454083   -0.810735   0.0473097
          54   -0.473472   -0.804489    0.046844
          55    -0.46091   -0.798242   0.0464069
          56    -0.44098   -0.791863   0.0460147
          57   -0.444583    -0.78577    0.045609
          58   -0.464369   -0.780229    0.045158
          59   -0.474977   -0.775055    0.044688
          60   -0.489357   -0.770293   0.0441961
          61   -0.505081   -0.765946   0.0436849
          62   -0.505606   -0.761747   0.0431817
          63      -0.479   -0.757259   0.0427289
          64   -0.459799   -0.752611   0.0423132
          65   -0.469263   -0.748252   0.0418862
          66   -0.511258   -0.744661   0.0414052
          67   -0.536028   -0.741547   0.0409041
          68   -0.528698   -0.738417   0.0404222
          69   -0.488097   -0.734789   0.0399988
          70   -0.466488   -0.730956   0.0396106
          71    -0.46627   -0.727228   0.0392278
          72   -0.494905   -0.724001   0.0388154
          73   -0.507273   -0.721032   0.0383971
          74   -0.544276   -0.718644   0.0379524
          75   -0.557142    -0.71649   0.0375074
          76   -0.559116    -0.71442    0.037071
          77   -0.564206   -0.712469   0.0366409
          78   -0.505052    -0.70981   0.0362675
          79   -0.479256   -0.706891   0.0359256
          80   -0.447499   -0.703649   0.0356226
          81   -0.418336   -0.700127   0.0353565
          82   -0.458574   -0.697181   0.0350478
          83   -0.469262   -0.694435    0.034733
          84   -0.448342   -0.691505   0.0344428
          85   -0.442607   -0.688577   0.0341619
          86   -0.458858   -0.685906   0.0338689
          87   -0.463597    -0.68335   0.0335759
          88   -0.474022   -0.680972   0.0332785
          89    -0.46936   -0.678594   0.0329894
          90   -0.451347   -0.676069   0.0327193
          91   -0.426954   -0.673332   0.0324741
          92    -0.42466   -0.670629   0.0322334
          93   -0.441694   -0.668167   0.0319807
          94   -0.452313   -0.665871   0.0317228
          95   -0.442575    -0.66352   0.0314758
          96   -0.458619   -0.661386   0.0312202
          97   -0.429355   -0.658994   0.0309899
          98    -0.41352   -0.656489   0.0307747
          99   -0.439609   -0.654298   0.0305417
         100    -0.43832   -0.652138   0.0303126
         101   -0.449418   -0.650131   0.0300788
         102   -0.502933   -0.648688   0.0298186
         103   -0.509157   -0.647333   0.0295598
         104   -0.468891   -0.645618   0.0293253
         105   -0.442019   -0.643679   0.0291101
         106    -0.44559    -0.64181   0.0288954
         107   -0.483619   -0.640331   0.0286631
         108   -0.482717   -0.638872   0.0284349
         109   -0.520164   -0.637783   0.0281948
         110   -0.508661   -0.636609   0.0279629
         111   -0.503548    -0.63541   0.0277367
         112   -0.464632   -0.633886   0.0275309
         113   -0.408838   -0.631894   0.0273592
         114   -0.382767   -0.629709   0.0272064
         115   -0.375039   -0.627494   0.0270598
         116   -0.377976   -0.625343   0.0269119
         117   -0.403375   -0.623446   0.0267486
         118   -0.382632   -0.621405   0.0265997
         119    -0.38636    -0.61943   0.0264494
         120   -0.387168   -0.617495   0.0262997
         121   -0.380005   -0.615532   0.0261555
         122   -0.408952   -0.613839   0.0259959
         123   -0.445068   -0.612466   0.0258207
         124   -0.477336   -0.611377   0.0256354
         125   -0.480646   -0.610331   0.0254517
         126   -0.461483   -0.609149   0.0252771
         127   -0.428651   -0.607728    0.025118
         128   -0.433806   -0.606369   0.0249585
         129    -0.47364   -0.605341   0.0247862
         130   -0.505391   -0.604572   0.0246075
         131    -0.49087   -0.603704   0.0244349
         132   -0.447433    -0.60252   0.0242785
         133   -0.427111   -0.601201   0.0241317
         134   -0.425746   -0.599892   0.0239871
         135   -0.423895   -0.598588   0.0238448
         136   -0.458275   -0.597556   0.0236918
         137   -0.453579   -0.596505   0.0235422
         138   -0.421771   -0.595239   0.0234056
         139   -0.397839   -0.593819   0.0232803
         140   -0.396407   -0.592409   0.0231566
         141    -0.41264   -0.591134   0.0230275
         142   -0.442049   -0.590084   0.0228892
         143   -0.452795   -0.589124   0.0227493
         144   -0.450588   -0.588162   0.0226117
         145   -0.442132   -0.587155   0.0224781
         146   -0.440925   -0.586153   0.0223465
         147   -0.413071   -0.584976   0.0222255
         148   -0.388423   -0.583648   0.0221149
