#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.12998     2.12998           0
           2     2.11922      2.1246  0.00380602
           3     2.18109     2.14343   0.0155815
           4     2.11705     2.13684   0.0130074
           5     1.99049     2.10757   0.0281715
           6     1.91329     2.07519   0.0377464
           7     1.86845     2.04565    0.042361
           8     1.84641     2.02075   0.0437794
           9     1.84024     2.00069   0.0432661
          10     1.86364     1.98699   0.0410527
          11     1.87745     1.97703   0.0385093
          12       1.916     1.97194   0.0356344
          13     1.91023      1.9672   0.0332079
          14     1.80435     1.95556     0.03281
          15     1.72477     1.94018   0.0340397
          16     1.66367      1.9229   0.0360329
          17     1.62334     1.90528   0.0379782
          18     1.58505     1.88749   0.0398176
          19      1.5791     1.87125   0.0408965
          20     1.53835     1.85461   0.0421029
          21     1.52255      1.8388   0.0429648
          22     1.50476     1.82361   0.0436123
          23     1.49536     1.80934   0.0439894
          24     1.48755     1.79593   0.0441527
          25     1.48618     1.78354   0.0440908
          26     1.47132     1.77153   0.0439999
          27     1.47067     1.76039   0.0437586
          28     1.47761     1.75029   0.0433456
          29     1.48833     1.74126   0.0427818
          30     1.49657      1.7331   0.0421261
          31     1.48773     1.72519   0.0415041
          32     1.46979     1.71721   0.0409673
          33     1.47875     1.70998   0.0403581
          34     1.46553     1.70279   0.0398064
          35     1.45157     1.69561   0.0393108
          36     1.43514     1.68838    0.038879
          37     1.42321     1.68121   0.0384831
          38     1.42861     1.67456   0.0380402
          39     1.43494     1.66842   0.0375577
          40     1.42781      1.6624   0.0370974
          41     1.43042     1.65675   0.0366215
          42     1.41345     1.65095   0.0362048
          43      1.4247     1.64569   0.0357431
          44     1.45133     1.64127   0.0352027
          45      1.4618     1.63729   0.0346456
          46      1.4621     1.63348   0.0341011
          47     1.44719     1.62951   0.0336051
          48     1.42442     1.62524   0.0331755
          49     1.41121     1.62087   0.0327848
          50       1.417      1.6168   0.0323816
