# Throws Block r210_Mean r210_Error
12340 1 5.167 0
24680 2 5.0618 0.105202
37020 3 5.08426 0.0647582
49360 4 5.10854 0.0518274
61700 5 5.1028 0.0405538
74040 6 5.10159 0.0331342
86380 7 5.07629 0.0377361
98720 8 5.04818 0.0431046
111060 9 5.03996 0.0388936
123400 10 5.03946 0.0347911
135740 11 5.02399 0.0350692
148080 12 5.03027 0.0326239
160420 13 5.0217 0.0312088
172760 14 5.02083 0.0289069
185100 15 5.01988 0.0269276
197440 16 5.02067 0.025201
209780 17 5.02804 0.0247916
222120 18 5.02486 0.0235886
234460 19 5.03179 0.0233643
246800 20 5.039 0.0233085
259140 21 5.04124 0.0222832
271480 22 5.0431 0.0213276
283820 23 5.04447 0.0204254
296160 24 5.03829 0.0205105
308500 25 5.0375 0.0196888
320840 26 5.02987 0.0203957
333180 27 5.03344 0.0199475
345520 28 5.03673 0.0195006
357860 29 5.03448 0.0189493
370200 30 5.03071 0.0186923
382540 31 5.02909 0.0181514
394880 32 5.02779 0.0176235
407220 33 5.03086 0.0173556
419560 34 5.02762 0.0171468
431900 35 5.03015 0.0168408
444240 36 5.02721 0.016627
456580 37 5.02843 0.0162171
468920 38 5.02339 0.0165709
481260 39 5.02247 0.0161662
493600 40 5.02629 0.0162124
505940 41 5.02626 0.0158121
518280 42 5.02829 0.0155641
530620 43 5.02635 0.0153209
542960 44 5.02448 0.0150851
555300 45 5.0244 0.0147463
567640 46 5.02316 0.0144757
579980 47 5.02237 0.0141859
592320 48 5.02544 0.0142225
604660 49 5.02917 0.0144186
617000 50 5.02832 0.0141529
629340 51 5.03033 0.0140183
641680 52 5.02686 0.0141785
654020 53 5.02482 0.0140565
666360 54 5.02585 0.0138317
678700 55 5.02726 0.0136506
691040 56 5.02439 0.0137073
703380 57 5.02118 0.0138416
715720 58 5.02081 0.013606
728060 59 5.02159 0.0133964
740400 60 5.02238 0.0131948
752740 61 5.02283 0.0129843
765080 62 5.01999 0.0130834
777420 63 5.02052 0.0128848
789760 64 5.02127 0.012704
802100 65 5.02016 0.0125561
814440 66 5.02057 0.0123713
826780 67 5.02382 0.0126102
839120 68 5.02061 0.0128317
851460 69 5.01823 0.0128664
863800 70 5.01787 0.0126862
876140 71 5.01668 0.0125634
888480 72 5.01531 0.0124634
900820 73 5.01496 0.0122964
913160 74 5.01405 0.0121635
925500 75 5.01296 0.0120495
937840 76 5.0127 0.0118928
950180 77 5.01204 0.0117557
962520 78 5.01061 0.0116915
974860 79 5.00952 0.0115938
987200 80 5.00926 0.011451
999540 81 5.01037 0.0113636
1011880 82 5.01082 0.0112331
1024220 83 5.00905 0.0112383
1036560 84 5.00918 0.0111045
1048900 85 5.01019 0.0110191
1061240 86 5.00922 0.0109326
1073580 87 5.01069 0.0109052
1085920 88 5.01053 0.0107818
1098260 89 5.01068 0.010661
1110600 90 5.01124 0.0105568
1122940 91 5.0092 0.0106383
1135280 92 5.0062 0.0109401
1147620 93 5.00711 0.0108602
1159960 94 5.00934 0.0109714
1172300 95 5.00856 0.0108829
1184640 96 5.00998 0.0108614
1196980 97 5.01017 0.0107506
1209320 98 5.00979 0.0106471
1221660 99 5.00921 0.0105547
1234000 100 5.00949 0.0104525
