# Throws Block r210_Mean r210_Error
11930 1 4.91199 0
23860 2 4.87767 0.034315
35790 3 4.91053 0.0383727
47720 4 4.95079 0.0485446
59650 5 4.9296 0.0431606
71580 6 4.92311 0.035833
83510 7 4.91502 0.0313479
95440 8 4.92263 0.0281968
107370 9 4.9567 0.042179
119300 10 4.96054 0.0379211
131230 11 4.97442 0.0370004
143160 12 4.98203 0.0346239
155090 13 4.97582 0.0324492
167020 14 4.96614 0.0315634
178950 15 4.96847 0.0294765
190880 16 4.9672 0.0276022
202810 17 4.96305 0.0262576
214740 18 4.96752 0.0251561
226670 19 4.97063 0.0239977
238600 20 4.97247 0.02284
250530 21 4.98201 0.0237301
262460 22 4.97964 0.0227501
274390 23 4.97909 0.0217452
286320 24 4.98001 0.0208398
298250 25 4.98386 0.0203565
310180 26 4.98033 0.0198745
322110 27 4.97161 0.0210171
334040 28 4.96733 0.0207008
345970 29 4.97432 0.0211608
357900 30 4.97579 0.0204961
369830 31 4.9769 0.0198552
381760 32 4.97513 0.0193059
393690 33 4.97744 0.0188531
405620 34 4.97766 0.0182916
417550 35 4.98215 0.0183201
429480 36 4.97895 0.0180893
441410 37 4.97863 0.0175966
453340 38 4.97871 0.0171275
465270 39 4.98382 0.0174463
477200 40 4.9888 0.0177196
489130 41 4.98524 0.0176447
501060 42 4.99082 0.0180986
512990 43 4.98975 0.0177045
524920 44 4.99169 0.0174056
536850 45 4.98827 0.0173553
548780 46 4.98583 0.0171477
560710 47 4.98431 0.0168475
572640 48 4.98437 0.0164929
584570 49 4.98641 0.0162819
596500 50 4.98629 0.0159534
608430 51 4.98344 0.0158955
620360 52 4.98293 0.0155953
632290 53 4.98419 0.0153505
644220 54 4.9842 0.0150635
656150 55 4.9844 0.0147885
668080 56 4.98539 0.0145553
680010 57 4.98743 0.0144426
691940 58 4.9883 0.0142184
703870 59 4.98923 0.014006
715800 60 4.98894 0.0137737
727730 61 4.98879 0.0135469
739660 62 4.98817 0.013341
751590 63 4.98865 0.0131364
763520 64 4.98663 0.0130868
775450 65 4.98548 0.0129354
787380 66 4.98511 0.0127433
799310 67 4.98566 0.0125638
811240 68 4.98727 0.0124822
823170 69 4.98835 0.0123476
835100 70 4.98774 0.0121854
847030 71 4.99024 0.0122692
858960 72 4.9914 0.0121529
870890 73 4.99182 0.0119927
882820 74 4.99142 0.011836
894750 75 4.98907 0.0119115
906680 76 4.99099 0.0119088
918610 77 4.99135 0.0117587
930540 78 4.98986 0.0117018
942470 79 4.99151 0.0116693
954400 80 4.99114 0.0115284
966330 81 4.99248 0.0114641
978260 82 4.99013 0.0115657
990190 83 4.99027 0.0114264
1002120 84 4.98898 0.011363
1014050 85 4.98793 0.0112781
1025980 86 4.98916 0.0112142
1037910 87 4.98967 0.0110965
1049840 88 4.98831 0.0110546
1061770 89 4.98731 0.010975
1073700 90 4.98658 0.0108768
1085630 91 4.98753 0.0107983
1097560 92 4.98483 0.0110155
1109490 93 4.98502 0.0108981
1121420 94 4.98614 0.0108397
1133350 95 4.98729 0.0107857
1145280 96 4.98777 0.0106839
1157210 97 4.98697 0.0106037
1169140 98 4.98591 0.0105479
1181070 99 4.98737 0.0105424
1193000 100 4.98889 0.0105461
