#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.397035   -0.397035           0
           2   -0.372416   -0.384725  0.00870416
           3   -0.381673   -0.383708  0.00586194
           4   -0.398594   -0.387429  0.00545123
           5   -0.422504   -0.394444  0.00764101
           6   -0.458779   -0.405167   0.0116772
           7   -0.471052   -0.414579   0.0132708
           8   -0.487039   -0.423637   0.0143743
           9   -0.465042   -0.428237   0.0134933
          10   -0.432254   -0.428639     0.01215
          11   -0.422716     -0.4281   0.0110574
          12   -0.411101   -0.426684   0.0102263
          13   -0.411558    -0.42552  0.00950559
          14   -0.437849   -0.426401  0.00886731
          15   -0.455244   -0.428324  0.00848209
          16   -0.466183    -0.43069  0.00827542
          17   -0.438632   -0.431157  0.00780181
          18   -0.413337   -0.430167  0.00743092
          19   -0.391541   -0.428134  0.00731262
          20   -0.392756   -0.426365  0.00715775
          21    -0.43802    -0.42692  0.00683838
          22   -0.456337   -0.428257  0.00665699
          23   -0.501363   -0.431436  0.00708585
          24   -0.473156   -0.433174  0.00700059
          25   -0.444599   -0.433631  0.00673547
          26    -0.46397   -0.434798  0.00657671
          27   -0.449425    -0.43534   0.0063554
          28    -0.45277   -0.435962  0.00615884
          29   -0.447666   -0.436366  0.00595967
          30   -0.458674   -0.437109  0.00580722
          31   -0.456449   -0.437733   0.0056533
          32   -0.430814   -0.437517  0.00548077
          33   -0.439258    -0.43757  0.00531494
          34   -0.428962   -0.437317  0.00516465
          35   -0.423779    -0.43693  0.00503155
          36   -0.415073   -0.436323  0.00492828
          37   -0.434002    -0.43626  0.00479548
          38   -0.467004   -0.437069  0.00473704
          39   -0.475271   -0.438049  0.00471577
          40    -0.48988   -0.439344  0.00477258
          41   -0.474445     -0.4402  0.00473234
          42   -0.467749   -0.440856   0.0046649
          43   -0.460311   -0.441309   0.0045783
          44   -0.423599   -0.440906  0.00449191
          45   -0.438004   -0.440842  0.00439255
          46   -0.459971   -0.441258   0.0043167
          47   -0.483692   -0.442161  0.00431824
          48   -0.459659   -0.442525  0.00424364
          49   -0.424892   -0.442165  0.00417226
          50   -0.403146   -0.441385  0.00416116
          51   -0.368391   -0.439954   0.0043187
          52   -0.375414   -0.438712  0.00441039
          53   -0.404971   -0.438076  0.00437288
          54   -0.443557   -0.438177  0.00429308
          55   -0.491697    -0.43915   0.0043239
          56   -0.445478   -0.439263  0.00424816
          57   -0.407666   -0.438709  0.00420964
          58   -0.448073   -0.438871  0.00414016
          59    -0.47292   -0.439448  0.00411001
          60   -0.537614   -0.441084    0.004355
          61   -0.519903   -0.442376  0.00447119
          62   -0.527348   -0.443746  0.00460433
          63   -0.451082   -0.443863  0.00453272
          64   -0.432437   -0.443684  0.00446541
          65   -0.425076   -0.443398  0.00440588
          66   -0.427311   -0.443154  0.00434586
          67   -0.450272    -0.44326   0.0042823
          68   -0.491793   -0.443974  0.00427838
          69   -0.502414   -0.444821  0.00429939
          70   -0.472556   -0.445217  0.00425619
          71   -0.456682   -0.445379   0.0041993
          72   -0.462071   -0.445611  0.00414737
          73   -0.460646   -0.445817  0.00409567
          74   -0.455554   -0.445948  0.00404244
          75   -0.453268   -0.446046  0.00398972
          76   -0.445707   -0.446041  0.00393722
          77   -0.443169   -0.446004  0.00388627
          78   -0.451431   -0.446074  0.00383707
          79   -0.428221   -0.445848  0.00379514
          80   -0.440874   -0.445785  0.00374821
          81   -0.435604    -0.44566  0.00370405
          82   -0.429936   -0.445468  0.00366384
          83   -0.450312   -0.445526  0.00362016
          84   -0.465864   -0.445768  0.00358515
          85   -0.446425   -0.445776  0.00354298
          86   -0.424865   -0.445533  0.00351011
          87   -0.434126   -0.445402  0.00347222
          88   -0.413164   -0.445036  0.00345203
          89   -0.404926   -0.444585  0.00344254
          90   -0.411348   -0.444216  0.00342404
          91   -0.402537   -0.443758   0.0034169
          92   -0.380256   -0.443067  0.00344878
          93   -0.404614   -0.442654  0.00343639
          94    -0.40704   -0.442275  0.00342065
          95   -0.403399   -0.441866  0.00340904
          96   -0.388555   -0.441311  0.00341846
          97   -0.398035   -0.440864   0.0034122
          98   -0.392582   -0.440372  0.00341277
          99   -0.404439   -0.440009  0.00339754
         100   -0.418445   -0.439793   0.0033704
         101   -0.386636   -0.439267  0.00337788
         102   -0.415922   -0.439038   0.0033525
         103   -0.413599   -0.438791  0.00332904
         104   -0.414507   -0.438557  0.00330521
         105   -0.437451   -0.438547  0.00327375
         106   -0.411731   -0.438294  0.00325262
         107   -0.350939   -0.437478   0.0033231
         108   -0.351225   -0.436679  0.00338694
         109   -0.392835   -0.436277  0.00337967
         110   -0.401714   -0.435962  0.00336352
         111   -0.388728   -0.435537  0.00336003
         112   -0.386335   -0.435098  0.00335862
         113   -0.375097   -0.434567  0.00337061
         114    -0.36055   -0.433917    0.003403
         115   -0.369413   -0.433356  0.00341933
         116   -0.409092   -0.433147  0.00339624
         117    -0.42437   -0.433072  0.00336804
         118   -0.425702    -0.43301  0.00334008
         119   -0.423655   -0.432931  0.00331294
         120   -0.417265   -0.432801   0.0032879
         121   -0.426499   -0.432749  0.00326114
         122   -0.406579   -0.432534  0.00324145
         123   -0.429607    -0.43251  0.00321519
         124    -0.43331   -0.432517  0.00318927
         125   -0.458017   -0.432721  0.00317027
         126   -0.483984   -0.433128  0.00317111
         127   -0.464877   -0.433378  0.00315598
         128   -0.494048   -0.433852  0.00316671
         129   -0.486119   -0.434257  0.00316798
         130   -0.450727   -0.434383  0.00314614
         131   -0.418763   -0.434264  0.00312439
         132   -0.410923   -0.434087  0.00310572
         133   -0.432071   -0.434072   0.0030824
         134   -0.432443    -0.43406  0.00305942
         135   -0.491967   -0.434489  0.00306668
         136   -0.519834   -0.435116  0.00310768
         137   -0.525292   -0.435775  0.00315393
         138   -0.505653   -0.436281  0.00317146
         139   -0.467132   -0.436503   0.0031564
         140   -0.408528   -0.436303  0.00314018
         141   -0.410967   -0.436124  0.00312304
         142   -0.424983   -0.436045  0.00310203
         143   -0.437538   -0.436055  0.00308036
         144   -0.415363   -0.435912  0.00306232
         145   -0.396664   -0.435641  0.00305314
         146   -0.396967   -0.435376   0.0030437
         147   -0.406384   -0.435179  0.00302937
         148   -0.397334   -0.434923  0.00301968
         149   -0.415465   -0.434793  0.00300223
         150   -0.446428    -0.43487  0.00298322
         151   -0.452709   -0.434988   0.0029658
         152   -0.475764   -0.435257   0.0029584
         153   -0.466512   -0.435461  0.00294611
         154   -0.398929   -0.435224  0.00293651
         155   -0.354792   -0.434705  0.00296306
         156   -0.362278   -0.434241  0.00298022
         157   -0.377222   -0.433877  0.00298328
         158   -0.372376   -0.433488  0.00298969
         159   -0.366029   -0.433064  0.00300084
         160   -0.363679    -0.43263  0.00301325
         161   -0.367626   -0.432226  0.00302146
         162   -0.403669    -0.43205  0.00300795
         163    -0.42175   -0.431987  0.00299016
         164   -0.422137   -0.431927  0.00297253
         165   -0.437543   -0.431961  0.00295471
         166    -0.45084   -0.432075   0.0029391
         167   -0.403815   -0.431905  0.00292637
         168   -0.427237   -0.431878  0.00290908
         169    -0.46976   -0.432102  0.00290049
         170   -0.493626   -0.432464  0.00290592
         171   -0.468019   -0.432672  0.00289636
         172   -0.462138   -0.432843  0.00288458
         173   -0.440816   -0.432889  0.00286827
         174   -0.421617   -0.432824  0.00285252
         175   -0.423824   -0.432773  0.00283668
         176   -0.398569   -0.432578  0.00282722
         177   -0.388884   -0.432332    0.002822
         178   -0.360602   -0.431929  0.00283477
         179   -0.374985   -0.431611  0.00283673
         180   -0.395171   -0.431408  0.00282818
         181   -0.411693   -0.431299  0.00281465
         182   -0.378507   -0.431009   0.0028141
         183   -0.368568   -0.430668  0.00281933
         184   -0.394966   -0.430474  0.00281067
         185   -0.387743   -0.430243  0.00280496
         186   -0.365408   -0.429894  0.00281145
         187   -0.387658   -0.429668  0.00280548
         188   -0.395531   -0.429487  0.00279642
         189   -0.388885   -0.429272  0.00278987
         190   -0.374951   -0.428986  0.00278979
         191   -0.358478   -0.428617   0.0027995
         192   -0.364041   -0.428281  0.00280505
         193   -0.373421   -0.427996  0.00280488
         194   -0.382102    -0.42776  0.00280038
         195   -0.350013   -0.427361  0.00281426
         196   -0.344822    -0.42694  0.00283124
         197   -0.356606   -0.426583  0.00283929
         198   -0.355558   -0.426224  0.00284752
         199   -0.385884   -0.426022  0.00284041
         200   -0.393307   -0.425858  0.00283092
