#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -1.6073     -1.6073           0
           2    -1.58647    -1.59688  0.00736514
           3    -1.68219    -1.62532   0.0237311
           4    -1.58235    -1.61458   0.0200826
           5    -1.39162    -1.56998   0.0429989
           6    -1.27693    -1.52114   0.0572007
           7     -1.2093    -1.47659   0.0640698
           8    -1.17543    -1.43895   0.0662033
           9    -1.16739    -1.40877   0.0653629
          10    -1.20233    -1.38813   0.0620012
          11    -1.22468    -1.37327   0.0581179
          12     -1.2807    -1.36556   0.0537843
          13    -1.27107    -1.35829   0.0501358
          14    -1.11129    -1.34065   0.0495617
          15   -0.990972    -1.31733   0.0514487
          16    -0.90095    -1.29131   0.0544184
          17   -0.839575    -1.26474   0.0573392
          18   -0.782562    -1.23795    0.060086
          19   -0.772964    -1.21348   0.0617066
          20   -0.712142    -1.18841   0.0635089
          21   -0.687664    -1.16457   0.0648067
          22   -0.661602     -1.1417   0.0657699
          23   -0.647202     -1.1202   0.0663315
          24   -0.635088    -1.09999   0.0665763
          25   -0.633654    -1.08134   0.0664751
          26   -0.610788    -1.06324   0.0663362
          27   -0.609624    -1.04644   0.0659725
          28   -0.620897    -1.03124   0.0653435
          29   -0.636534    -1.01763   0.0644921
          30   -0.648853    -1.00534   0.0635031
          31   -0.635219   -0.993398   0.0625669
          32   -0.608363   -0.981366   0.0617578
          33   -0.621986   -0.970475    0.060839
          34   -0.601193   -0.959614   0.0600113
          35   -0.580784    -0.94879   0.0592647
          36   -0.556705   -0.937899   0.0586107
          37   -0.538458   -0.927103   0.0580124
          38   -0.546782   -0.917095   0.0573426
          39   -0.555712   -0.907829    0.056616
          40   -0.545469    -0.89877   0.0559206
          41    -0.54896   -0.890238   0.0552038
          42    -0.52393   -0.881516    0.054574
          43   -0.541029   -0.873598   0.0538762
          44   -0.580634    -0.86694   0.0530616
          45   -0.596743   -0.860935   0.0522211
          46   -0.596379   -0.855184   0.0514015
          47   -0.574371   -0.849209   0.0506539
          48    -0.54044   -0.842777   0.0500054
          49   -0.520297   -0.836195   0.0494161
          50   -0.528799   -0.830047   0.0488087
