#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.58768     1.58768           0
           2     1.59236     1.59002  0.00165611
           3     1.58944     1.58983  0.00111523
           4     1.59322     1.59068  0.00111292
           5     1.59412     1.59136  0.00108259
           6     1.59301     1.59164 0.000936158
           7     1.59337     1.59188 0.000834381
           8     1.59418     1.59217 0.000777907
           9     1.59297     1.59226 0.000696487
          10     1.59314     1.59235 0.000632315
          11      1.5915     1.59227 0.000579551
          12     1.59331     1.59236 0.000537646
          13     1.59428     1.59251 0.000516297
          14     1.59523      1.5927 0.000514769
          15     1.59618     1.59293 0.000530214
          16     1.59456     1.59303  0.00050676
          17     1.59544     1.59318 0.000496326
          18     1.59502     1.59328 0.000479169
          19     1.59568      1.5934 0.000470382
          20     1.59539      1.5935 0.000457209
          21     1.59616     1.59363 0.000452666
          22     1.59553     1.59372 0.000440287
          23     1.59584     1.59381 0.000430676
          24     1.59623     1.59391 0.000424385
          25     1.59562     1.59398 0.000412863
          26     1.59619     1.59406 0.000405665
          27     1.59638     1.59415 0.000399619
          28     1.59551      1.5942 0.000388298
          29     1.59596     1.59426 0.000379643
          30     1.59601     1.59432 0.000371437
          31     1.59638     1.59438 0.000365344
          32     1.59633     1.59444 0.000358952
          33     1.59614      1.5945 0.000351719
          34      1.5971     1.59457  0.00034961
          35     1.59658     1.59463 0.000344281
          36     1.59601     1.59467 0.000336836
          37     1.59636     1.59471 0.000330809
          38     1.59613     1.59475  0.00032419
          39      1.5967      1.5948 0.000319695
          40     1.59624     1.59484 0.000313722
          41     1.59668     1.59488 0.000309261
          42     1.59625     1.59491 0.000303611
          43     1.59602     1.59494  0.00029763
          44     1.59635     1.59497   0.0002926
          45     1.59596     1.59499 0.000286926
          46     1.59677     1.59503 0.000283266
          47     1.59641     1.59506 0.000278761
          48     1.59619     1.59508  0.00027394
          49     1.59652     1.59511 0.000269907
          50      1.5967     1.59515 0.000266356
