#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0596326   0.0596326           0
           2   0.0566966   0.0581646  0.00103803
           3   0.0596244   0.0586512 0.000797964
           4   0.0576185   0.0583931 0.000638879
           5   0.0600342   0.0587213 0.000589423
           6   0.0605718   0.0590297 0.000566152
           7   0.0588528   0.0590044 0.000485837
           8   0.0597441   0.0590969 0.000433815
           9   0.0582338    0.059001 0.000396072
          10   0.0577652   0.0588774  0.00037525
          11   0.0596366   0.0589464 0.000347426
          12   0.0577412    0.058846 0.000332675
          13   0.0594477   0.0588923 0.000310288
          14     0.05926   0.0589185 0.000289234
          15   0.0584043   0.0588843 0.000271976
          16   0.0588684   0.0588833 0.000254979
          17   0.0587596    0.058876 0.000240084
          18   0.0589104   0.0588779 0.000226754
          19   0.0607743   0.0589777 0.000235765
          20   0.0575454   0.0589061 0.000234601
          21   0.0588044   0.0589013  0.00022348
          22   0.0608692   0.0589907 0.000230531
          23   0.0602981   0.0590475 0.000227408
          24   0.0589361   0.0590429  0.00021798
          25   0.0583502   0.0590152 0.000211014
          26   0.0579716   0.0589751 0.000206681
          27   0.0583682   0.0589526 0.000200244
          28   0.0605762   0.0590106 0.000201313
          29   0.0589834   0.0590096 0.000194373
          30    0.058078   0.0589786 0.000190359
          31    0.059429   0.0589931 0.000184772
          32   0.0589497   0.0589917 0.000179003
          33   0.0581459   0.0589661 0.000175404
          34   0.0599704   0.0589957 0.000172714
          35   0.0612084   0.0590589 0.000178976
          36   0.0590375   0.0590583 0.000174006
          37   0.0578461   0.0590255  0.00017236
          38   0.0595426   0.0590391  0.00016836
          39   0.0580664   0.0590142  0.00016588
          40   0.0611475   0.0590675 0.000170091
