#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249515    0.249515           0
           2    0.248857    0.249186 0.000232911
           3    0.248627       0.249 0.000217466
           4    0.248852    0.248963 0.000166196
           5    0.248976    0.248965 0.000132979
           6    0.249193    0.249003 0.000116079
           7    0.249529    0.249078 0.000121363
           8    0.249328     0.24911 0.000110124
           9    0.249811    0.249187 0.000122374
          10    0.249166    0.249185 0.000110157
          11    0.248671    0.249139   0.0001096
          12     0.24978    0.249192 0.000112758
          13    0.249934    0.249249 0.000117632
          14    0.249581    0.249273 0.000111592
          15     0.24953     0.24929 0.000105458
          16    0.249129     0.24928 9.93432e-05
          17    0.249653    0.249302 9.58901e-05
          18    0.249645    0.249321 9.24404e-05
          19    0.249459    0.249328 8.78594e-05
          20    0.249644    0.249344 8.48742e-05
          21     0.24899    0.249327 8.24883e-05
          22    0.249542    0.249337 7.93135e-05
          23    0.248873    0.249317 7.83874e-05
          24    0.248592    0.249286 8.07258e-05
          25    0.249192    0.249283 7.75858e-05
          26    0.249519    0.249292 7.51342e-05
          27    0.248936    0.249279 7.34959e-05
          28    0.249334    0.249281 7.08973e-05
          29    0.249464    0.249287 6.87331e-05
          30    0.249945    0.249309 6.98531e-05
          31     0.25001    0.249331 7.11721e-05
          32    0.249491    0.249336 6.91221e-05
          33    0.249453     0.24934 6.71177e-05
          34    0.249872    0.249356 6.69435e-05
          35    0.249148     0.24935 6.52932e-05
          36    0.250472    0.249381 7.05362e-05
          37    0.249528    0.249385 6.87421e-05
          38    0.249931    0.249399 6.84191e-05
          39    0.250074    0.249417 6.88177e-05
          40    0.249354    0.249415 6.71151e-05
