#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1       7.353       7.353           0
           2     7.40635     7.37968   0.0188623
           3     7.42579     7.39505   0.0177661
           4     7.44661     7.40794   0.0173833
           5      7.3806     7.40247   0.0147412
           6     7.39981     7.40203    0.012291
           7     7.35995     7.39602   0.0119144
           8     7.42248     7.39933   0.0108746
           9     7.36671      7.3957   0.0102525
          10     7.39442     7.39557  0.00922806
          11     7.39819     7.39581   0.0083922
          12     7.44854      7.4002  0.00876827
          13     7.34633     7.39606  0.00902003
          14     7.53468     7.40596   0.0126962
          15     7.38511     7.40457   0.0119257
          16      7.3515     7.40126   0.0116324
          17     7.39614     7.40095   0.0109521
          18     7.41524     7.40175   0.0103723
          19     7.33131     7.39804    0.010468
          20     7.40178     7.39823   0.0099463
          21     7.37959     7.39734  0.00951219
          22       7.359      7.3956  0.00923806
          23     7.34486     7.39339  0.00909602
          24     7.33994     7.39116   0.0089855
          25     7.40277     7.39163  0.00863806
          26     7.43788     7.39341  0.00848699
          27     7.42837      7.3947  0.00827083
          28     7.40693     7.39514  0.00798696
          29     7.32669     7.39278  0.00805272
          30      7.4021     7.39309  0.00779029
          31     7.37636     7.39255  0.00755765
          32     7.44047     7.39405  0.00746837
          33     7.37035     7.39333  0.00727649
          34     7.47645     7.39577  0.00746191
          35     7.38997     7.39561  0.00725055
          36     7.44929      7.3971  0.00720088
          37     7.35798     7.39604  0.00708347
          38     7.40494     7.39628  0.00690093
          39     7.30183     7.39385  0.00713623
          40     7.37448     7.39337  0.00697424
