#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.93517    -0.93517           0
           2   -0.935734   -0.935452 0.000199348
           3   -0.934992   -0.935299 0.000182686
           4   -0.935926   -0.935456 0.000192955
           5   -0.935181   -0.935401 0.000162002
           6   -0.935194   -0.935366 0.000138598
           7   -0.934961   -0.935308 0.000130346
           8   -0.934546   -0.935213 0.000144777
           9   -0.935645   -0.935261 0.000136428
          10   -0.935569   -0.935292 0.000126212
          11    -0.93497   -0.935263 0.000118073
          12   -0.934906   -0.935233 0.000111903
          13   -0.936492    -0.93533 0.000139054
          14   -0.935221   -0.935322 0.000129338
          15   -0.935543   -0.935337 0.000121552
          16   -0.934548   -0.935287 0.000123545
          17   -0.936337   -0.935349 0.000130803
          18   -0.934918   -0.935325 0.000125707
          19   -0.935221    -0.93532 0.000119211
          20   -0.934651   -0.935286 0.000117853
          21   -0.935297   -0.935287 0.000112242
          22   -0.934786   -0.935264 0.000109427
          23   -0.934637   -0.935237 0.000108012
          24   -0.935429   -0.935245 0.000103807
          25    -0.93494   -0.935233  0.00010037
          26   -0.934902    -0.93522 9.73096e-05
          27   -0.934682     -0.9352 9.57246e-05
          28   -0.935368   -0.935206 9.24948e-05
          29    -0.93567   -0.935222 9.06809e-05
          30   -0.936364    -0.93526 9.53103e-05
          31   -0.933995   -0.935219 0.000100589
          32   -0.935948   -0.935242 9.99925e-05
          33   -0.934656   -0.935224 9.85287e-05
          34    -0.93443   -0.935201 9.83609e-05
          35   -0.935502   -0.935209 9.59261e-05
          36   -0.935612   -0.935221 9.39094e-05
          37   -0.934607   -0.935204 9.28236e-05
          38   -0.936121   -0.935228 9.34618e-05
          39   -0.935059   -0.935224 9.11665e-05
          40   -0.935964   -0.935242 9.07474e-05
