#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0695978   0.0695978           0
           2   0.0729035   0.0712506  0.00116876
           3   0.0698628    0.070788 0.000865898
           4   0.0710644   0.0708571 0.000652174
           5   0.0696855   0.0706228 0.000562264
           6   0.0708855   0.0706666 0.000470255
           7    0.069458   0.0704939 0.000433614
           8   0.0713944   0.0706065 0.000393749
           9   0.0725842   0.0708262  0.00040672
          10   0.0721509   0.0709587 0.000387018
          11   0.0717461   0.0710303 0.000358393
          12   0.0697791    0.070926 0.000343358
          13   0.0731242   0.0710951 0.000356155
          14    0.074888    0.071366  0.00042134
          15   0.0716651    0.071386 0.000393722
          16   0.0717355   0.0714078  0.00036972
          17   0.0726728   0.0714822 0.000355381
          18   0.0711245   0.0714623 0.000336193
          19   0.0725958    0.071522 0.000323748
          20   0.0696284   0.0714273 0.000321106
          21   0.0701792   0.0713679 0.000311268
          22   0.0714905   0.0713735 0.000297169
          23   0.0734477   0.0714636 0.000297619
          24   0.0682573     0.07133 0.000313774
          25   0.0690781     0.07124 0.000313886
          26   0.0741738   0.0713528 0.000321457
          27   0.0707204   0.0713294 0.000310404
          28   0.0711202   0.0713219 0.000299408
          29   0.0718268   0.0713393 0.000289589
          30    0.071095   0.0713312 0.000280051
          31   0.0727482   0.0713769 0.000274722
          32   0.0706768    0.071355 0.000267007
          33   0.0715666   0.0713614 0.000258992
          34   0.0717996   0.0713743 0.000251695
          35   0.0709284   0.0713616 0.000244826
          36   0.0719635   0.0713783 0.000238596
          37   0.0719236    0.071393 0.000232602
          38   0.0723819   0.0714191 0.000227932
          39   0.0704877   0.0713952 0.000223335
          40   0.0704334   0.0713711 0.000219042
