#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.329508    0.329508           0
           2    0.323691      0.3266  0.00205671
           3    0.332084    0.328428   0.0020268
           4    0.332186    0.329367  0.00172416
           5    0.326857    0.328865  0.00145058
           6    0.322367    0.327782  0.00156167
           7    0.333817    0.328644  0.00155851
           8    0.330877    0.328923  0.00138847
           9    0.327568    0.328773  0.00124233
          10    0.326628    0.328558  0.00113646
          11    0.329236     0.32862  0.00103481
          12    0.340724    0.329629  0.00135368
          13    0.333219    0.329905  0.00127742
          14    0.328071    0.329774  0.00119287
          15    0.332523    0.329957  0.00112734
          16    0.332506    0.330116  0.00106808
          17    0.336438    0.330488  0.00106802
          18    0.330173    0.330471  0.00100883
          19     0.32062    0.329952  0.00108078
          20    0.325618    0.329736  0.00104825
          21    0.328213    0.329663  0.00100084
          22    0.325893    0.329492 0.000969905
          23    0.326983    0.329383  0.00093385
          24    0.323466    0.329136 0.000926905
          25    0.336357    0.329425 0.000933744
          26    0.325749    0.329283 0.000908471
          27    0.327604    0.329221 0.000876952
          28    0.326669     0.32913 0.000850355
          29    0.333579    0.329284 0.000834755
          30    0.336137    0.329512 0.000837607
          31    0.327722    0.329454 0.000812574
          32      0.3321    0.329537 0.000791378
          33    0.324424    0.329382 0.000782416
          34    0.326506    0.329297 0.000763961
          35    0.323388    0.329129 0.000760561
          36    0.330843    0.329176 0.000740925
          37    0.340079    0.329471 0.000777288
          38    0.326604    0.329395 0.000760486
          39    0.335269    0.329546 0.000755753
          40     0.32635    0.329466  0.00074107
