#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35926     1.35926           0
           2     1.35705     1.35816 0.000784012
           3     1.36184     1.35939  0.00113149
           4     1.36309     1.36031  0.00116791
           5     1.35954     1.36016 0.000944522
           6     1.35402     1.35913  0.00122089
           7      1.3592     1.35914  0.00104651
           8     1.36021     1.35928 0.000924208
           9     1.36586     1.36001  0.00107277
          10     1.36015     1.36002 0.000965582
          11     1.35877     1.35991 0.000884483
          12     1.35869     1.35981 0.000816638
          13      1.3606     1.35987 0.000756102
          14     1.36052     1.35992 0.000703519
          15     1.36227     1.36007 0.000673908
          16     1.36096     1.36013 0.000634051
          17     1.35913     1.36007 0.000599487
          18     1.36092     1.36012 0.000568058
          19     1.35738     1.35997 0.000556051
          20     1.35798     1.35987 0.000537098
          21     1.36111     1.35993 0.000514739
          22     1.36382     1.36011  0.00052074
          23     1.35971     1.36009 0.000498385
          24     1.35225     1.35976 0.000574864
          25     1.35774     1.35968 0.000557534
          26     1.35871     1.35965 0.000537341
          27     1.36002     1.35966 0.000517616
          28      1.3593     1.35965 0.000499291
          29     1.35731     1.35957 0.000488524
          30     1.35877     1.35954 0.000472959
          31      1.3584      1.3595  0.00045912
          32     1.35657     1.35941 0.000453848
          33     1.35847     1.35938 0.000440993
          34     1.35724     1.35932 0.000432501
          35     1.36008     1.35934 0.000420694
          36     1.36071     1.35938 0.000410722
          37     1.35153     1.35917 0.000451139
          38     1.36349     1.35928 0.000453413
          39     1.35745     1.35923 0.000444223
          40     1.36073     1.35927 0.000434697
