#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934407   -0.934407           0
           2   -0.936448   -0.935427 0.000721419
           3   -0.935064   -0.935306 0.000491021
           4   -0.935493   -0.935353 0.000370482
           5    -0.93461   -0.935204 0.000324832
           6   -0.935111   -0.935189 0.000271069
           7   -0.935116   -0.935178 0.000232545
           8   -0.934546   -0.935099 0.000216479
           9   -0.935726   -0.935169 0.000203309
          10   -0.934222   -0.935074 0.000203829
          11   -0.934799   -0.935049 0.000186824
          12   -0.934786   -0.935027 0.000172538
          13   -0.934306   -0.934972  0.00016794
          14   -0.935601   -0.935017 0.000161843
          15   -0.934661   -0.934993  0.00015278
          16   -0.934567   -0.934966 0.000145534
          17   -0.935326   -0.934988 0.000138504
          18   -0.935055   -0.934991 0.000130859
          19   -0.934898   -0.934986 0.000124064
          20   -0.935232   -0.934999 0.000118469
          21   -0.935248   -0.935011 0.000113422
          22   -0.935521   -0.935034 0.000110618
          23   -0.934694   -0.935019 0.000106789
          24   -0.935739   -0.935049 0.000106468
          25   -0.934189   -0.935015 0.000107624
          26   -0.935357   -0.935028 0.000104288
          27   -0.935075    -0.93503  0.00010044
          28   -0.935147   -0.935034 9.69409e-05
          29   -0.934548   -0.935017 9.50353e-05
          30   -0.935087   -0.935019 9.18962e-05
          31   -0.934309   -0.934996 9.17459e-05
          32   -0.935379   -0.935008 8.96532e-05
          33   -0.934987   -0.935008 8.69389e-05
          34    -0.93453   -0.934994 8.55075e-05
          35   -0.935277   -0.935002 8.34457e-05
          36   -0.934905   -0.934999 8.11713e-05
          37   -0.935161   -0.935003 7.90954e-05
          38   -0.935209   -0.935009 7.71984e-05
          39   -0.935351   -0.935018 7.57161e-05
          40   -0.935641   -0.935033 7.54081e-05
