#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.48        0.48           0
           2        0.12         0.3    0.127279
           3         0.2    0.266667   0.0891108
           4        0.04        0.21   0.0829156
           5       -0.12       0.144   0.0887964
           6        0.16    0.146667    0.074037
           7        0.32    0.171429   0.0674742
           8        -0.2       0.125   0.0732931
           9       -0.12   0.0977778   0.0700225
          10       -0.28        0.06   0.0724983
          11           0   0.0545455   0.0661124
          12       -0.04   0.0466667   0.0610707
          13        0.08   0.0492308   0.0564268
          14        0.36   0.0714286   0.0565943
          15        0.32       0.088   0.0551942
          16         0.2       0.095   0.0521866
          17       -0.08   0.0847059   0.0501218
          18           0        0.08   0.0475576
          19           0   0.0757895   0.0452406
          20        0.08       0.076   0.0429791
          21        0.36   0.0895238   0.0430075
          22         0.2   0.0945455   0.0413448
          23         0.4    0.107826   0.0416256
          24        0.24    0.113333   0.0402538
          25         0.4      0.1248   0.0402437
          26         0.2    0.127692   0.0387997
          27        0.16    0.128889   0.0373811
          28        0.16        0.13   0.0360626
          29        0.08    0.128276   0.0348602
          30        0.04    0.125333   0.0338222
          31        0.24    0.129032   0.0329328
          32        0.24      0.1325   0.0320857
          33        0.04    0.129697   0.0312356
          34         0.2    0.131765   0.0303853
          35         0.2    0.133714   0.0295796
          36        0.08    0.132222   0.0287956
          37        0.24    0.135135   0.0281642
          38        0.08    0.133684   0.0274604
          39        0.12    0.133333   0.0267586
          40       -0.04       0.129   0.0264381
          41       -0.04    0.124878   0.0261127
          42           0    0.121905   0.0256596
          43       -0.32    0.111628   0.0270427
          44       -0.24    0.103636   0.0275836
          45        -0.2   0.0968889   0.0277837
          46        0.04   0.0956522   0.0272072
          47        0.28   0.0995745   0.0269096
          48        0.16    0.100833   0.0263784
          49        0.04   0.0995918   0.0258692
          50        0.08      0.0992   0.0253548
          51        0.04   0.0980392   0.0248842
          52       -0.04   0.0953846   0.0245469
          53           0   0.0935849   0.0241496
          54       -0.12   0.0896296   0.0240241
          55       -0.12   0.0858182   0.0238877
          56        -0.2   0.0807143   0.0240002
          57       -0.16   0.0764912   0.0239478
          58        0.04   0.0758621   0.0235432
          59        -0.2   0.0711864   0.0236039
          60        0.08   0.0713333   0.0232109
          61        0.08   0.0714754   0.0228309
          62        0.24   0.0741935   0.0226239
          63         0.2   0.0761905   0.0223527
          64        0.24     0.07875   0.0221495
          65        0.28   0.0818462   0.0220241
          66        0.04   0.0812121   0.0216995
          67       -0.12    0.078209   0.0215824
          68       -0.12   0.0752941    0.021461
          69       -0.32   0.0695652   0.0219013
          70        -0.2   0.0657143   0.0219243
          71           0   0.0647887   0.0216351
          72           0   0.0638889   0.0213533
          73       -0.08   0.0619178   0.0211516
          74           0   0.0610811   0.0208823
          75        0.08   0.0613333   0.0206054
          76        0.04   0.0610526   0.0203361
          77       -0.08   0.0592208   0.0201544
          78        0.04   0.0589744   0.0198975
          79       -0.16   0.0562025   0.0198378
          80       -0.04       0.055   0.0196262
          81       -0.16   0.0523457   0.0195626
          82       -0.08   0.0507317   0.0193905
          83       -0.24   0.0472289   0.0194706
          84       -0.48   0.0409524   0.0202252
          85           0   0.0404706    0.019993
          86        0.48   0.0455814   0.0204033
          87        0.28   0.0482759   0.0203459
          88         0.2        0.05   0.0201877
          89        0.16    0.051236   0.0199986
          90        0.16   0.0524444   0.0198129
          91        0.24   0.0545055   0.0197021
          92           0    0.053913   0.0194968
          93        0.08   0.0541935   0.0192892
          94        0.12   0.0548936   0.0190967
          95        0.08   0.0551579   0.0188975
          96       -0.12   0.0533333   0.0187885
          97       -0.04   0.0523711   0.0186195
          98        0.08   0.0526531   0.0184316
          99         0.2   0.0541414   0.0183054
         100        0.12      0.0548   0.0181342
         101       -0.04   0.0538614   0.0179789
         102        0.12   0.0545098   0.0178144
         103       -0.04   0.0535922    0.017665
         104           0   0.0530769   0.0175027
         105           0   0.0525714   0.0173433
         106        0.04   0.0524528   0.0171801
         107        0.04   0.0523364   0.0170199
         108        -0.2        0.05   0.0170219
         109        0.16   0.0510092   0.0168957
         110        0.04   0.0509091   0.0167424
         111        0.12   0.0515315   0.0166031
         112        0.24   0.0532143   0.0165399
         113        0.12   0.0538053   0.0164041
         114        0.32   0.0561404   0.0164255
         115        0.36   0.0587826   0.0164939
         116        0.12   0.0593103   0.0163601
         117        0.24   0.0608547    0.016293
         118        0.24   0.0623729   0.0162255
         119        0.28   0.0642017   0.0161919
         120        0.48   0.0676667   0.0164235
         121        0.16   0.0684298   0.0163055
         122        0.24   0.0698361   0.0162324
         123        0.44   0.0728455    0.016377
         124        0.24   0.0741935   0.0163003
         125        0.24     0.07552   0.0162238
         126        0.28   0.0771429    0.016176
         127         0.2   0.0781102   0.0160775
         128           0      0.0775   0.0159635
         129       -0.28   0.0747287   0.0160785
         130       -0.08   0.0735385   0.0159988
         131       -0.08   0.0723664   0.0159196
         132        0.16   0.0730303   0.0158128
         133       -0.08   0.0718797   0.0157357
         134       -0.12   0.0704478   0.0156833
         135       -0.24   0.0681481   0.0157348
         136       -0.28   0.0655882    0.015826
         137       -0.08   0.0645255   0.0157461
         138       -0.08   0.0634783   0.0156668
         139        0.24   0.0647482   0.0156055
         140        0.16   0.0654286   0.0155088
         141        0.12   0.0658156   0.0154037
         142        0.12   0.0661972   0.0152999
         143        0.16   0.0668531    0.015207
         144        0.24   0.0680556   0.0151488
         145        0.12   0.0684138   0.0150486
         146        0.24    0.069589   0.0149914
         147         0.2   0.0704762   0.0149156
         148         0.2   0.0713514   0.0148405
         149        0.16   0.0719463   0.0147528
         150       -0.04      0.0712   0.0146733
         151       -0.12   0.0699338   0.0146307
         152        0.08        0.07   0.0145346
         153        0.12   0.0703268   0.0144432
         154       -0.12   0.0690909   0.0144022
         155       -0.04   0.0683871   0.0143265
         156       -0.16   0.0669231   0.0143093
         157       -0.04    0.066242   0.0142343
         158       -0.08   0.0653165   0.0141743
         159        0.16   0.0659119   0.0140977
         160        0.04     0.06575   0.0140105
         161        0.16   0.0663354   0.0139357
         162        0.16   0.0669136   0.0138616
         163       -0.08   0.0660123   0.0138059
         164       -0.12    0.064878   0.0137682
         165       -0.04   0.0642424   0.0136994
         166       -0.12   0.0631325   0.0136618
         167       -0.24   0.0613174      0.0137
         168       -0.12   0.0602381   0.0136609
         169           0   0.0598817   0.0135847
         170        0.08        0.06   0.0135053
         171        0.04    0.059883   0.0134269
