#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.88783     0.88783           0
           2    0.928008    0.907919   0.0142051
           3    0.949096    0.921645   0.0146723
           4     0.94002    0.926238   0.0117013
           5      0.8942    0.919831   0.0109762
           6     0.86608    0.910872   0.0122696
           7    0.950892    0.916589   0.0117736
           8    0.733882    0.893751   0.0237176
           9    0.925906    0.897324   0.0213497
          10    0.927212    0.900313   0.0194228
          11    0.899052    0.900198   0.0176574
          12     0.94964    0.904318   0.0166598
          13     0.94356    0.907337   0.0156493
          14    0.939956    0.909667   0.0147039
          15    0.865616     0.90673   0.0140139
          16    0.946832    0.909236   0.0133603
          17    0.901174    0.908762   0.0125828
          18     0.79194    0.902272   0.0134538
          19    0.890516    0.901653   0.0127599
          20    0.903908    0.901766   0.0121224
          21    0.933342     0.90327    0.011638
          22    0.914918    0.903799   0.0111211
          23    0.926736    0.904796   0.0106822
          24    0.847724    0.902418   0.0104984
          25    0.949768    0.904312   0.0102479
          26    0.900408    0.904162  0.00985487
          27     0.71589    0.897189   0.0116996
          28    0.960348    0.899445   0.0114971
          29     0.94566    0.901038   0.0112106
          30     0.91207    0.901406   0.0108429
          31    0.812516    0.898539   0.0108657
          32    0.917208    0.899122   0.0105418
          33    0.922582    0.899833   0.0102463
          34    0.678704    0.893329   0.0118303
          35     0.96121    0.895269   0.0116502
          36    0.781548     0.89211    0.011747
          37    0.676688    0.886288   0.0127913
          38      0.9444    0.887817   0.0125458
          39     0.94429    0.889265   0.0123073
          40    0.962866    0.891105   0.0121364
          41    0.896134    0.891228    0.011841
          42    0.962076    0.892914   0.0116786
          43    0.808036    0.890941   0.0115727
          44      0.9197    0.891594   0.0113281
          45    0.876048    0.891249   0.0110816
          46    0.938508    0.892276   0.0108882
          47     0.91975    0.892861   0.0106723
          48    0.934694    0.893732   0.0104854
          49    0.784018    0.891493   0.0105078
          50     0.95139    0.892691   0.0103657
          51    0.942068    0.893659   0.0102076
          52     0.72951    0.890502    0.010488
          53     0.94184    0.891471   0.0103348
          54    0.895424    0.891544   0.0101436
          55    0.801408    0.889905   0.0100907
          56    0.785846    0.888047   0.0100802
          57    0.914262    0.888507  0.00991383
          58    0.924532    0.889128  0.00976234
          59     0.93132    0.889843  0.00962303
          60    0.925402    0.890436  0.00948088
          61    0.627072    0.886119   0.0102615
          62     0.89403    0.886246   0.0100968
          63    0.692758    0.883175   0.0103932
          64    0.899372    0.883428   0.0102338
          65    0.888258    0.883502   0.0100767
          66    0.814886    0.882463  0.00997748
          67     0.96944    0.883761  0.00991265
          68    0.955316    0.884813  0.00982257
          69    0.747922    0.882829  0.00987854
          70    0.953278    0.883836  0.00978855
          71    0.967222     0.88501  0.00972088
          72    0.839622     0.88438  0.00960629
          73    0.866278    0.884132   0.0094779
          74    0.837638    0.883503  0.00937062
          75     0.91498    0.883923  0.00925507
          76     0.89819    0.884111   0.0091352
          77    0.955632     0.88504  0.00906366
          78    0.831992     0.88436  0.00897294
          79    0.867884    0.884151  0.00886178
          80    0.831102    0.883488  0.00877578
          81    0.853708     0.88312  0.00867513
          82    0.801284    0.882122  0.00862656
          83     0.84626     0.88169  0.00853343
          84    0.937004    0.882349  0.00845721
          85    0.874214    0.882253  0.00835826
          86    0.913506    0.882616  0.00826897
          87    0.940392     0.88328  0.00820054
          88    0.816962    0.882527  0.00814191
          89    0.951408    0.883301  0.00808713
          90    0.934788    0.883873  0.00801748
          91      0.8488    0.883487  0.00793864
          92    0.952952    0.884243  0.00788817
          93    0.943912    0.884884   0.0078294
          94    0.953248    0.885611  0.00777982
          95    0.959662    0.886391  0.00773687
          96    0.938856    0.886937  0.00767556
          97       0.818    0.886227  0.00762926
          98    0.857464    0.885933  0.00755705
          99    0.901564    0.886091  0.00748237
         100    0.855894    0.885789  0.00741364
