#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.412088    0.412088           0
           2    0.386504    0.399296  0.00904546
           3    0.377676    0.392089  0.00842544
           4     0.33673     0.37825   0.0135494
           5    0.384681    0.379536   0.0109004
           6     0.35862     0.37605  0.00962497
           7    0.368381    0.374954  0.00831209
           8    0.287958     0.36408   0.0125048
           9    0.346031    0.362074   0.0112751
          10    0.302289    0.356096   0.0116251
          11    0.343098    0.354914   0.0106281
          12    0.339862     0.35366  0.00981618
          13    0.339354     0.35256  0.00912256
          14    0.329286    0.350897  0.00862109
          15    0.334656    0.349814  0.00811406
          16    0.332174    0.348712  0.00768147
          17     0.30015    0.345855  0.00774257
          18    0.371598    0.347285  0.00744333
          19    0.362232    0.348072  0.00709303
          20    0.306963    0.346017  0.00702989
          21    0.325859    0.345057  0.00676035
          22    0.273185     0.34179  0.00719928
          23    0.341524    0.341778  0.00688627
          24    0.348216    0.342046  0.00660457
          25    0.292065    0.340047  0.00663609
          26     0.31614    0.339128  0.00644425
          27    0.385534    0.340846  0.00643069
          28    0.311049    0.339782  0.00628846
          29    0.390607    0.341535  0.00631112
          30    0.351151    0.341855  0.00610888
          31    0.394003    0.343538  0.00613906
          32     0.30996    0.342488  0.00603622
          33    0.331468    0.342154  0.00586254
          34    0.309478    0.341193  0.00576835
          35     0.31056    0.340318  0.00566955
          36    0.274366    0.338486  0.00580051
          37    0.285887    0.337064  0.00581533
          38    0.306961    0.336272  0.00571599
          39    0.357752    0.336823   0.0055959
          40    0.283199    0.335482  0.00561429
          41    0.390804    0.336832  0.00563717
          42    0.240353    0.334535  0.00595261
          43    0.308761    0.333935  0.00584428
          44    0.350719    0.334317  0.00572389
          45    0.409131    0.335979  0.00583314
          46    0.388317    0.337117  0.00581624
          47    0.322493    0.336806  0.00570081
          48     0.29116    0.335855   0.0056608
          49    0.331647    0.335769  0.00554593
          50    0.346946    0.335993  0.00543951
          51     0.26224    0.334546  0.00552174
          52    0.328057    0.334422  0.00541696
          53    0.275761    0.333315  0.00542665
          54    0.306233    0.332813  0.00534928
          55    0.317081    0.332527  0.00525967
          56    0.316919    0.332249  0.00517312
          57    0.224012     0.33035  0.00541968
          58    0.361445    0.330886  0.00535269
          59    0.281952    0.330056  0.00532583
          60    0.288818    0.329369  0.00528123
          61     0.32994    0.329378  0.00519466
          62    0.396939    0.330468  0.00522392
          63     0.35804    0.330906   0.0051593
          64    0.286252    0.330208  0.00512565
          65    0.346501    0.330459  0.00505292
          66    0.369911    0.331057  0.00501159
          67    0.321891     0.33092  0.00493866
          68    0.370665    0.331504   0.0049005
          69    0.328451     0.33146  0.00482967
          70    0.307699    0.331121  0.00477259
          71    0.331225    0.331122  0.00470537
          72    0.315999    0.330912  0.00464471
          73    0.346893    0.331131  0.00458624
          74    0.322621    0.331016   0.0045257
          75    0.302743    0.330639  0.00448103
          76    0.294184    0.330159  0.00444767
          77    0.380106    0.330808  0.00443696
          78    0.326649    0.330755  0.00438039
          79    0.344333    0.330926  0.00432832
          80    0.320668    0.330798  0.00427611
          81    0.336595     0.33087  0.00422392
          82    0.347888    0.331077   0.0041775
          83    0.304893    0.330762  0.00413907
          84    0.315483     0.33058  0.00409379
          85    0.312422    0.330366  0.00405119
          86    0.289034    0.329886  0.00403249
          87    0.358645    0.330216  0.00399967
          88    0.334461    0.330265  0.00395451
          89    0.320409    0.330154  0.00391163
          90    0.344737    0.330316  0.00387152
          91    0.324036    0.330247  0.00382959
          92    0.223075    0.329082  0.00396118
          93    0.347171    0.329276  0.00392336
          94    0.351343    0.329511  0.00388864
          95    0.285076    0.329043  0.00387573
          96    0.234439    0.328058  0.00395866
          97    0.341353    0.328195  0.00392022
          98    0.300511    0.327913  0.00389038
          99    0.342263    0.328057  0.00385379
         100    0.304945    0.327826  0.00382217
