#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.34936     1.34936           0
           2     1.34464       1.347  0.00166594
           3     1.34706     1.34702  0.00111073
           4     1.33406     1.34378   0.0029267
           5      1.3275     1.34052  0.00373715
           6     1.34233     1.34082  0.00312641
           7     1.34214     1.34101  0.00268545
           8     1.34055     1.34095  0.00235038
           9     1.37422     1.34465  0.00406307
          10     1.34552     1.34474   0.0036577
          11     1.37213     1.34723  0.00408595
          12     1.37717     1.34972  0.00444254
          13     1.31798     1.34728  0.00472459
          14     1.34745     1.34729  0.00438714
          15     1.33955     1.34678  0.00412491
          16     1.36405     1.34786  0.00400591
          17     1.35895     1.34851  0.00382304
          18     1.38662     1.35063  0.00415567
          19     1.32972     1.34953  0.00408003
          20     1.34769     1.34943  0.00387706
          21     1.33381     1.34869  0.00376315
          22     1.34489     1.34852  0.00359605
          23     1.40543     1.35099  0.00420574
          24      1.3514     1.35101  0.00403053
          25     1.37535     1.35198  0.00398514
          26     1.38451     1.35323  0.00402347
          27     1.39085     1.35463  0.00410861
          28     1.35871     1.35477  0.00396446
          29     1.37319     1.35541  0.00387831
          30     1.39084     1.35659  0.00392473
          31     1.34511     1.35622  0.00381557
          32     1.36063     1.35636  0.00369882
          33     1.36235     1.35654  0.00359119
          34     1.34644     1.35624  0.00349782
          35     1.39669      1.3574  0.00358372
          36     1.41101     1.35889  0.00378102
          37     1.35391     1.35875  0.00368122
          38     1.30346      1.3573  0.00386118
          39     1.39021     1.35814  0.00385331
          40     1.44035      1.3602  0.00426999
          41     1.36007     1.36019  0.00416585
          42     1.33383     1.35957  0.00411367
          43     1.35009     1.35934   0.0040239
          44     1.37848     1.35978  0.00395588
          45     1.41757     1.36106   0.0040711
          46     1.41373     1.36221  0.00414047
          47     1.37881     1.36256  0.00406741
          48     1.34896     1.36228  0.00399252
          49     1.35476     1.36213  0.00391399
          50     1.39018     1.36269  0.00387572
          51     1.39007     1.36322  0.00383673
          52     1.34182     1.36281  0.00378496
          53     1.37011     1.36295  0.00371605
          54     1.38731      1.3634  0.00367451
          55     1.35233      1.3632  0.00361321
          56     1.36392     1.36321  0.00354871
          57      1.3514       1.363   0.0034925
          58     1.35167     1.36281  0.00343775
          59     1.29954     1.36174  0.00354278
          60     1.33795     1.36134  0.00350584
          61     1.38858     1.36179  0.00347669
          62     1.34202     1.36147   0.0034352
          63     1.37371     1.36166  0.00338617
          64     1.37638     1.36189  0.00334106
          65     1.42752      1.3629  0.00343883
          66     1.37865     1.36314    0.003395
          67      1.3424     1.36283  0.00335841
          68     1.36291     1.36283  0.00330902
          69     1.34412     1.36256  0.00327216
          70     1.38976     1.36295  0.00324841
          71      1.3985     1.36345  0.00324102
          72     1.37917     1.36367  0.00320335
          73     1.36754     1.36372  0.00315991
          74      1.3614     1.36369  0.00311736
          75     1.33727     1.36334  0.00309564
          76     1.35214     1.36319  0.00305842
          77     1.35074     1.36303  0.00302297
          78     1.39807     1.36348   0.0030174
          79     1.37004     1.36356  0.00298035
          80     1.36346     1.36356  0.00294309
          81     1.34348     1.36331  0.00291718
          82      1.3896     1.36363  0.00289917
          83     1.39087     1.36396  0.00288275
          84     1.34203      1.3637  0.00286023
          85     1.36983     1.36377  0.00282749
          86     1.32173     1.36328  0.00283655
          87     1.36637     1.36332  0.00280417
          88     1.33084     1.36295  0.00279649
          89     1.36569     1.36298  0.00276524
          90     1.36208     1.36297  0.00273453
          91     1.34616     1.36279  0.00271071
          92     1.31715     1.36229  0.00272627
          93     1.35085     1.36217  0.00269972
          94     1.38857     1.36245  0.00268558
          95     1.36894     1.36252  0.00265818
          96     1.35033     1.36239  0.00263352
          97     1.33501     1.36211  0.00262145
          98     1.36858     1.36217  0.00259553
          99     1.37229     1.36227  0.00257133
         100     1.41154     1.36277  0.00259238
