#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763552   -0.763552           0
           2   -0.759064   -0.761308  0.00158675
           3   -0.761012   -0.761209  0.00106089
           4    -0.76372   -0.761837 0.000963622
           5   -0.762116   -0.761893 0.000772511
           6   -0.760876   -0.761723 0.000662087
           7    -0.76362   -0.761994 0.000620473
           8    -0.75942   -0.761673 0.000620772
           9   -0.759668    -0.76145 0.000590402
          10   -0.760728   -0.761378 0.000535755
          11   -0.762356   -0.761467 0.000494378
          12      -0.765   -0.761761 0.000533714
          13   -0.762084   -0.761786 0.000493237
          14   -0.763884   -0.761936 0.000480235
          15   -0.760092   -0.761813 0.000463682
          16   -0.762528   -0.761858 0.000436851
          17   -0.760192    -0.76176 0.000421997
          18    -0.76218   -0.761783 0.000399199
          19    -0.76138   -0.761762 0.000378751
          20   -0.759992   -0.761673 0.000370005
          21   -0.763124   -0.761742 0.000358777
          22   -0.763736   -0.761833 0.000353729
          23   -0.760828   -0.761789 0.000341038
          24   -0.758752   -0.761663  0.00034952
          25    -0.76432   -0.761769  0.00035133
          26   -0.760808   -0.761732 0.000339756
          27   -0.762592   -0.761764 0.000328662
          28   -0.761212   -0.761744 0.000317514
          29    -0.76184   -0.761747 0.000306583
          30   -0.761528    -0.76174 0.000296451
          31    -0.76302   -0.761781 0.000289748
          32   -0.763808   -0.761845 0.000287532
          33   -0.761128   -0.761823 0.000279638
          34   -0.761172   -0.761804 0.000272068
          35   -0.762436   -0.761822 0.000264893
          36   -0.761228   -0.761805 0.000258048
          37   -0.760696   -0.761775  0.00025281
          38   -0.763656   -0.761825 0.000250954
          39   -0.761952   -0.761828 0.000244541
          40   -0.761032   -0.761808 0.000239236
          41   -0.763008   -0.761838 0.000235183
          42   -0.762536   -0.761854 0.000230171
          43    -0.75972   -0.761805 0.000230107
          44   -0.759984   -0.761763 0.000228567
          45   -0.761072   -0.761748 0.000224003
          46   -0.759888   -0.761707 0.000222753
          47   -0.760236   -0.761676 0.000220202
          48   -0.760012   -0.761641 0.000218327
          49    -0.76374   -0.761684 0.000218031
          50   -0.761816   -0.761687 0.000213687
          51   -0.760248   -0.761659 0.000211351
          52   -0.760944   -0.761645 0.000207733
          53   -0.763764   -0.761685 0.000207625
          54   -0.761244   -0.761677 0.000203941
          55   -0.759488   -0.761637 0.000204079
          56   -0.759356   -0.761596 0.000204459
          57   -0.764368   -0.761645 0.000206574
          58   -0.764152   -0.761688 0.000207485
          59   -0.761284   -0.761681 0.000204082
          60   -0.761096   -0.761671 0.000200913
          61   -0.765164   -0.761729 0.000205616
          62   -0.761092   -0.761718 0.000202556
          63   -0.759308    -0.76168 0.000202922
          64   -0.760016   -0.761654 0.000201411
          65    -0.76328   -0.761679 0.000199859
          66    -0.75952   -0.761646  0.00019949
          67   -0.760184   -0.761625 0.000197704
          68   -0.758052   -0.761572 0.000201656
          69   -0.760884   -0.761562  0.00019898
          70   -0.765004   -0.761611 0.000202121
          71   -0.760288   -0.761593 0.000200132
          72   -0.761828   -0.761596 0.000197379
          73   -0.760068   -0.761575 0.000195782
          74   -0.760708   -0.761563 0.000193487
          75    -0.76104   -0.761556 0.000191033
          76   -0.759952   -0.761535 0.000189682
          77   -0.762312   -0.761545 0.000187486
          78   -0.765236   -0.761593  0.00019096
          79   -0.760384   -0.761577 0.000189155
          80   -0.762664   -0.761591 0.000187277
          81   -0.762932   -0.761607 0.000185696
          82   -0.758824   -0.761574 0.000186508
          83   -0.763048   -0.761591 0.000185105
          84      -0.763   -0.761608 0.000183659
          85   -0.764484   -0.761642 0.000184589
          86   -0.759388   -0.761616 0.000184294
          87   -0.761524   -0.761615 0.000182178
          88     -0.7672   -0.761678 0.000190845
          89   -0.760416   -0.761664 0.000189226
          90   -0.762004   -0.761668 0.000187162
          91    -0.76232   -0.761675 0.000185242
          92   -0.759952   -0.761656 0.000184173
          93   -0.763152   -0.761672 0.000182893
          94   -0.766008   -0.761718 0.000186674
          95    -0.76546   -0.761758 0.000188818
          96    -0.75858   -0.761725  0.00018973
          97   -0.759832   -0.761705 0.000188775
          98   -0.761308   -0.761701 0.000186892
          99   -0.764672   -0.761731 0.000187398
         100   -0.762708   -0.761741 0.000185779
