#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.935662    0.935662           0
           2    0.914502    0.925082  0.00748119
           3    0.822726    0.890963   0.0283007
           4     0.85609    0.882245   0.0225284
           5    0.834578    0.872712   0.0199381
           6    0.854366    0.869654   0.0168479
           7     0.86045    0.868339   0.0144923
           8    0.896448    0.871853   0.0130998
           9    0.922398    0.877469   0.0127916
          10    0.903352    0.880057   0.0117714
          11     0.89837    0.881722   0.0108183
          12    0.927894     0.88557   0.0105789
          13      0.9013     0.88678  0.00983413
          14     0.93853    0.890476  0.00980181
          15    0.872544    0.889281  0.00922097
          16     0.94206    0.892579  0.00921583
          17    0.938718    0.895293  0.00906456
          18    0.836806    0.892044  0.00912478
          19    0.952824    0.895243  0.00918817
          20    0.910924    0.896027  0.00876215
          21     0.94372    0.898298  0.00863422
          22    0.898378    0.898302  0.00824175
          23    0.927398    0.899567  0.00797991
          24     0.95715    0.901966  0.00799999
          25     0.83253    0.899189  0.00814787
          26     0.70739    0.891812   0.0106632
          27    0.930764    0.893255   0.0103654
          28    0.930156    0.894572   0.0100787
          29    0.917094    0.895349  0.00976101
          30    0.916298    0.896047  0.00946058
          31    0.790148    0.892631  0.00975268
          32    0.911122    0.893209  0.00946501
          33    0.950408    0.894942  0.00933555
          34    0.868384    0.894161   0.0090936
          35     0.94932    0.895737   0.0089693
          36    0.939802    0.896961  0.00880328
          37    0.939798    0.898119  0.00864115
          38     0.89878    0.898136  0.00841377
          39    0.845926    0.896798  0.00830385
          40     0.87285    0.896199  0.00811781
          41    0.957506    0.897694  0.00805635
          42     0.87858    0.897239  0.00787738
          43    0.744812    0.893694  0.00845422
          44    0.917108    0.894226  0.00827881
          45    0.926824    0.894951  0.00812647
          46     0.84367    0.893836  0.00802591
          47    0.838114     0.89265  0.00794223
          48    0.956414    0.893979  0.00788708
          49    0.948184    0.895085  0.00780331
          50    0.836172    0.893907  0.00773569
          51     0.89886    0.894004  0.00758462
          52    0.924778    0.894596  0.00746181
          53     0.90441    0.894781  0.00732332
          54    0.874122    0.894398  0.00719769
          55    0.832944    0.893281  0.00715302
          56    0.881766    0.893075  0.00702824
          57     0.92444    0.893626  0.00692645
          58     0.92148    0.894106  0.00682366
          59    0.925958    0.894646  0.00672932
          60    0.950206    0.895572  0.00668058
          61     0.82543    0.894422  0.00666928
          62     0.88229    0.894226  0.00656458
          63     0.89209    0.894192  0.00646047
          64    0.915614    0.894527  0.00636819
          65     0.90157    0.894635  0.00627114
          66    0.946498    0.895421  0.00622516
          67    0.741558    0.893125  0.00654213
          68    0.938132    0.893787  0.00647932
          69     0.93211    0.894342  0.00640918
          70    0.890566    0.894288  0.00631784
          71    0.957326    0.895176  0.00629094
          72    0.848378    0.894526  0.00623705
          73    0.918724    0.894857  0.00616041
          74    0.873526    0.894569  0.00608391
          75     0.91727    0.894872  0.00601031
          76    0.915068    0.895138   0.0059371
          77    0.924574     0.89552  0.00587229
          78       0.632    0.892141  0.00669872
          79    0.945082    0.892812  0.00664737
          80    0.870944    0.892538  0.00656989
          81    0.899324    0.892622  0.00648932
          82    0.891814    0.892612  0.00641019
          83    0.885542    0.892527  0.00633352
          84    0.887072    0.892462  0.00625845
          85    0.935572    0.892969  0.00620534
          86    0.903702    0.893094  0.00613444
          87     0.91298    0.893323  0.00606819
          88    0.866184    0.893014  0.00600706
          89    0.932396    0.893457  0.00595584
          90    0.951736    0.894104  0.00592476
          91    0.917608    0.894362  0.00586528
          92    0.975716    0.895247  0.00586781
          93    0.945516    0.895787  0.00582956
          94    0.909964    0.895938  0.00576949
          95    0.946468     0.89647  0.00573323
          96    0.862054    0.896111   0.0056847
          97    0.607494    0.893136  0.00635727
          98    0.858248     0.89278  0.00630236
          99    0.778556    0.891626  0.00634344
         100    0.927056    0.891981  0.00628989
