#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.331511    0.331511           0
           2    0.326122    0.328816  0.00190539
           3    0.367796    0.341809   0.0106847
           4    0.350678    0.344026  0.00824033
           5    0.324373    0.340096  0.00747111
           6     0.33948    0.339993  0.00622663
           7    0.371581    0.344506   0.0067778
           8    0.311284    0.340353  0.00708947
           9    0.328471    0.339033   0.0064235
          10     0.28494    0.333624  0.00773019
          11    0.285913    0.329286  0.00815395
          12    0.328077    0.329185  0.00747508
          13    0.340723    0.330073  0.00695255
          14    0.337061    0.330572  0.00647383
          15    0.300672    0.328579  0.00634171
          16    0.277916    0.325412   0.0066893
          17     0.26546    0.321886  0.00716537
          18    0.366755    0.324378  0.00718783
          19     0.31659    0.323969   0.0068212
          20    0.368877    0.326214  0.00683975
          21    0.317166    0.325783   0.0065276
          22     0.33654    0.326272  0.00624918
          23    0.343633    0.327027  0.00602289
          24    0.293779    0.325642  0.00592912
          25    0.385101     0.32802  0.00615051
          26    0.345638    0.328698  0.00595116
          27    0.339259    0.329089  0.00574358
          28    0.361252    0.330237  0.00565215
          29    0.322078    0.329956  0.00546425
          30    0.332293    0.330034  0.00528266
          31    0.368478    0.331274   0.0052558
          32    0.327201    0.331147   0.0050931
          33    0.334624    0.331252  0.00493985
          34    0.306808    0.330533   0.0048466
          35    0.314211    0.330067  0.00473051
          36    0.336019    0.330232  0.00460199
          37    0.319721    0.329948  0.00448638
          38    0.319307    0.329668  0.00437704
          39    0.352522    0.330254  0.00430386
          40    0.336041    0.330399  0.00419869
          41     0.29453    0.329524  0.00418644
          42    0.343022    0.329845  0.00409908
          43    0.270275     0.32846  0.00423139
          44    0.291247    0.327614  0.00421889
          45    0.365997    0.328467  0.00421048
          46    0.316363    0.328204  0.00412716
          47    0.339859    0.328452  0.00404679
          48    0.261532    0.327058  0.00419577
          49    0.351456    0.327556  0.00413958
          50    0.304371    0.327092  0.00408268
          51    0.301714    0.326594  0.00403283
          52    0.310946    0.326293  0.00396649
          53     0.33944    0.326542   0.0038994
          54    0.303372    0.326112  0.00385072
          55    0.296873    0.325581  0.00381723
          56    0.323468    0.325543  0.00374925
          57    0.337306     0.32575  0.00368915
          58    0.329395    0.325812  0.00362608
          59    0.365747    0.326489  0.00362724
          60    0.364406    0.327121  0.00362142
          61    0.311423    0.326864  0.00357118
          62    0.305096    0.326513   0.0035308
          63    0.330651    0.326578  0.00347537
          64    0.262601    0.325579  0.00356193
          65    0.317574    0.325456  0.00350926
          66    0.293464    0.324971  0.00348941
          67    0.271237    0.324169  0.00352829
          68    0.330829    0.324267  0.00347776
          69    0.293706    0.323824  0.00345545
          70    0.347807    0.324167  0.00342302
          71    0.298574    0.323806  0.00339374
          72    0.273464    0.323107  0.00341787
          73    0.397813     0.32413  0.00352093
          74    0.295306    0.323741  0.00349483
          75    0.358757    0.324208  0.00347927
          76    0.316094    0.324101  0.00343513
          77    0.328838    0.324162  0.00339107
          78    0.287746    0.323696  0.00337958
          79    0.374256    0.324336  0.00339686
          80    0.335294    0.324472  0.00335716
          81    0.313798    0.324341   0.0033183
          82    0.352926    0.324689  0.00329609
          83    0.264733    0.323967   0.0033346
          84    0.296466     0.32364  0.00331094
          85     0.34684    0.323912  0.00328321
          86    0.331848    0.324005  0.00324633
          87    0.294165    0.323662  0.00322709
          88    0.369303     0.32418  0.00323182
          89    0.292485    0.323824  0.00321507
          90    0.357052    0.324194  0.00320048
          91    0.335395    0.324317  0.00316767
          92    0.292091    0.323966  0.00315255
          93    0.316711    0.323888  0.00311962
          94    0.374912    0.324431   0.0031333
          95    0.320111    0.324386  0.00310065
          96    0.345169    0.324602   0.0030759
          97    0.326607    0.324623  0.00304426
          98    0.315497     0.32453  0.00301462
          99    0.300483    0.324287  0.00299393
         100    0.336286    0.324407   0.0029664
