#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37239     1.37239           0
           2      1.3433     1.35785   0.0102856
           3     1.34346     1.35305  0.00789616
           4     1.36267     1.35546  0.00627765
           5     1.35523     1.35541  0.00502229
           6     1.31325     1.34838  0.00765927
           7     1.35395     1.34918  0.00660616
           8      1.3893     1.35419  0.00744448
           9     1.35998     1.35484  0.00664502
          10     1.32164     1.35152  0.00675889
          11     1.38833     1.35486  0.00692363
          12     1.37779     1.35677   0.0066049
          13     1.35849     1.35691  0.00609815
          14     1.37378     1.35811  0.00578038
          15     1.34877     1.35749  0.00542844
          16     1.35903     1.35759  0.00509002
          17     1.37179     1.35842  0.00485867
          18     1.37348     1.35926  0.00466017
          19     1.34012     1.35825  0.00452246
          20     1.38667     1.35967  0.00451407
          21     1.32851     1.35819  0.00453639
          22     1.39158     1.35971  0.00457711
          23     1.34638     1.35913  0.00441461
          24     1.33618     1.35817  0.00433296
          25     1.34378     1.35759   0.0041977
          26     1.39879     1.35918   0.0043249
          27     1.34149     1.35852  0.00421404
          28     1.33591     1.35772  0.00414018
          29     1.36258     1.35788  0.00400081
          30     1.33497     1.35712  0.00393966
          31     1.36216     1.35728  0.00381593
          32     1.35495     1.35721  0.00369737
          33     1.36244     1.35737  0.00358873
          34     1.39252      1.3584  0.00362904
          35     1.38571     1.35918  0.00360828
          36     1.35776     1.35914  0.00350826
          37     1.37367     1.35954  0.00343535
          38     1.38062     1.36009  0.00338944
          39     1.30935     1.35879  0.00354341
          40     1.36628     1.35898  0.00345976
          41     1.34413     1.35861  0.00339427
          42     1.36513     1.35877    0.003317
          43     1.39277     1.35956  0.00333279
          44     1.33617     1.35903  0.00329918
          45     1.38493      1.3596  0.00327568
          46     1.35389     1.35948  0.00320682
          47     1.35211     1.35932  0.00314243
          48     1.34969     1.35912  0.00308336
          49     1.35699     1.35908  0.00302075
          50      1.3714     1.35933  0.00297036
          51      1.3674     1.35948  0.00291634
          52     1.35955     1.35949  0.00286026
          53     1.42888     1.36079  0.00309152
          54     1.32725     1.36017  0.00309603
          55     1.34796     1.35995   0.0030477
          56     1.33202     1.35945  0.00303381
          57     1.33237     1.35898  0.00301756
          58     1.33642     1.35859  0.00299049
          59     1.36446     1.35869  0.00294146
          60     1.33073     1.35822  0.00292911
          61        1.33     1.35776   0.0029174
          62     1.36864     1.35794  0.00287562
          63     1.35101     1.35783  0.00283208
          64      1.3103     1.35708  0.00288355
          65      1.3563     1.35707  0.00283921
          66     1.36209     1.35715  0.00279721
          67     1.35015     1.35704  0.00275741
          68     1.34364     1.35684   0.0027239
          69     1.34996     1.35675  0.00268625
          70     1.34965     1.35664  0.00264979
          71     1.39378     1.35717  0.00266358
          72     1.32865     1.35677  0.00265587
          73     1.38919     1.35721  0.00265635
          74     1.37067      1.3574  0.00262667
          75     1.35197     1.35732  0.00259264
          76     1.37182     1.35751  0.00256553
          77     1.35905     1.35753  0.00253229
          78     1.34437     1.35737  0.00250544
          79     1.37266     1.35756   0.0024812
          80     1.37856     1.35782  0.00246403
          81     1.37986     1.35809  0.00244859
          82      1.3474     1.35796   0.0024222
          83     1.35549     1.35793   0.0023932
          84     1.36369       1.358  0.00236569
          85     1.36851     1.35813  0.00234109
          86      1.3775     1.35835  0.00232468
          87     1.36246      1.3584  0.00229844
          88     1.35251     1.35833   0.0022733
          89     1.36046     1.35836  0.00224788
          90     1.34491     1.35821  0.00222786
          91     1.37576      1.3584  0.00221172
          92     1.33617     1.35816  0.00220083
          93     1.37357     1.35832   0.0021834
          94     1.34801     1.35821  0.00216293
          95     1.34798     1.35811  0.00214284
          96     1.34163     1.35793  0.00212738
          97     1.34262     1.35778   0.0021113
          98     1.38992      1.3581  0.00211509
          99     1.38315     1.35836   0.0021088
         100     1.34129     1.35819   0.0020946
