#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462548   -0.462548           0
           2   -0.459868   -0.461208 0.000947523
           3   -0.461468   -0.461295 0.000635633
           4   -0.462204   -0.461522 0.000515778
           5     -0.4633   -0.461878 0.000520978
           6    -0.46178   -0.461861 0.000434402
           7   -0.463868   -0.462148 0.000457251
           8   -0.464092   -0.462391 0.000460156
           9   -0.462688   -0.462424 0.000410209
          10   -0.460528   -0.462234 0.000410674
          11   -0.463016   -0.462305 0.000379438
          12   -0.462424   -0.462315 0.000347946
          13    -0.46206   -0.462296 0.000321735
          14   -0.463256   -0.462364 0.000305979
          15   -0.461444   -0.462303 0.000291666
          16   -0.462572    -0.46232 0.000273921
          17   -0.462736   -0.462344   0.0002589
          18   -0.464044   -0.462439 0.000261171
          19   -0.461796   -0.462405 0.000249606
          20   -0.461924   -0.462381 0.000238281
          21    -0.46218   -0.462371 0.000227126
          22    -0.46404   -0.462447 0.000229118
          23   -0.460824   -0.462377 0.000229768
          24   -0.462088   -0.462365 0.000220508
          25   -0.461244    -0.46232 0.000216195
          26   -0.460724   -0.462258 0.000216416
          27   -0.460288   -0.462185  0.00022036
          28   -0.463216   -0.462222 0.000215543
          29   -0.462936   -0.462247 0.000209511
          30   -0.460088   -0.462175 0.000214529
          31   -0.463856   -0.462229 0.000214354
          32   -0.462152   -0.462227 0.000207669
          33   -0.461632   -0.462209 0.000202156
          34   -0.462592    -0.46222 0.000196525
          35   -0.461704   -0.462205 0.000191462
          36   -0.462016     -0.4622 0.000186215
          37   -0.463676    -0.46224 0.000185407
          38   -0.462764   -0.462254  0.00018104
          39   -0.461692   -0.462239  0.00017697
          40   -0.460932   -0.462207 0.000175537
          41   -0.463036   -0.462227 0.000172418
          42   -0.462264   -0.462228 0.000168315
          43   -0.463136   -0.462249 0.000165721
          44   -0.460616   -0.462212 0.000166057
          45   -0.463504    -0.46224 0.000164832
          46   -0.462164   -0.462239 0.000161257
          47    -0.46246   -0.462243 0.000157894
          48   -0.461108    -0.46222 0.000156367
          49   -0.461424   -0.462204 0.000154017
          50    -0.46126   -0.462185 0.000152088
          51   -0.463008   -0.462201  0.00014996
          52   -0.463148   -0.462219 0.000148179
          53    -0.46354   -0.462244 0.000147464
          54   -0.461492    -0.46223 0.000145389
          55   -0.462996   -0.462244 0.000143411
          56    -0.46114   -0.462224 0.000142199
          57   -0.460864     -0.4622 0.000141692
          58   -0.460976   -0.462179 0.000140813
          59   -0.462968   -0.462193 0.000139059
          60     -0.4605   -0.462164 0.000139574
          61   -0.460876   -0.462143 0.000138875
          62   -0.461908   -0.462139 0.000136687
          63   -0.461296   -0.462126 0.000135171
          64   -0.459936   -0.462092 0.000137322
          65    -0.46254   -0.462099 0.000135383
          66   -0.463188   -0.462115 0.000134334
          67   -0.462816   -0.462126 0.000132735
          68   -0.461088    -0.46211 0.000131657
          69   -0.463564   -0.462132 0.000131424
          70    -0.46264   -0.462139 0.000129747
          71   -0.463544   -0.462159  0.00012942
          72   -0.460908   -0.462141 0.000128783
          73   -0.464732   -0.462177 0.000131818
          74    -0.46104   -0.462161 0.000130929
          75    -0.46126   -0.462149 0.000129734
          76   -0.462996    -0.46216 0.000128504
          77   -0.463648    -0.46218 0.000128279
          78   -0.463652   -0.462199 0.000128016
          79   -0.461616   -0.462191 0.000126607
          80   -0.463004   -0.462201 0.000125432
          81   -0.461436   -0.462192 0.000124239
          82    -0.46172   -0.462186 0.000122857
          83   -0.461044   -0.462172 0.000122145
          84   -0.463532   -0.462189 0.000121758
          85   -0.464152   -0.462212 0.000122497
          86   -0.462796   -0.462219 0.000121261
          87    -0.46066   -0.462201 0.000121183
          88    -0.46184   -0.462197 0.000119876
          89   -0.461944   -0.462194 0.000118562
          90   -0.463164   -0.462204 0.000117734
          91   -0.462184   -0.462204  0.00011644
          92   -0.462908   -0.462212 0.000115426
          93    -0.46106     -0.4622 0.000114847
          94   -0.462536   -0.462203 0.000113681
          95   -0.462956   -0.462211 0.000112761
          96   -0.462416   -0.462213 0.000111606
          97   -0.461484   -0.462206 0.000110708
          98    -0.46326   -0.462216   0.0001101
          99   -0.461004   -0.462204 0.000109667
         100   -0.460408   -0.462186 0.000110032
