#   N_BLOCK:  ACCEPTANCE:
           1     0.53712
           2    0.537912
           3    0.538083
           4    0.538052
           5    0.538025
           6    0.538037
           7    0.537846
           8    0.537641
           9    0.537681
          10    0.537761
          11    0.537676
          12    0.537578
          13    0.537609
          14    0.537636
          15    0.537683
          16    0.537707
          17     0.53773
          18    0.537634
          19    0.537633
          20    0.537624
          21    0.537604
          22    0.537585
          23    0.537615
          24    0.537672
          25    0.537685
          26     0.53773
          27    0.537797
          28    0.537754
          29    0.537716
          30    0.537768
          31    0.537748
          32    0.537774
          33    0.537778
          34    0.537755
          35    0.537756
          36    0.537729
          37    0.537691
          38    0.537686
          39    0.537717
          40    0.537721
          41    0.537708
          42    0.537686
          43    0.537682
          44    0.537706
          45    0.537678
          46    0.537675
          47    0.537679
          48    0.537719
          49    0.537715
          50    0.537732
          51    0.537742
          52    0.537726
          53    0.537698
          54    0.537707
          55      0.5377
          56    0.537715
          57    0.537731
          58    0.537738
          59    0.537732
          60    0.537758
          61    0.537746
          62    0.537744
          63    0.537733
          64    0.537772
          65    0.537752
          66     0.53774
          67    0.537736
          68    0.537754
          69    0.537751
          70    0.537766
          71    0.537757
          72    0.537775
          73    0.537752
          74    0.537759
          75     0.53777
          76    0.537773
          77    0.537746
          78    0.537742
          79    0.537746
          80    0.537728
          81    0.537739
          82    0.537743
          83    0.537747
          84    0.537747
          85    0.537737
          86    0.537725
          87    0.537736
          88    0.537738
          89    0.537737
          90    0.537721
          91     0.53771
          92    0.537707
          93     0.53772
          94    0.537706
          95    0.537695
          96    0.537688
          97    0.537699
          98    0.537703
          99    0.537715
         100    0.537732
