#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.99339     1.99339           0
           2     1.96945     1.98142  0.00846428
           3     1.97804      1.9803  0.00571742
           4     1.99507     1.98399  0.00534964
           5     2.01894     1.99098  0.00757617
           6     2.05448     2.00156   0.0115412
           7     2.06753     2.01099   0.0131904
           8     2.08383     2.02009   0.0143441
           9     2.06149     2.02469   0.0134678
          10     2.02888     2.02511   0.0121275
          11     2.01912     2.02457   0.0110372
          12     2.00812      2.0232   0.0102022
          13     2.00758     2.02199  0.00948785
          14     2.03411     2.02286  0.00884951
          15      2.0516     2.02477  0.00846444
          16     2.06296     2.02716  0.00826505
          17     2.03529     2.02764  0.00779268
          18     2.00976     2.02665   0.0074228
          19     1.98819     2.02462  0.00730283
          20     1.98876     2.02283  0.00715441
          21     2.03371     2.02335  0.00683246
          22     2.05251     2.02467  0.00664928
          23      2.0978     2.02785  0.00707971
          24     2.06951     2.02959  0.00699425
          25     2.04099     2.03004  0.00672933
          26      2.0603     2.03121  0.00657036
          27     2.04558     2.03174  0.00634855
          28     2.04912     2.03236  0.00615208
          29     2.04398     2.03276  0.00595297
          30     2.05534     2.03351  0.00580192
          31     2.05261     2.03413  0.00564736
          32     2.02718     2.03391  0.00547505
          33     2.03555     2.03396  0.00530936
          34     2.02577     2.03372  0.00515867
          35     2.02025     2.03334  0.00502562
          36     2.01135     2.03273  0.00492298
          37     2.03023     2.03266  0.00479038
          38     2.06314     2.03346  0.00473101
          39     2.07174     2.03444  0.00471041
          40     2.08601     2.03573   0.0047658
          41     2.07088     2.03659  0.00472604
          42     2.06457     2.03726  0.00466025
          43     2.05726     2.03772  0.00457503
          44      2.0197     2.03731  0.00448935
          45     2.03453     2.03725  0.00439001
          46     2.05603     2.03766  0.00431353
          47     2.07997     2.03856  0.00431469
          48     2.05625     2.03893  0.00424051
          49     2.02187     2.03858  0.00416823
          50     2.00009     2.03781  0.00415533
          51     1.96479     2.03638  0.00431346
          52     1.97187     2.03514   0.0044053
          53     2.00086     2.03449  0.00436939
          54     2.03955     2.03458  0.00428947
          55     2.08836     2.03556  0.00432149
          56     2.04227     2.03568  0.00424598
          57     2.00409     2.03513  0.00420752
          58     2.04432     2.03529  0.00413796
          59     2.06847     2.03585  0.00410587
          60     2.13379     2.03748  0.00434985
          61     2.11622     2.03877  0.00446598
          62     2.12463     2.04016  0.00460363
          63     2.04756     2.04027  0.00453206
          64     2.02933      2.0401  0.00446447
          65     2.02187     2.03982  0.00440459
          66     2.02306     2.03957  0.00434517
          67     2.04659     2.03967  0.00428158
          68     2.08804     2.04038  0.00427729
          69     2.09862     2.04123  0.00429775
          70     2.06882     2.04162   0.0042544
          71     2.05381     2.04179  0.00419794
          72     2.05829     2.04202  0.00414588
          73     2.05717     2.04223  0.00409428
          74     2.05165     2.04236  0.00404093
          75     2.04994     2.04246  0.00398832
          76     2.04202     2.04245  0.00393584
          77     2.03944     2.04241  0.00388492
          78     2.04816     2.04249  0.00383581
          79     2.02493     2.04227  0.00379369
          80     2.03694      2.0422  0.00374685
          81     2.03193     2.04207  0.00370274
          82     2.02668     2.04188  0.00366234
          83     2.04659     2.04194  0.00361866
          84     2.06239     2.04218  0.00358375
          85     2.04322      2.0422  0.00354161
          86     2.02127     2.04195  0.00350878
          87     2.03098     2.04183  0.00347071
          88     2.00994     2.04146  0.00345014
          89     2.00138     2.04101  0.00344065
