#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.19498     3.19498           0
           2     3.17883      3.1869  0.00570902
           3     3.27163     3.21515   0.0233722
           4     3.17557     3.20525   0.0195111
           5     2.98573     3.16135   0.0422572
           6     2.86994     3.11278   0.0566196
           7     2.80267     3.06848   0.0635415
           8     2.76961     3.03112   0.0656691
           9     2.76035     3.00104   0.0648992
          10     2.79546     2.98048    0.061579
          11     2.81618     2.96554   0.0577639
          12     2.87401     2.95791   0.0534516
          13     2.86535     2.95079   0.0498119
          14     2.70652     2.93335   0.0492149
          15     2.58715     2.91027   0.0510596
          16     2.49551     2.88434   0.0540494
          17     2.43501     2.85791   0.0569673
          18     2.37758     2.83123   0.0597264
          19     2.36865     2.80688   0.0613447
          20     2.30753     2.78191   0.0631544
          21     2.28383      2.7582   0.0644472
          22     2.25714     2.73542   0.0654185
          23     2.24304     2.71401   0.0659841
          24     2.23132      2.6939    0.066229
          25     2.22927     2.67531   0.0661362
          26     2.20698      2.6573   0.0659999
          27       2.206     2.64059   0.0656379
          28     2.21641     2.62544   0.0650184
          29      2.2325     2.61189   0.0641727
          30     2.24486     2.59965   0.0631891
          31     2.23159     2.58778   0.0622562
          32     2.20469     2.57581   0.0614509
          33     2.21812     2.56497   0.0605371
          34     2.19829     2.55419   0.0597095
          35     2.17736     2.54342   0.0589662
          36     2.15271     2.53257   0.0583185
          37     2.13481     2.52182   0.0577246
          38     2.14291     2.51184   0.0570603
          39     2.15241     2.50263   0.0563366
          40     2.14171     2.49361    0.055646
          41     2.14564     2.48512   0.0549322
          42     2.12018     2.47643   0.0543072
          43     2.13704     2.46854   0.0536147
          44     2.17699     2.46191    0.052804
          45     2.19271     2.45593   0.0519684
          46     2.19315     2.45022   0.0511517
          47     2.17078     2.44427   0.0504076
          48     2.13663     2.43786   0.0497633
          49     2.11681     2.43131   0.0491771
          50     2.12549     2.42519   0.0485725
          51     2.11014     2.41902   0.0480113
          52     2.09505     2.41279   0.0474905
          53     2.05064     2.40595   0.0470834
          54     2.06991     2.39973    0.046621
          55     2.05735      2.3935    0.046187
          56      2.0375     2.38715   0.0457977
          57     2.04108     2.38108   0.0453949
          58      2.0608     2.37555   0.0449468
          59     2.07084     2.37039   0.0444807
          60     2.08575     2.36565   0.0439916
          61     2.10134     2.36131   0.0434833
          62     2.10255     2.35714   0.0429818
          63     2.07556     2.35267   0.0425313
          64     2.05619     2.34804   0.0421183
          65     2.06525     2.34369   0.0416944
          66     2.10718      2.3401   0.0412163
          67     2.13289     2.33701    0.040717
          68     2.12523      2.3339   0.0402372
          69     2.08436     2.33028   0.0398162
          70     2.06304     2.32646     0.03943
          71     2.06285     2.32275   0.0390491
          72     2.09084     2.31953   0.0386394
          73     2.10305     2.31656   0.0382237
          74     2.14038     2.31418   0.0377812
          75     2.15352     2.31204   0.0373381
          76     2.15533     2.30998   0.0369037
          77     2.16068     2.30804   0.0364754
          78     2.10136     2.30539   0.0361039
          79     2.07626     2.30249   0.0357632
          80     2.04396     2.29926   0.0354618
          81     2.01394     2.29573   0.0351985
          82     2.05478      2.2928   0.0348917
          83     2.06586     2.29006   0.0345783
          84     2.04474     2.28714   0.0342898
          85     2.03847     2.28422   0.0340109
          86      2.0549     2.28155   0.0337198
          87     2.06011       2.279   0.0334282
          88     2.07044     2.27663   0.0331322
          89      2.0656     2.27426   0.0328447
          90     2.04791     2.27175   0.0325759
          91     2.02375     2.26902   0.0323317
          92      2.0208     2.26632   0.0320926
          93     2.03756     2.26386   0.0318417
          94     2.04865     2.26158   0.0315851
          95     2.03871     2.25923   0.0313397
          96     2.05479      2.2571   0.0310855
          97     2.02614     2.25472   0.0308561
          98     2.00973     2.25222   0.0306423
          99     2.03564     2.25003   0.0304108
         100     2.03461     2.24788   0.0301829
         101     2.04578     2.24588   0.0299503
         102     2.09815     2.24443   0.0296917
