# VELOCITY:     ACTUAL_POFV:
         0.2  0.00324074
         0.6    0.184722
           1    0.471759
         1.4    0.509259
         1.8    0.398148
         2.2    0.258796
         2.6    0.275463
           3    0.120833
         3.4    0.115741
         3.8   0.0462963
         4.2   0.0583333
         4.6   0.0574074
           5           0
         5.4           0
         5.8           0
         6.2           0
         6.6           0
           7           0
         7.4           0
         7.8           0
         8.2           0
         8.6           0
           9           0
         9.4           0
         9.8           0
        10.2           0
        10.6           0
          11           0
        11.4           0
        11.8           0
