#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.32893     1.32893           0
           2     1.31297     1.32095  0.00564285
           3     1.31869      1.3202  0.00381162
           4     1.33005     1.32266  0.00356643
           5     1.34596     1.32732  0.00505078
           6     1.36965     1.33437  0.00769416
           7     1.37835     1.34066  0.00879362
           8     1.38922     1.34673  0.00956272
           9     1.37433     1.34979  0.00897851
          10     1.35259     1.35007    0.008085
          11     1.34608     1.34971  0.00735814
          12     1.33875      1.3488  0.00680144
          13     1.33838       1.348  0.00632524
          14     1.35607     1.34857  0.00589967
          15     1.36773     1.34985  0.00564296
          16     1.37531     1.35144  0.00551003
          17     1.35686     1.35176  0.00519512
          18     1.33984      1.3511  0.00494853
          19     1.32546     1.34975  0.00486855
          20     1.32584     1.34855  0.00476961
          21     1.35581      1.3489  0.00455497
          22     1.36834     1.34978  0.00443285
          23     1.39854      1.3519  0.00471981
          24     1.37967     1.35306  0.00466284
          25     1.36066     1.35336  0.00448622
          26     1.37353     1.35414  0.00438024
          27     1.36372     1.35449  0.00423236
          28     1.36608     1.35491  0.00410139
          29     1.36265     1.35517  0.00396865
          30     1.37023     1.35568  0.00386794
          31     1.36841     1.35609   0.0037649
          32     1.35145     1.35594  0.00365003
          33     1.35703     1.35598  0.00353957
          34     1.35051     1.35581  0.00343911
          35     1.34683     1.35556  0.00335041
          36      1.3409     1.35515  0.00328198
          37     1.35349     1.35511  0.00319359
          38     1.37543     1.35564  0.00315401
          39     1.38116      1.3563  0.00314028
          40     1.39067     1.35715   0.0031772
          41     1.38059     1.35773  0.00315069
          42     1.37638     1.35817  0.00310683
          43     1.37151     1.35848  0.00305002
          44     1.34647     1.35821   0.0029929
          45     1.35635     1.35817  0.00292667
          46     1.37069     1.35844  0.00287568
          47     1.38665     1.35904  0.00287646
          48     1.37083     1.35928  0.00282701
          49     1.34791     1.35905  0.00277882
          50     1.33339     1.35854  0.00277022
          51     1.30986     1.35758  0.00287564
          52     1.31458     1.35676  0.00293687
          53     1.33391     1.35633  0.00291292
          54      1.3597     1.35639  0.00285965
          55     1.39224     1.35704  0.00288099
          56     1.36151     1.35712  0.00283066
          57     1.33606     1.35675  0.00280501
          58     1.36288     1.35686  0.00275864
          59     1.37898     1.35723  0.00273724
          60     1.42253     1.35832   0.0028999
          61     1.41082     1.35918  0.00297732
          62     1.41642      1.3601  0.00306909
          63     1.36504     1.36018  0.00302137
          64     1.35289     1.36007  0.00297631
          65     1.34791     1.35988  0.00293639
          66     1.34871     1.35971  0.00289678
          67     1.36439     1.35978  0.00285438
          68     1.39203     1.36026  0.00285153
          69     1.39908     1.36082  0.00286517
          70     1.37922     1.36108  0.00283627
          71     1.36921      1.3612  0.00279863
          72     1.37219     1.36135  0.00276392
          73     1.37145     1.36149  0.00272952
          74     1.36777     1.36157  0.00269395
          75     1.36663     1.36164  0.00265888
          76     1.36135     1.36164   0.0026239
          77     1.35963     1.36161  0.00258995
          78     1.36544     1.36166  0.00255721
          79     1.34995     1.36151  0.00252913
          80     1.35796     1.36147   0.0024979
          81     1.35462     1.36138  0.00246849
          82     1.35112     1.36126  0.00244156
          83      1.3644     1.36129  0.00241244
          84     1.37492     1.36146  0.00238917
          85     1.36215     1.36146  0.00236107
          86     1.34752      1.3613  0.00233918
          87     1.35399     1.36122  0.00231381
          88     1.33996     1.36098  0.00230009
          89     1.33425     1.36068  0.00229376
