#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.58768     1.58768           0
           2     1.59236     1.59002  0.00165611
           3     1.58944     1.58983  0.00111523
           4     1.59322     1.59068  0.00111292
           5     1.59412     1.59136  0.00108259
           6     1.59301     1.59164 0.000936158
           7     1.59337     1.59188 0.000834381
           8     1.59418     1.59217 0.000777907
           9     1.59297     1.59226 0.000696487
          10     1.59314     1.59235 0.000632315
          11      1.5915     1.59227 0.000579551
          12     1.59331     1.59236 0.000537646
          13     1.59428     1.59251 0.000516297
          14     1.59523      1.5927 0.000514769
          15     1.59618     1.59293 0.000530214
          16     1.59456     1.59303  0.00050676
          17     1.59544     1.59318 0.000496326
          18     1.59502     1.59328 0.000479169
          19     1.59568      1.5934 0.000470382
          20     1.59539      1.5935 0.000457209
          21     1.59616     1.59363 0.000452666
          22     1.59553     1.59372 0.000440287
          23     1.59584     1.59381 0.000430676
          24     1.59623     1.59391 0.000424385
          25     1.59562     1.59398 0.000412863
          26     1.59619     1.59406 0.000405665
          27     1.59638     1.59415 0.000399619
          28     1.59551      1.5942 0.000388298
          29     1.59596     1.59426 0.000379643
          30     1.59601     1.59432 0.000371437
          31     1.59638     1.59438 0.000365344
          32     1.59633     1.59444 0.000358952
          33     1.59614      1.5945 0.000351719
          34      1.5971     1.59457  0.00034961
          35     1.59658     1.59463 0.000344281
          36     1.59601     1.59467 0.000336836
          37     1.59636     1.59471 0.000330809
          38     1.59613     1.59475  0.00032419
          39      1.5967      1.5948 0.000319695
          40     1.59624     1.59484 0.000313722
          41     1.59668     1.59488 0.000309261
          42     1.59625     1.59491 0.000303611
          43     1.59602     1.59494  0.00029763
          44     1.59635     1.59497   0.0002926
          45     1.59596     1.59499 0.000286926
          46     1.59677     1.59503 0.000283266
          47     1.59641     1.59506 0.000278761
          48     1.59619     1.59508  0.00027394
          49     1.59652     1.59511 0.000269907
          50      1.5967     1.59515 0.000266356
          51     1.59632     1.59517 0.000262124
          52     1.59637     1.59519 0.000258104
          53     1.59655     1.59522 0.000254511
          54     1.59644     1.59524 0.000250799
          55     1.59644     1.59526 0.000247189
          56     1.59652     1.59528 0.000243797
          57      1.5965     1.59531 0.000240451
          58     1.59643     1.59533 0.000237083
          59     1.59586     1.59533 0.000233239
          60      1.5964     1.59535 0.000230021
          61     1.59626     1.59537 0.000226735
          62     1.59694     1.59539 0.000224498
          63     1.59656     1.59541 0.000221699
          64     1.59639     1.59543 0.000218767
          65     1.59599     1.59543 0.000215572
          66     1.59592     1.59544 0.000212432
          67     1.59686     1.59546 0.000210309
          68     1.59653     1.59548 0.000207804
          69     1.59626     1.59549 0.000205101
          70     1.59655     1.59551 0.000202729
          71     1.59658     1.59552 0.000200438
          72     1.59594     1.59553 0.000197739
          73     1.59577     1.59553 0.000195059
          74      1.5961     1.59554 0.000192576
          75     1.59638     1.59555 0.000190336
          76     1.59622     1.59556 0.000188034
          77     1.59647     1.59557 0.000185969
          78      1.5963     1.59558 0.000183823
          79     1.59701      1.5956 0.000182385
          80     1.59646     1.59561 0.000180421
          81     1.59561     1.59561 0.000178194
          82     1.59621     1.59561  0.00017617
          83      1.5966     1.59563 0.000174445
          84      1.5964     1.59564  0.00017261
          85     1.59586     1.59564 0.000170599
          86     1.59604     1.59564  0.00016868
          87     1.59652     1.59565 0.000167039
          88     1.59642     1.59566 0.000165369
          89     1.59624     1.59567  0.00016364
          90     1.59657     1.59568 0.000162125
          91      1.5968     1.59569 0.000160808
          92     1.59614      1.5957 0.000159135
          93     1.59587      1.5957 0.000157434
          94     1.59634      1.5957 0.000155907
          95     1.59614     1.59571 0.000154333
          96     1.59617     1.59571   0.0001528
          97     1.59678     1.59572  0.00015162
          98     1.59621     1.59573 0.000150153
          99     1.59603     1.59573 0.000148667
         100     1.59629     1.59574 0.000147286
         101     1.59636     1.59574 0.000145955
         102     1.59522     1.59574 0.000144616
         103     1.59622     1.59574 0.000143289
         104     1.59692     1.59576 0.000142355
         105     1.59653     1.59576 0.000141189
         106       1.596     1.59576 0.000139874
         107     1.59603     1.59577 0.000138589
         108     1.59595     1.59577 0.000137316
         109     1.59597     1.59577 0.000136068
         110     1.59642     1.59578  0.00013496
         111     1.59639     1.59578 0.000133859
         112      1.5967     1.59579 0.000132914
         113     1.59697      1.5958 0.000132147
         114     1.59675     1.59581 0.000131249
         115     1.59629     1.59581 0.000130174
         116     1.59582     1.59581 0.000129052
         117      1.5963     1.59582 0.000128015
         118     1.59649     1.59582 0.000127055
         119     1.59648     1.59583 0.000126108
         120     1.59677     1.59584 0.000125301
         121     1.59601     1.59584 0.000124274
         122     1.59627     1.59584 0.000123305
         123     1.59619     1.59584 0.000122335
         124     1.59595     1.59585 0.000121351
         125     1.59737     1.59586 0.000120989
         126     1.59638     1.59586 0.000120101
         127     1.59643     1.59587 0.000119238
         128     1.59638     1.59587 0.000118375
         129     1.59593     1.59587 0.000117458
         130     1.59633     1.59587 0.000116607
         131     1.59677     1.59588 0.000115916
         132     1.59688     1.59589 0.000115283
         133     1.59675      1.5959 0.000114598
         134     1.59674      1.5959 0.000113916
         135     1.59565      1.5959 0.000113087
         136     1.59613      1.5959 0.000112269
         137     1.59638      1.5959 0.000111503
         138     1.59667     1.59591 0.000110834
         139     1.59663     1.59592 0.000110157
         140     1.59657     1.59592  0.00010947
         141     1.59611     1.59592 0.000108701
         142      1.5967     1.59593 0.000108074
         143     1.59672     1.59593  0.00010746
         144     1.59626     1.59593 0.000106738
         145     1.59688     1.59594 0.000106201
         146     1.59631     1.59594 0.000105504
         147     1.59682     1.59595 0.000104956
