#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79299    -6.79299           0
           2    -6.79267    -6.79283 0.000113254
           3    -6.79213    -6.79259 0.000203305
           4    -6.79139    -6.79229 0.000302997
           5    -6.79042    -6.79192 0.000412948
           6    -6.78924    -6.79147 0.000532854
           7    -6.78785    -6.79095 0.000662363
           8    -6.78622    -6.79036 0.000801196
           9    -6.78437     -6.7897 0.000949163
          10    -6.78229    -6.78896  0.00110615
          11    -6.77997    -6.78814  0.00127213
          12     -6.7774    -6.78724  0.00144711
          13    -6.77428    -6.78625  0.00164398
          14     -6.7712    -6.78517  0.00184476
          15     -6.7677    -6.78401  0.00205696
          16    -6.76362    -6.78273  0.00228929
          17    -6.75925    -6.78135  0.00253728
          18    -6.75474    -6.77987  0.00279403
          19    -6.74991     -6.7783  0.00305975
          20    -6.74461    -6.77661  0.00333831
          21    -6.73927    -6.77483  0.00362212
          22    -6.73312    -6.77294  0.00392243
          23    -6.72661    -6.77092  0.00423772
          24    -6.71971    -6.76879    0.004567
          25    -6.71225    -6.76653  0.00491244
          26    -6.70453    -6.76414  0.00527057
          27    -6.69637    -6.76163  0.00564152
          28    -6.68745    -6.75898  0.00603017
          29    -6.67836     -6.7562  0.00643129
          30    -6.66832    -6.75327  0.00685172
          31    -6.65822    -6.75021  0.00728462
          32    -6.64712    -6.74699  0.00773656
          33    -6.63592    -6.74362  0.00820158
          34    -6.62414    -6.74011  0.00868068
          35    -6.61205    -6.73645   0.0091714
          36    -6.59948    -6.73264  0.00967365
          37    -6.58582    -6.72868   0.0101936
          38    -6.57134    -6.72453   0.0107333
          39    -6.55633    -6.72022   0.0112914
          40    -6.54001    -6.71572    0.011874
          41    -6.52343    -6.71103   0.0124763
          42     -6.5061    -6.70615   0.0130986
          43    -6.48849    -6.70109   0.0137372
          44    -6.46996    -6.69583   0.0143944
          45    -6.45066    -6.69038   0.0150703
          46    -6.43105    -6.68475    0.015762
          47    -6.41112    -6.67892   0.0164668
          48    -6.38996     -6.6729   0.0171889
          49    -6.36805    -6.66668   0.0179287
          50    -6.34525    -6.66025   0.0186872
          51    -6.32187    -6.65362   0.0194631
          52    -6.29763    -6.64677    0.020257
          53    -6.27242    -6.63971   0.0210703
          54    -6.24702    -6.63244   0.0218991
          55    -6.22087    -6.62496   0.0227435
          56    -6.19477    -6.61727   0.0235991
          57    -6.16816    -6.60939   0.0244651
          58     -6.1405    -6.60131   0.0253438
          59    -6.11229    -6.59302   0.0262346
          60    -6.08451    -6.58455   0.0271318
          61    -6.05569    -6.57588    0.028038
          62    -6.02698    -6.56702   0.0289498
          63    -5.99827      -6.558   0.0298647
          64     -5.9701    -6.54881   0.0307784
          65    -5.94116    -6.53946   0.0316928
          66    -5.91289    -6.52997   0.0326035
          67    -5.88353    -6.52032   0.0335141
          68    -5.85497    -6.51053     0.03442
          69     -5.8271    -6.50063   0.0353175
          70    -5.79924    -6.49061   0.0362065
          71    -5.77144    -6.48048   0.0370863
          72    -5.74466    -6.47026   0.0379532
          73    -5.71776    -6.45995    0.038808
          74    -5.69123    -6.44956   0.0396495
          75    -5.66558    -6.43911   0.0404754
          76    -5.64131    -6.42861   0.0412816
          77    -5.61697    -6.41807   0.0420697
          78    -5.59366     -6.4075   0.0428375
          79    -5.57127    -6.39692   0.0435834
          80    -5.54926    -6.38632   0.0443079
          81    -5.52826    -6.37573   0.0450095
          82    -5.50847    -6.36515   0.0456863
          83    -5.48904     -6.3546   0.0463392
          84    -5.47075    -6.34408    0.046967
          85     -5.4532    -6.33359   0.0475695
          86    -5.43717    -6.32317   0.0481448
          87    -5.42256    -6.31282   0.0486916
          88    -5.40877    -6.30255   0.0492101
          89    -5.39615    -6.29236   0.0496999
          90    -5.38455    -6.28227   0.0501608
          91     -5.3749     -6.2723   0.0505909
          92    -5.36569    -6.26245   0.0509918
          93    -5.35843    -6.25273   0.0513616
          94    -5.35115    -6.24314    0.051703
          95    -5.34578    -6.23369   0.0520145
          96     -5.3411    -6.22439   0.0522971
          97    -5.33766    -6.21525   0.0525508
          98    -5.33511    -6.20627   0.0527765
          99    -5.33356    -6.19746   0.0529745
         100    -5.33308    -6.18881   0.0531452
         101    -5.33377    -6.18035    0.053289
         102    -5.33523    -6.17206   0.0534068
         103    -5.33725    -6.16396   0.0534998
         104    -5.33959    -6.15603   0.0535694
         105    -5.34291    -6.14829    0.053616
         106    -5.34624    -6.14072   0.0536414
         107    -5.34994    -6.13333   0.0536468
         108    -5.35423    -6.12611   0.0536329
         109    -5.35905    -6.11908   0.0536005
         110     -5.3634    -6.11221   0.0535517
         111    -5.36859    -6.10551   0.0534866
         112    -5.37335    -6.09897   0.0534071
         113    -5.37808    -6.09259   0.0533141
         114    -5.38273    -6.08636   0.0532088
         115    -5.38727    -6.08029   0.0530923
         116    -5.39121    -6.07435   0.0529659
         117    -5.39529    -6.06854   0.0528302
         118    -5.39948    -6.06287   0.0526859
         119    -5.40346    -6.05733   0.0525337
         120    -5.40679    -6.05191   0.0523749
         121    -5.41005     -6.0466     0.05221
