#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.98        1.98           0
           2     1.97993     1.97996 2.51946e-05
           3     1.97972     1.97988 6.98644e-05
           4     1.97936     1.97975 0.000124522
           5     1.97886     1.97957  0.00018771
           6     1.97822     1.97935 0.000258526
           7     1.97743     1.97907 0.000336378
           8      1.9765     1.97875 0.000420865
           9     1.97542     1.97838 0.000511716
          10     1.97419     1.97796 0.000608752
          11      1.9728     1.97749 0.000711868
          12     1.97125     1.97697 0.000821014
          13     1.96954      1.9764 0.000936187
          14     1.96766     1.97578  0.00105736
          15      1.9656      1.9751  0.00118458
          16     1.96337     1.97436  0.00131797
          17     1.96095     1.97358   0.0014576
          18     1.95834     1.97273  0.00160358
          19     1.95553     1.97182  0.00175608
          20     1.95252     1.97086  0.00191531
          21     1.94928     1.96983  0.00208148
          22     1.94582     1.96874  0.00225485
          23     1.94213     1.96758  0.00243567
          24     1.93819     1.96636  0.00262417
          25     1.93399     1.96506  0.00282064
          26     1.92952      1.9637  0.00302534
          27     1.92477     1.96226  0.00323857
          28     1.91974     1.96074  0.00346065
          29     1.91439     1.95914   0.0036919
          30     1.90873     1.95746  0.00393262
          31     1.90274     1.95569  0.00418311
          32     1.89641     1.95384   0.0044437
          33     1.88972      1.9519  0.00471475
          34     1.88265     1.94986  0.00499661
          35      1.8752     1.94773  0.00528965
          36     1.86734     1.94549  0.00559422
          37     1.85906     1.94316  0.00591067
          38     1.85036     1.94072  0.00623929
          39     1.84121     1.93817  0.00658039
          40      1.8316      1.9355  0.00693424
          41     1.82152     1.93272  0.00730111
          42     1.81097     1.92982  0.00768122
          43     1.79992      1.9268   0.0080748
          44     1.78838     1.92366  0.00848201
          45     1.77633     1.92038  0.00890297
          46     1.76377     1.91698  0.00933777
          47     1.75069     1.91344  0.00978643
          48      1.7371     1.90977   0.0102489
          49       1.723     1.90595   0.0107251
          50     1.70839       1.902   0.0112149
          51     1.69329     1.89791   0.0117179
          52      1.6777     1.89368   0.0122339
          53     1.66164      1.8893   0.0127624
          54     1.64514     1.88478   0.0133029
          55     1.62821     1.88011   0.0138548
          56     1.61088      1.8753   0.0144174
          57     1.59317     1.87035   0.0149901
          58     1.57514     1.86526   0.0155718
          59      1.5568     1.86004   0.0161618
          60      1.5382     1.85467   0.0167589
          61     1.51937     1.84917   0.0173622
          62     1.50037     1.84355   0.0179706
          63     1.48122      1.8378   0.0185828
          64     1.46199     1.83193   0.0191978
          65     1.44271     1.82594   0.0198143
          66     1.42342     1.81984   0.0204312
          67     1.40417     1.81363   0.0210471
          68     1.38501     1.80733   0.0216609
          69     1.36596     1.80093   0.0222714
          70     1.34708     1.79445   0.0228776
          71     1.32841     1.78789   0.0234781
          72     1.30998     1.78125    0.024072
          73     1.29183     1.77455   0.0246582
          74       1.274     1.76778   0.0252357
          75     1.25651     1.76096   0.0258035
          76     1.23942      1.7541   0.0263608
          77     1.22274      1.7472   0.0269065
          78     1.20651     1.74027     0.02744
          79     1.19077     1.73331   0.0279603
          80     1.17555     1.72634   0.0284668
          81     1.16087     1.71936   0.0289588
          82     1.14677     1.71238   0.0294354
          83     1.13328      1.7054   0.0298962
