# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.28871e-05 5.53822e-06
    0.884913  0.00112454  6.1532e-05
    0.910562   0.0230989 0.000321494
    0.936212    0.163052 0.000936154
    0.961861     0.56575  0.00165859
    0.987511     1.20704  0.00245228
     1.01316     1.87221  0.00294599
     1.03881     2.34448  0.00363904
     1.06446     2.56262  0.00348597
     1.09011     2.55279  0.00449646
     1.11576      2.4107  0.00318766
     1.14141      2.1996  0.00249001
     1.16706     1.96798  0.00290123
     1.19271     1.75283  0.00271985
     1.21836     1.55319  0.00257436
     1.24401     1.38051   0.0026452
     1.26966     1.24045  0.00247221
     1.29531     1.11993  0.00243072
     1.32096     1.02081  0.00195735
     1.34661    0.935366  0.00213496
     1.37226    0.868302  0.00162479
     1.39791    0.813264  0.00169507
     1.42355    0.770298  0.00185182
      1.4492    0.735862  0.00175845
     1.47485    0.707849  0.00188046
      1.5005    0.687754  0.00178436
     1.52615    0.677395   0.0014165
      1.5518    0.671293  0.00185238
     1.57745    0.672537   0.0013778
      1.6031    0.676978  0.00166426
     1.62875    0.686051  0.00164513
      1.6544    0.704465  0.00166835
     1.68005    0.726021   0.0015797
      1.7057    0.753175   0.0011286
     1.73135    0.784629  0.00139375
       1.757    0.819936  0.00140801
     1.78265    0.858301  0.00142715
      1.8083     0.89851  0.00141676
     1.83395    0.939371   0.0016688
      1.8596    0.982202  0.00144924
     1.88525     1.01879  0.00160322
      1.9109     1.06007  0.00166642
     1.93655     1.09934  0.00175322
      1.9622     1.13259  0.00173481
     1.98785     1.16346  0.00139881
      2.0135     1.18858  0.00133835
     2.03915     1.20445  0.00131201
      2.0648     1.21469  0.00134329
     2.09045     1.21696  0.00143796
      2.1161     1.20793  0.00146844
     2.14174     1.19377   0.0014232
     2.16739      1.1735  0.00159654
     2.19304     1.14901  0.00116578
     2.21869     1.12259  0.00145141
     2.24434     1.08955  0.00138671
     2.26999     1.06109  0.00131584
     2.29564     1.03277  0.00108979
     2.32129     1.00625 0.000835146
     2.34694    0.980035  0.00117645
     2.37259    0.960945  0.00120218
     2.39824    0.940731  0.00103733
     2.42389     0.92337  0.00104383
     2.44954    0.910155 0.000979289
     2.47519    0.899766 0.000946208
     2.50084    0.894553  0.00135187
     2.52649    0.890886  0.00128976
     2.55214    0.891222  0.00122963
