#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45764    -5.45764           0
           2    -5.45361    -5.45562  0.00142765
           3    -5.46387    -5.45837  0.00243748
           4    -5.45242    -5.45688  0.00223701
           5     -5.4753    -5.46057  0.00374879
           6    -5.45079    -5.45894  0.00346019
           7    -5.45758    -5.45874   0.0029713
           8    -5.46217    -5.45917  0.00263054
           9    -5.46629    -5.45996  0.00245439
          10     -5.4755    -5.46152  0.00265536
          11    -5.46079    -5.46145  0.00241479
          12     -5.4602    -5.46135  0.00221581
          13    -5.47432    -5.46234  0.00225895
          14    -5.46185    -5.46231  0.00209787
          15    -5.45536    -5.46185  0.00200848
          16    -5.46181    -5.46184  0.00188295
          17     -5.4572    -5.46157  0.00179191
          18    -5.46028     -5.4615  0.00169379
          19    -5.46102    -5.46147  0.00160483
          20    -5.45964    -5.46138  0.00152722
          21    -5.46898    -5.46174  0.00149672
          22     -5.4648    -5.46188  0.00143513
          23    -5.45973    -5.46179  0.00137577
          24    -5.46427    -5.46189  0.00132233
          25    -5.45866    -5.46176  0.00127575
          26    -5.46149    -5.46175  0.00122673
          27    -5.45721    -5.46158  0.00119276
          28    -5.46938    -5.46186  0.00118217
          29    -5.44868    -5.46141  0.00122572
          30    -5.46946    -5.46168  0.00121391
          31    -5.45968    -5.46161  0.00117647
          32    -5.44864    -5.46121  0.00120752
          33    -5.46781    -5.46141  0.00118738
          34    -5.46715    -5.46158  0.00116441
          35    -5.46397    -5.46164  0.00113315
          36    -5.45158    -5.46136  0.00113563
          37    -5.47268    -5.46167  0.00114541
          38    -5.46159    -5.46167  0.00111527
          39    -5.45928    -5.46161  0.00108835
          40    -5.46265    -5.46163  0.00106145
