#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.554832    0.554832           0
           2    0.630033    0.592432   0.0265879
           3    0.541424     0.57543   0.0225148
           4    0.610612    0.584225   0.0185247
           5     0.43945     0.55527   0.0298386
           6    0.539952    0.552717   0.0249745
           7    0.519818    0.548017   0.0218444
           8    0.531351    0.545934    0.019213
           9    0.511072    0.542061   0.0174643
          10    0.478112    0.535666    0.016848
          11    0.553546    0.537291   0.0153946
          12    0.549119    0.538277   0.0141432
          13    0.475514    0.533449   0.0138548
          14    0.504574    0.531386   0.0130178
          15    0.553301    0.532847   0.0122317
          16    0.512329    0.531565   0.0115342
          17    0.513094    0.530479   0.0109068
          18    0.515441    0.529643   0.0103328
          19     0.55011     0.53072  0.00984496
          20    0.545033    0.531436  0.00937868
          21    0.473319    0.528668  0.00933146
          22    0.545248    0.529422  0.00893768
          23    0.529129    0.529409   0.0085491
          24    0.504877    0.528387  0.00825377
          25    0.590593    0.530875  0.00829019
          26    0.544264     0.53139  0.00798732
          27    0.569855    0.532815  0.00781751
          28    0.514415    0.532158  0.00756588
          29    0.619633    0.535174  0.00788338
          30    0.517434    0.534583  0.00764274
          31    0.577341    0.535962  0.00751963
          32    0.593805     0.53777  0.00749876
          33    0.526814    0.537438  0.00727887
          34    0.518553    0.536882  0.00708594
          35    0.516843     0.53631  0.00690658
          36    0.565736    0.537127  0.00676293
          37    0.465944    0.535203  0.00684832
          38    0.554783    0.535719  0.00668746
          39    0.533874    0.535671  0.00651615
          40    0.519816    0.535275  0.00636529
