#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.487313    0.487313           0
           2    0.483048    0.485181  0.00150788
           3    0.495058    0.488473  0.00286998
           4    0.526971    0.498098  0.00860854
           5    0.519025    0.502283  0.00783856
           6    0.489577    0.500165  0.00681217
           7    0.498925    0.499988  0.00584131
           8    0.500089    0.500001  0.00511116
           9    0.511111    0.501235  0.00468997
          10    0.490404    0.500152  0.00434424
          11    0.474631    0.497832  0.00452666
          12    0.503173    0.498277  0.00417126
          13    0.504231    0.498735  0.00387546
          14    0.512037    0.499685  0.00371329
          15    0.456711     0.49682   0.0044353
          16    0.498774    0.496942  0.00415977
          17     0.58586    0.502173  0.00640909
          18    0.477322    0.500792  0.00619994
          19    0.488771     0.50016  0.00590583
          20     0.48885    0.499594  0.00563754
          21    0.510296    0.500104  0.00539207
          22    0.485235    0.499428  0.00518916
          23    0.532492    0.500865  0.00515883
          24      0.5036    0.500979  0.00494513
          25    0.476533    0.500002  0.00484305
          26    0.527028    0.501041  0.00476702
          27    0.532213    0.502196   0.0047282
          28    0.539821    0.503539  0.00474645
          29     0.43749    0.501262  0.00510003
          30     0.50048    0.501236   0.0049301
          31    0.509674    0.501508  0.00477857
          32    0.501179    0.501498  0.00462925
          33    0.497044    0.501363  0.00449094
          34    0.467596    0.500369  0.00446732
          35    0.502534    0.500431  0.00434011
          36    0.467363    0.499513  0.00431566
          37    0.499054      0.4995  0.00419904
          38    0.536913    0.500485  0.00420238
          39    0.484903    0.500085  0.00411358
          40    0.463195    0.499163  0.00411282
