# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.21577e-05 1.99771e-06
    0.884913  0.00127631 2.09117e-05
    0.910562   0.0240322 0.000129509
    0.936212    0.164683 0.000408559
    0.961861    0.563385 0.000719963
    0.987511     1.19915  0.00111246
     1.01316     1.86271  0.00135691
     1.03881     2.33579  0.00114162
     1.06446     2.55344  0.00119502
     1.09011     2.54969  0.00104726
     1.11576     2.40712 0.000820634
     1.14141     2.19939  0.00109733
     1.16706      1.9758  0.00107999
     1.19271     1.75719  0.00101882
     1.21836     1.55986 0.000993443
     1.24401     1.38922 0.000977677
     1.26966     1.24637  0.00100727
     1.29531     1.12514 0.000765019
     1.32096     1.02426 0.000805845
     1.34661    0.942407 0.000571082
     1.37226    0.873238 0.000644674
     1.39791    0.817728  0.00053843
     1.42355    0.773541 0.000548076
      1.4492    0.737362 0.000568591
     1.47485    0.710603 0.000498773
      1.5005    0.690673 0.000515058
     1.52615    0.678091 0.000558462
      1.5518    0.670922 0.000527078
     1.57745    0.669691 0.000554506
      1.6031     0.67536 0.000478828
     1.62875    0.684895 0.000483081
      1.6544    0.701094 0.000461993
     1.68005    0.722216  0.00048271
      1.7057    0.748776 0.000475992
     1.73135    0.779477 0.000587411
       1.757    0.814946 0.000442083
     1.78265    0.853159 0.000558336
      1.8083     0.89432 0.000578325
     1.83395    0.936233 0.000559582
      1.8596    0.977232 0.000547665
     1.88525     1.01906 0.000438239
      1.9109     1.05766 0.000535939
     1.93655      1.0964 0.000475244
      1.9622     1.12995 0.000483052
     1.98785     1.16092 0.000452287
      2.0135     1.18591 0.000522054
     2.03915     1.20465 0.000466873
      2.0648      1.2142 0.000491362
     2.09045     1.21606 0.000411986
      2.1161      1.2089 0.000483803
     2.14174     1.19537 0.000496367
     2.16739     1.17596 0.000478211
     2.19304     1.15138 0.000522808
     2.21869     1.12424 0.000416602
     2.24434     1.09579 0.000524644
     2.26999     1.06672  0.00044307
     2.29564     1.03898 0.000426441
     2.32129     1.01268 0.000421419
     2.34694    0.988123 0.000423591
     2.37259    0.966177  0.00040829
     2.39824    0.947355 0.000428198
     2.42389    0.931606  0.00040206
     2.44954    0.918374 0.000439729
     2.47519    0.908975 0.000440753
     2.50084    0.894218 0.000411404
     2.52649    0.885161 0.000486545
     2.55214    0.885076 0.000409962
