# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.30087e-05 1.48291e-06
    0.884913  0.00127917 1.72736e-05
    0.910562   0.0241401 8.70152e-05
    0.936212    0.165215 0.000291019
    0.961861     0.56442    0.000578
    0.987511     1.20105 0.000992625
     1.01316     1.86354  0.00114266
     1.03881     2.33596 0.000840017
     1.06446     2.55215 0.000664304
     1.09011     2.54909 0.000650064
     1.11576     2.40799 0.000741609
     1.14141     2.19923 0.000851219
     1.16706     1.97392 0.000840616
     1.19271     1.75546 0.000821627
     1.21836     1.55906 0.000777519
     1.24401     1.38947 0.000651127
     1.26966     1.24551 0.000718186
     1.29531     1.12443  0.00061666
     1.32096      1.0241 0.000532277
     1.34661    0.941652 0.000465877
     1.37226    0.873135 0.000363105
     1.39791    0.817764 0.000393426
     1.42355    0.773454 0.000298594
      1.4492    0.737639 0.000342882
     1.47485    0.710487 0.000384134
      1.5005      0.6909  0.00040265
     1.52615    0.678488 0.000411052
      1.5518    0.671297 0.000386794
     1.57745    0.670445 0.000453075
      1.6031     0.67544 0.000398574
     1.62875    0.685485 0.000401953
      1.6544    0.701462 0.000351782
     1.68005    0.722671 0.000381955
      1.7057    0.749124 0.000370314
     1.73135    0.779771 0.000399319
       1.757    0.815059 0.000303126
     1.78265    0.853219 0.000350722
      1.8083    0.894174 0.000391022
     1.83395    0.936243 0.000387118
      1.8596    0.977519 0.000414079
     1.88525     1.01903 0.000327726
      1.9109     1.05807 0.000427835
     1.93655      1.0962 0.000310759
      1.9622     1.13044 0.000393618
     1.98785      1.1609 0.000429238
      2.0135     1.18607 0.000354147
     2.03915     1.20419 0.000340267
      2.0648     1.21404 0.000343199
     2.09045     1.21568 0.000319615
      2.1161     1.20854 0.000332264
     2.14174     1.19478 0.000377781
     2.16739     1.17544 0.000359324
     2.19304     1.15087 0.000375084
     2.21869     1.12395 0.000374459
     2.24434     1.09545 0.000346322
     2.26999     1.06657 0.000285545
     2.29564     1.03885 0.000306153
     2.32129     1.01234 0.000255387
     2.34694    0.988021 0.000270049
     2.37259    0.966171 0.000266052
     2.39824    0.947487 0.000284841
     2.42389    0.931482 0.000311869
     2.44954    0.918207 0.000295707
     2.47519    0.908989 0.000272963
     2.50084    0.894644 0.000341641
     2.52649    0.885567 0.000343214
     2.55214    0.885438 0.000318273
