#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -5.477      -5.477           0
           2    -5.46504    -5.47102  0.00423092
           3    -5.47109    -5.47105  0.00282068
           4    -5.46713    -5.47007  0.00227899
           5    -5.46819    -5.46969  0.00185385
           6    -5.47232    -5.47013  0.00159585
           7    -5.46426    -5.46929  0.00157268
           8     -5.4646     -5.4687  0.00148145
           9    -5.46893    -5.46873  0.00131706
          10    -5.46649    -5.46851   0.0012042
          11    -5.46456    -5.46815  0.00114679
          12    -5.46292    -5.46771  0.00113085
          13    -5.47286    -5.46811  0.00111112
          14    -5.46776    -5.46808  0.00103203
          15    -5.46748    -5.46804 0.000964001
          16    -5.47042    -5.46819 0.000915133
          17    -5.46644    -5.46809 0.000867059
          18    -5.47298    -5.46836 0.000860337
          19    -5.46122    -5.46799 0.000893353
          20    -5.45844    -5.46751 0.000967726
          21    -5.46525     -5.4674 0.000927579
          22    -5.47291    -5.46765 0.000918647
          23    -5.46537    -5.46755 0.000884064
          24    -5.46707    -5.46753 0.000847458
          25    -5.46382    -5.46738 0.000826496
          26    -5.46583    -5.46732 0.000796854
          27    -5.45676    -5.46693 0.000858037
          28    -5.45435    -5.46648 0.000937722
          29    -5.46466    -5.46642   0.0009075
          30    -5.46724    -5.46645 0.000877658
          31    -5.46701    -5.46647 0.000849531
          32    -5.46151    -5.46631 0.000836996
          33    -5.46733    -5.46634 0.000812201
          34     -5.4594    -5.46614 0.000813549
          35    -5.46434    -5.46609 0.000791915
          36    -5.46829    -5.46615 0.000772274
          37    -5.45472    -5.46584 0.000810805
          38    -5.46821     -5.4659 0.000791864
          39    -5.46651    -5.46592 0.000771713
          40    -5.46829    -5.46598 0.000754707
