#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      0.4434      0.4434           0
           2    0.509377    0.476389   0.0233264
           3    0.482277    0.478351   0.0156333
           4    0.509032    0.486021   0.0134758
           5    0.505702    0.489958    0.011341
           6    0.484305    0.489016  0.00948985
           7    0.500508    0.490657  0.00827496
           8    0.528712    0.495414  0.00849851
           9    0.497208    0.495613  0.00755657
          10    0.531369    0.499189  0.00759992
          11    0.520766    0.501151  0.00715768
          12    0.518053    0.502559  0.00669836
          13    0.469448    0.500012  0.00664975
          14    0.499217    0.499955  0.00617501
          15    0.506536    0.500394   0.0057789
          16    0.488429    0.499646  0.00546589
          17    0.512946    0.500429  0.00520005
          18    0.483356     0.49948  0.00499691
          19    0.533502    0.501271  0.00504456
          20     0.54721    0.503568   0.0052895
          21    0.512823    0.504008  0.00505594
          22    0.477668    0.502811  0.00496587
          23    0.508957    0.503078  0.00475715
          24    0.505909    0.503196   0.0045604
          25    0.512135    0.503554  0.00439198
          26    0.515067    0.503997  0.00424532
          27    0.551833    0.505768  0.00444243
          28    0.568335    0.508003  0.00481305
          29    0.503261    0.507839  0.00464986
          30    0.506518    0.507795  0.00449507
          31    0.502387    0.507621  0.00435345
          32    0.525669    0.508185  0.00425378
          33     0.51051    0.508255  0.00412546
          34    0.541254    0.509226  0.00411671
          35    0.523134    0.509623  0.00401822
          36    0.494468    0.509202  0.00392859
          37    0.574518    0.510968  0.00420034
          38    0.497548    0.510614  0.00410462
          39    0.509729    0.510592  0.00399944
          40    0.502298    0.510384  0.00390482
