#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.476389    0.476389           0
           2    0.495654    0.486021  0.00681146
           3    0.495004    0.489016  0.00515725
           4     0.51461    0.495414  0.00675775
           5    0.514289    0.499189  0.00637396
           6    0.519409    0.502559  0.00613823
           7    0.484332    0.499955  0.00578732
           8    0.497483    0.499646  0.00507216
           9    0.498151     0.49948   0.0045113
          10    0.540356    0.503568  0.00561452
          11    0.495245    0.502811  0.00515483
          12    0.507433    0.503196  0.00473963
          13    0.513601    0.503997  0.00444211
          14    0.560084    0.508003  0.00564957
          15    0.504889    0.507795  0.00527674
          16    0.514028    0.508185   0.0049613
          17    0.525882    0.509226  0.00477743
          18    0.508801    0.509202  0.00451207
          19    0.536033    0.510614  0.00449014
          20    0.506014    0.510384  0.00427152
          21    0.507003    0.510223  0.00407115
          22    0.501083    0.509808  0.00390724
          23    0.505276    0.509611  0.00374232
          24    0.492398    0.508894  0.00365447
          25    0.523944    0.509496  0.00355754
          26    0.561088     0.51148  0.00393539
          27    0.514431    0.511589  0.00379115
          28    0.514877    0.511707  0.00365757
          29    0.518951    0.511957  0.00353997
          30     0.52597    0.512424  0.00345265
          31    0.522745    0.512757  0.00335729
          32    0.554572    0.514063  0.00349745
          33    0.523934    0.514362  0.00340423
          34    0.504896    0.514084  0.00331547
          35    0.514138    0.514086  0.00322074
          36    0.533598    0.514628  0.00317656
          37    0.567349    0.516052  0.00339528
          38    0.508416    0.515851  0.00331187
          39    0.492982    0.515265  0.00327845
          40    0.553953    0.516232  0.00333611
