#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65334    -6.65334           0
           2    -6.50345     -6.5784   0.0529954
           3    -6.40553    -6.52077   0.0588373
           4    -6.25273    -6.45376   0.0729046
           5    -6.19464    -6.40194   0.0745003
           6    -6.16151    -6.36187   0.0720591
           7    -6.10775    -6.32557   0.0703171
           8    -6.10333    -6.29779   0.0667898
           9    -6.03218    -6.26827   0.0655651
          10    -5.99475    -6.24092   0.0644622
          11    -5.96118    -6.21549   0.0634204
          12    -5.95668    -6.19392   0.0616937
          13    -6.05635    -6.18334   0.0578485
          14    -5.96219    -6.16754   0.0558316
          15    -5.87698    -6.14817   0.0553681
          16    -5.85458    -6.12982   0.0548641
          17    -5.82354    -6.11181   0.0545149
          18    -5.88445    -6.09917   0.0529293
          19    -5.84728    -6.08592   0.0517774
          20    -5.83168    -6.07321   0.0507249
          21    -5.88839     -6.0644   0.0490669
          22    -5.80176    -6.05247   0.0482671
          23    -5.82439    -6.04255   0.0471762
          24    -5.91075    -6.03706    0.045529
          25    -5.95579    -6.03381   0.0438238
          26    -5.87549    -6.02772   0.0425592
          27    -5.82628    -6.02026   0.0416317
          28    -5.84171    -6.01388   0.0406303
          29    -5.78735    -6.00607   0.0399731
          30    -5.76641    -5.99808   0.0394308
          31    -5.73151    -5.98948   0.0390852
          32    -5.71491     -5.9809   0.0387942
          33    -5.74262    -5.97368   0.0382847
          34    -5.81706    -5.96907   0.0374348
          35     -5.7943    -5.96408   0.0366968
          36    -5.79509    -5.95939   0.0359764
          37    -5.80361    -5.95518   0.0352495
          38    -5.74683    -5.94969   0.0347457
          39    -5.75912    -5.94481   0.0341967
          40    -5.74489    -5.93981    0.033705
          41    -5.74022    -5.93494   0.0332326
          42    -5.71243    -5.92964   0.0328609
          43    -5.66663    -5.92353    0.032661
          44    -5.69574    -5.91835   0.0323264
          45    -5.66845     -5.9128   0.0320815
          46    -5.69701    -5.90811   0.0317252
          47     -5.7154    -5.90401    0.031314
          48    -5.71793    -5.90013   0.0309007
          49    -5.70228    -5.89609   0.0305327
          50    -5.73836    -5.89294   0.0300846
          51    -5.73994    -5.88994   0.0296439
          52    -5.75889    -5.88742   0.0291807
          53    -5.79649     -5.8857   0.0286805
          54    -5.82095     -5.8845   0.0281744
          55    -5.82619    -5.88344   0.0276821
          56    -5.78177    -5.88163   0.0272473
          57    -5.71668    -5.87873   0.0269225
          58    -5.63237    -5.87449   0.0267913
          59    -5.70986    -5.87169   0.0264821
          60    -5.68778    -5.86863   0.0262175
          61    -5.67024    -5.86538   0.0259887
          62    -5.65285    -5.86195   0.0257946
          63     -5.6774    -5.85902   0.0255509
          64    -5.76318    -5.85752   0.0251955
          65     -5.7509    -5.85588   0.0248612
          66    -5.80874    -5.85517   0.0244948
          67    -5.75148    -5.85362   0.0241781
          68    -5.77916    -5.85253   0.0238473
          69    -5.77304    -5.85137   0.0235295
          70    -5.77356    -5.85026   0.0232196
          71    -5.74964    -5.84884   0.0229358
          72    -5.68875    -5.84662   0.0227247
          73     -5.5652    -5.84277   0.0227381
          74    -5.71365    -5.84102   0.0224977
          75     -5.6716    -5.83876   0.0223108
          76    -5.63027    -5.83602   0.0221853
          77    -5.57875    -5.83268   0.0221473
          78    -5.63939     -5.8302   0.0220016
          79    -5.57582    -5.82698   0.0219574
          80    -5.50512    -5.82296   0.0220485
          81     -5.4931    -5.81888   0.0221491
          82    -5.61749    -5.81643   0.0220148
          83    -5.53137    -5.81299   0.0220158
          84    -5.54208    -5.80977   0.0219887
          85    -5.58586    -5.80713   0.0218872
          86    -5.55802    -5.80424   0.0218235
          87    -5.62597    -5.80219   0.0216687
          88    -5.56806    -5.79953   0.0215852
          89      -5.574    -5.79699   0.0214909
          90    -5.47268    -5.79339   0.0215521
          91    -5.47028    -5.78984   0.0216057
          92    -5.49678    -5.78665   0.0216044
          93    -5.55821     -5.7842   0.0215113
          94    -5.55383    -5.78175   0.0214216
          95    -5.56708    -5.77949    0.021315
          96    -5.60232    -5.77764   0.0211727
          97    -5.41807    -5.77394   0.0212764
          98    -5.48121    -5.77095    0.021268
          99    -5.54163    -5.76863   0.0211789
         100    -5.53631    -5.76631   0.0210942
         101    -5.46441    -5.76332    0.021096
         102    -5.46043    -5.76035   0.0210972
         103    -5.50397    -5.75786   0.0210387
         104    -5.42402    -5.75465   0.0210798
         105    -5.47805    -5.75202    0.021043
         106    -5.57907    -5.75039   0.0209077
         107    -5.56042    -5.74861   0.0207875
         108    -5.51918    -5.74649   0.0207033
         109    -5.45265    -5.74379   0.0206881
         110    -5.54567    -5.74199   0.0205783
         111    -5.58639    -5.74059   0.0204406
         112    -5.56135    -5.73899   0.0203206
         113    -5.56993    -5.73749   0.0201958
         114    -5.63765    -5.73661   0.0200376
         115    -5.58427    -5.73529   0.0199071
         116    -5.52728     -5.7335   0.0198161
         117    -5.51733    -5.73165   0.0197327
         118    -5.52355    -5.72989   0.0196441
         119    -5.49157    -5.72788   0.0195808
         120    -5.65323    -5.72726   0.0194276
         121    -5.62617    -5.72643   0.0192849
         122    -5.59261    -5.72533    0.019158
         123    -5.50287    -5.72352   0.0190875
         124    -5.61253    -5.72262   0.0189545
         125    -5.62938    -5.72188   0.0188176
         126     -5.5683    -5.72066   0.0187076
         127    -5.63368    -5.71998   0.0185729
         128    -5.66529    -5.71955   0.0184327
         129    -5.67791    -5.71923   0.0182926
         130    -5.65452    -5.71873   0.0181587
